element_type,osmid,amenity,name,geometry,building,man_made,name:en,capacity,phone,addr:city,addr:district,addr:postcode,addr:province,addr:street,fee,leisure,nodes,building:levels,height,shop,healthcare,wheelchair,name:zh,tourism,int_name,alt_name,name_1,wikidata,addr:housenumber,website,opening_hours,addr:housename,description,cuisine,fast_food,level,opening_hours:covid19,note,bicycle_parking,covered,supervised,power,takeaway,layer,access,female,toilets:disposal,male,name:zh-Hans,ways,type
way,103749307,,生命科学学院,"POLYGON ((114.3554988 30.5359373, 114.354678 30.536099, 114.3546405 30.5359512, 114.3545493 30.535905, 114.3544903 30.5358172, 114.3544956 30.535734, 114.3545654 30.5356739, 114.3545439 30.5355492, 114.3546619 30.5355122, 114.3551608 30.5351472, 114.3551984 30.5353967, 114.3554022 30.5353413, 114.355447 30.5355362, 114.3553271 30.5355584, 114.3553861 30.5357941, 114.3554558 30.5357802, 114.3554988 30.5359373))",office,,,,,,,,,,,,"[1197839381, 1197839431, 1197839406, 1197839366, 1197839359, 1197839382, 1197839386, 1197839379, 1197839346, 1197839387, 1197839340, 1197839360, 1197839413, 1197839401, 1197839409, 1197839318, 1197839381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103749310,,,"POLYGON ((114.3569692 30.5351925, 114.3572755 30.5351335, 114.357202 30.5348505, 114.3568957 30.5349096, 114.3569692 30.5351925))",yes,,,,,,,,,,,,"[1197839417, 1197839332, 1197839323, 1197839330, 1197839417]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103749311,,,"POLYGON ((114.3556738 30.5356785, 114.3558693 30.5356467, 114.3557822 30.5352502, 114.3560474 30.535207, 114.3560971 30.5354335, 114.356308 30.5353992, 114.356218 30.5349897, 114.3555466 30.5350991, 114.3556738 30.5356785))",yes,,,,,,,,,,,,"[1197839345, 1197839430, 1197839315, 1197839404, 1197839424, 1197839385, 1197839419, 1197839403, 1197839345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751580,,物理科学与技术学院,"POLYGON ((114.3563274 30.5360763, 114.3569636 30.5359517, 114.3570377 30.536232, 114.3568107 30.5362765, 114.3567817 30.5361667, 114.3564858 30.5362247, 114.3566037 30.5366713, 114.3570077 30.5365921, 114.357021 30.5366423, 114.3570455 30.5367351, 114.3565282 30.5368365, 114.3565015 30.5367354, 114.3563274 30.5360763))",yes,,,,,,,,,,,,"[1197846040, 1197846062, 1197846056, 1197846053, 1197845973, 1197845958, 1197845961, 1197845948, 4052778589, 1197846002, 1197845955, 8512203976, 1197846040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751585,,,"POLYGON ((114.3635436 30.5380061, 114.3631896 30.5380225, 114.3631845 30.5379416, 114.3635386 30.5379252, 114.3635436 30.5380061))",yes,,,,,,,,,,,,"[1197846057, 1197846087, 1197846052, 1197846039, 1197846057]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751587,restaurant,梅园食堂,"POLYGON ((114.3593716 30.5382105, 114.3591087 30.5383353, 114.3589585 30.5380904, 114.3588942 30.5377762, 114.3588137 30.5378224, 114.3586474 30.5375591, 114.3589639 30.5374205, 114.3591892 30.5378086, 114.3591248 30.5378363, 114.3593716 30.5382105))",yes,,,,,,,,,,,,"[1197846077, 1197846085, 1197846016, 1197846088, 1197846029, 1197846049, 1197846065, 1197846011, 1197846010, 1197846077]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751588,,第五教学楼,"POLYGON ((114.356017 30.5386024, 114.3564005 30.5385279, 114.3563488 30.5383292, 114.3552412 30.5385432, 114.3552903 30.5387316, 114.3557989 30.5386334, 114.3558619 30.5388754, 114.3560693 30.5388353, 114.356017 30.5386024))",university,,,,,,,,,,,,"[1197846067, 1197846009, 1197846066, 1197845988, 1197845964, 1197846004, 1197846034, 1197846091, 1197846067]",,,,,,第五教学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751591,,,"POLYGON ((114.3596107 30.5361847, 114.3593348 30.5363103, 114.3592744 30.5362119, 114.3593746 30.5361662, 114.3593986 30.5362053, 114.3595743 30.5361253, 114.3596107 30.5361847))",yes,,,,,,,,,,,,"[1197846050, 1197845975, 1197845982, 1197846089, 1197845940, 1197846076, 1197846050]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751592,,,"POLYGON ((114.3639545 30.5380126, 114.3636485 30.5380882, 114.3636155 30.5379891, 114.3639215 30.5379135, 114.3639545 30.5380126))",yes,,,,,,,,,,,,"[1197846072, 1197846037, 1197845953, 1197846075, 1197846072]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751594,,珞珈山庄,"POLYGON ((114.3627263 30.5384143, 114.3622006 30.5383887, 114.3622289 30.5379572, 114.3628908 30.5379894, 114.3628771 30.5381976, 114.3629817 30.5382027, 114.3629851 30.5381513, 114.3633418 30.5381687, 114.363336 30.5382568, 114.3630422 30.5382425, 114.3630368 30.5383253, 114.3627332 30.5383105, 114.3627263 30.5384143))",yes,,,,,,,,,,,,"[1197846080, 1197846046, 1197845972, 1197845965, 1197845959, 1197846045, 1197845994, 1197846025, 1197846078, 1197846036, 1197846071, 1197846032, 1197846080]",,,,,,珞珈山庄,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751600,,研究生院,"POLYGON ((114.3620902 30.5379793, 114.3614734 30.5379257, 114.3614942 30.5377478, 114.3621111 30.5378014, 114.3620902 30.5379793))",yes,,,,,,,,,,,,"[1197846060, 1197845956, 1197845963, 1197845960, 1197846060]",,,,,,,,graduate school,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103751601,,,"POLYGON ((114.364036 30.5381847, 114.3637056 30.5382249, 114.3636932 30.5381491, 114.3640236 30.538109, 114.364036 30.5381847))",yes,,,,,,,,,,,,"[1197846023, 1197846069, 1197846043, 1197846047, 1197846023]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752729,,教一楼,"POLYGON ((114.3600849 30.5396902, 114.3596593 30.5395905, 114.3597057 30.5394434, 114.3601314 30.5395431, 114.3600849 30.5396902))",yes,,,,,,,,,,,,"[1197850815, 1197850782, 1197850802, 1197850788, 1197850815]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752730,,第四教学楼,"POLYGON ((114.3561752 30.5391713, 114.3560137 30.5390145, 114.3560459 30.5389821, 114.3560352 30.5389082, 114.3562389 30.5388759, 114.3562872 30.5389128, 114.3562416 30.5390676, 114.3562631 30.5391046, 114.3564133 30.5390537, 114.3564669 30.5390884, 114.3564267 30.5392293, 114.3564776 30.5392686, 114.3566305 30.5392224, 114.3566627 30.5392547, 114.3566332 30.5394072, 114.3565393 30.5394719, 114.3564133 30.5394903, 114.3563328 30.5394557, 114.356365 30.5393494, 114.356314 30.5393517, 114.3563087 30.5393194, 114.3561987 30.5393471, 114.3561424 30.5392917, 114.3561752 30.5391713))",university,,,,,,,,,,,,"[1197850809, 1197850851, 1197850773, 1197850776, 1197850858, 1197850808, 1197850822, 1197850833, 1197850859, 1197850765, 1197850861, 1197850783, 1197850847, 1197850801, 1197850818, 1197850830, 1197850778, 1197850799, 1197850825, 1197850803, 1197850787, 1197850828, 1197850784, 1197850809]",,,,,,第四教学楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752731,,梅园一舍,"POLYGON ((114.3593985 30.5393773, 114.3588533 30.5392565, 114.3588914 30.539129, 114.3594366 30.5392498, 114.3593985 30.5393773))",dormitory,,,,,,,,,,,,"[1197850768, 1197850849, 1197850837, 1197850821, 1197850768]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752732,,万林艺术博物馆,"POLYGON ((114.3576095 30.5393717, 114.3574138 30.5392527, 114.3573939 30.5387907, 114.357329 30.5387298, 114.3573352 30.5385924, 114.3574761 30.5385223, 114.3577583 30.5384713, 114.3579032 30.5388131, 114.3576095 30.5393717))",yes,,,,,,,,,,,,"[1197850770, 1199740902, 1197850806, 8101909324, 1197850856, 1197850848, 1197850843, 1197850789, 1197850770]",,,,,,万林艺术博物馆,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752733,,梅园四舍,"POLYGON ((114.3600552 30.5389467, 114.3592639 30.5386445, 114.3593382 30.5385002, 114.3601295 30.5388023, 114.3600552 30.5389467))",dormitory,,,,,,,,,,,,"[1197850835, 1197850807, 1197850862, 1197850811, 1197850835]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752734,,,"POLYGON ((114.3603248 30.5384644, 114.3597357 30.5381991, 114.3597086 30.5382437, 114.3597656 30.5382694, 114.359719 30.5383461, 114.3595918 30.5382889, 114.3596997 30.5381111, 114.360359 30.5384079, 114.3603248 30.5384644))",yes,,,,,,,,,,,,"[1197850771, 1197850816, 1197850804, 1197850791, 1197850774, 1197850767, 1197850766, 1197850836, 1197850771]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752735,,本科生院楼,"POLYGON ((114.3520816 30.5361406, 114.3522318 30.5361729, 114.3523552 30.5361822, 114.3525591 30.5361406, 114.3525912 30.53627, 114.3523713 30.5363069, 114.3523713 30.5364363, 114.3525912 30.5364825, 114.352543 30.5366026, 114.352382 30.5365703, 114.3522479 30.5365611, 114.3520816 30.5365934, 114.3520494 30.5364733, 114.3522318 30.5364317, 114.3522318 30.5363116, 114.3520602 30.5362654, 114.3520816 30.5361406))",office,,,,,,,,,,,,"[1197850854, 1197850860, 1197850838, 1197850798, 1197850780, 1197850769, 1197850812, 1197850781, 1197850792, 1197850790, 1197850813, 1197850805, 1197850844, 1197850845, 1197850777, 1197850810, 1197850854]",,,,,,,,,出版大楼,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752740,,梅园三舍,"POLYGON ((114.3587234 30.5392703, 114.358196 30.5391541, 114.358238 30.5390124, 114.3587655 30.5391287, 114.3587234 30.5392703))",dormitory,,,,,,,,,,,,"[1197850779, 1197850834, 1197850764, 1197850831, 1197850779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752741,,梅园六舍,"POLYGON ((114.3583381 30.5385699, 114.35838 30.5384451, 114.3589216 30.5385799, 114.3588797 30.5387047, 114.3583381 30.5385699))",dormitory,,,,,,,,,,,,"[1197850841, 1197850827, 1197850823, 1197850842, 1197850841]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752742,,梅园二舍,"POLYGON ((114.3583085 30.5387263, 114.3588444 30.5388586, 114.3588008 30.5389895, 114.3582649 30.5388573, 114.3583085 30.5387263))",dormitory,,,,,,,,,,,,"[1197850824, 1197850832, 1197850853, 1197850839, 1197850824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103752743,,档案馆,"POLYGON ((114.3614237 30.5387426, 114.3606337 30.5386801, 114.3606537 30.5384931, 114.3614437 30.5385556, 114.3614237 30.5387426))",yes,,,,,,,,,,,,"[1197850850, 1197850793, 1197850840, 1197850817, 1197850850]",,,,,,,,University archive,武汉大学考试中心,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753732,,哲学学院,"POLYGON ((114.3613712 30.5394035, 114.3609443 30.5393689, 114.3609484 30.539331, 114.3609007 30.5393271, 114.3608966 30.5393651, 114.3604722 30.5393306, 114.3604899 30.5391684, 114.3605985 30.5391772, 114.3606289 30.5388995, 114.3609203 30.5389231, 114.3609159 30.5389634, 114.3610635 30.5389754, 114.3610663 30.5389504, 114.3613724 30.5389752, 114.3613656 30.5390378, 114.3614108 30.5390415, 114.3613712 30.5394035))",yes,,,,,,,,,,,,"[1197862919, 1197862897, 1197862960, 1197862898, 1197862900, 1197862851, 1197862883, 1197862991, 1197862981, 1197862853, 1197862871, 1197862836, 1197862868, 1197862901, 1197862998, 1197862823, 1197862919]",,,,,,,,school of philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753734,,宋卿体育馆,"POLYGON ((114.3561021 30.5404209, 114.3563907 30.5404523, 114.3563388 30.5408064, 114.3560501 30.540775, 114.3561021 30.5404209))",yes,,,,,,,,,,,sports_centre,"[1197862967, 1197862945, 1197863023, 1197862993, 1197862967]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753736,,政治与公共管理学院,"POLYGON ((114.3624245 30.5408513, 114.3619466 30.5408266, 114.3619946 30.5401387, 114.3625322 30.5401665, 114.3625212 30.5403249, 114.3621195 30.5403042, 114.362092 30.5406981, 114.3624339 30.5407158, 114.3624245 30.5408513))",yes,,,,,,,,,,,,"[1197862977, 1197863008, 1197863007, 1197862903, 1197862809, 1197862911, 1197862888, 1197862826, 1197862977]",,,,,,,,school of politics and public administration,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753737,,武汉大学校史馆,"POLYGON ((114.3579235 30.5423225, 114.3583668 30.5423989, 114.3582946 30.5427099, 114.3578512 30.5426335, 114.3579235 30.5423225))",yes,,,,,,,,,,,,"[1197862994, 1197862992, 1197862857, 1197862872, 1197862994]",,,,,,,museum,old library,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753738,,,"POLYGON ((114.3594105 30.54111, 114.3590494 30.5409675, 114.3591198 30.5408351, 114.359481 30.5409776, 114.3594105 30.54111))",yes,,,,,,,,,,,,"[1197862976, 1197862935, 1197862854, 1197862930, 1197862976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753739,restaurant,枫园食堂,"POLYGON ((114.36681 30.5397857, 114.3663297 30.5397481, 114.3663564 30.5394954, 114.3660285 30.5394698, 114.3660744 30.5390357, 114.3663489 30.5390572, 114.3663325 30.5392127, 114.3668661 30.5392545, 114.3668511 30.5393968, 114.36681 30.5397857))",yes,,,,,,,,,,,,"[1197862840, 1197862867, 1197862950, 1197862819, 1197862914, 1197862936, 1197862825, 1197862896, 4808835822, 1197862840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753740,,行政大楼,"POLYGON ((114.3613308 30.5401081, 114.3611807 30.5400934, 114.3612088 30.5398807, 114.3612335 30.5396934, 114.36107 30.5396774, 114.3610302 30.5399794, 114.3607331 30.5399503, 114.360774 30.5396403, 114.3606705 30.5396302, 114.3606176 30.5400313, 114.3604679 30.5400167, 114.3605315 30.5395343, 114.3613953 30.5396188, 114.3613308 30.5401081))",yes,,,,,,,,,,,,"[1197862929, 1197862887, 1197863022, 1197863024, 1197862822, 1197862997, 1197863011, 1197862996, 1197862949, 1197862918, 1197862807, 1197862966, 1197862946, 1197862929]",,,,,,,,administrative building,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753741,,老斋舍,"POLYGON ((114.3589371 30.5422856, 114.3588952 30.5422772, 114.357742 30.5420465, 114.3576744 30.542033, 114.3572647 30.5420008, 114.3572368 30.5419991, 114.3572386 30.541966, 114.3572583 30.5415972, 114.3576392 30.5416341, 114.3593823 30.5419806, 114.3592887 30.5423209, 114.3592802 30.5423517, 114.3589371 30.5422856))",dormitory,,,,,,,,,,,,"[1197862962, 8512203980, 8512203982, 2613239734, 2613239737, 1197862837, 8512203981, 1197862841, 1197862952, 1197862932, 8512203979, 1199744366, 1197862962]",,,,,,,,old dormitory,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103753743,,教二楼,"POLYGON ((114.3559377 30.5411675, 114.3564338 30.5411344, 114.3564462 30.5412729, 114.3559502 30.541306, 114.3559377 30.5411675))",yes,,,,,,,,,,,,"[1197862835, 1197862920, 1197862855, 1197862856, 1197862835]",,,,,,,,No.2 teaching building,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937228,,,"POLYGON ((114.3625667 30.5345656, 114.3620677 30.5344436, 114.3621004 30.5343444, 114.3625994 30.5344664, 114.3625667 30.5345656))",yes,,,,,,,,,,,,"[1199709689, 1199709547, 1199709742, 1199709826, 1199709689]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937229,,,"POLYGON ((114.3631817 30.5346979, 114.3626449 30.5345795, 114.3626736 30.534483, 114.3632104 30.5346014, 114.3631817 30.5346979))",yes,,,,,,,,,,,,"[1199709741, 1199709781, 1199709704, 1199709594, 1199709741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937230,,,"POLYGON ((114.3604326 30.5347526, 114.3603802 30.5346438, 114.3610878 30.534391, 114.3611402 30.5344998, 114.3604326 30.5347526))",yes,,,,,,,,,,,,"[1199709728, 1199709560, 1199709585, 1199709637, 1199709728]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937232,,,"POLYGON ((114.3620741 30.5349531, 114.3618517 30.5349377, 114.3618606 30.534843, 114.362083 30.5348584, 114.3620741 30.5349531))",yes,,,,,,,,,,,,"[1199709608, 1199709599, 1199709601, 1199709761, 1199709608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937233,,,"POLYGON ((114.365285 30.5349232, 114.3647572 30.5348441, 114.3647727 30.5347673, 114.3653005 30.5348464, 114.365285 30.5349232))",yes,,,,,,,,,,,,"[1199709758, 1199709622, 1199709571, 1199709671, 1199709758]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937234,,,"POLYGON ((114.3639963 30.5349676, 114.3634131 30.5349008, 114.3633968 30.535006, 114.36398 30.5350729, 114.3639963 30.5349676))",yes,,,,,,,,,,,,"[1199709544, 1199709681, 1199709650, 1199709655, 1199709544]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937235,,,"POLYGON ((114.364048 30.534773, 114.3634715 30.5347121, 114.363484 30.5346242, 114.3640605 30.5346851, 114.364048 30.534773))",yes,,,,,,,,,,,,"[1199709709, 1199709752, 1199709707, 1199709830, 1199709709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937236,,,"POLYGON ((114.3646367 30.5351508, 114.3640662 30.5350812, 114.3640819 30.5349859, 114.3646524 30.5350556, 114.3646367 30.5351508))",yes,,,,,,,,,,,,"[1199709660, 1199709847, 1199709591, 1199709831, 1199709660]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937237,,,"POLYGON ((114.3615611 30.5350002, 114.3613198 30.5349943, 114.3613236 30.5348788, 114.361565 30.5348847, 114.3615611 30.5350002))",yes,,,,,,,,,,,,"[1199709810, 1199709786, 1199709644, 1199709797, 1199709810]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937238,,,"POLYGON ((114.3646712 30.5348441, 114.3641468 30.5347694, 114.364162 30.5346898, 114.3646865 30.5347645, 114.3646712 30.5348441))",yes,,,,,,,,,,,,"[1199709754, 1199709565, 1199709631, 1199709614, 1199709754]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937239,,,"POLYGON ((114.3652594 30.535219, 114.3647037 30.5351748, 114.3647141 30.5350781, 114.3652697 30.5351224, 114.3652594 30.535219))",yes,,,,,,,,,,,,"[1199709726, 1199709583, 1199709739, 1199709833, 1199709726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937241,,,"POLYGON ((114.3659008 30.5352765, 114.3653559 30.5352183, 114.3653688 30.5351287, 114.3659138 30.5351869, 114.3659008 30.5352765))",yes,,,,,,,,,,,,"[1199709588, 1199709657, 1199709800, 1199709596, 1199709588]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937242,,,"POLYGON ((114.3659464 30.5350041, 114.3653656 30.5349372, 114.365379 30.5348508, 114.3659598 30.5349178, 114.3659464 30.5350041))",yes,,,,,,,,,,,,"[1199709811, 1199709718, 1199709842, 1199709653, 1199709811]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937243,,,"POLYGON ((114.3618597 30.5343752, 114.3611949 30.534438, 114.3611846 30.5343569, 114.3618494 30.5342942, 114.3618597 30.5343752))",yes,,,,,,,,,,,,"[1199709606, 1199709562, 1199709712, 1199709625, 1199709606]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937244,,,"POLYGON ((114.3612445 30.534698, 114.3612317 30.5345739, 114.3618707 30.5345249, 114.3618836 30.534649, 114.3612445 30.534698))",yes,,,,,,,,,,,,"[1199709702, 1199709760, 1199709619, 1199709822, 1199709702]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937245,,,"POLYGON ((114.3601743 30.5353316, 114.3601329 30.535228, 114.3608222 30.5350236, 114.3608636 30.5351271, 114.3601743 30.5353316))",yes,,,,,,,,,,,,"[1199709763, 1199709828, 1199709551, 1199709809, 1199709763]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937246,,,"POLYGON ((114.3602096 30.5347848, 114.3598463 30.5349035, 114.3598855 30.5349925, 114.3602488 30.5348738, 114.3602096 30.5347848))",yes,,,,,,,,,,,,"[1199709679, 1199709568, 1199709697, 1199709783, 1199709679]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937247,,,"POLYGON ((114.3623922 30.5349791, 114.3621844 30.5349522, 114.3621987 30.5348702, 114.3624066 30.5348972, 114.3623922 30.5349791))",yes,,,,,,,,,,,,"[1199709647, 1199709692, 1199709639, 1199709773, 1199709647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937248,,,"POLYGON ((114.3623516 30.5352014, 114.3621746 30.535178, 114.3621903 30.5350902, 114.3623673 30.5351136, 114.3623516 30.5352014))",yes,,,,,,,,,,,,"[1199709575, 1199709776, 1199709730, 1199709732, 1199709575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937249,,,"POLYGON ((114.3625017 30.5351178, 114.3630495 30.5351674, 114.3630347 30.5352888, 114.3624869 30.5352392, 114.3625017 30.5351178))",yes,,,,,,,,,,,,"[1199709666, 1199709785, 1199709715, 1199709611, 1199709666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937250,,,"POLYGON ((114.3620467 30.5350716, 114.3618434 30.5350535, 114.3618323 30.5351458, 114.3620356 30.535164, 114.3620467 30.5350716))",yes,,,,,,,,,,,,"[1199709554, 1199709784, 1199709686, 1199709845, 1199709554]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103937252,,,"POLYGON ((114.3630524 30.5350368, 114.3624996 30.5349945, 114.3625096 30.5348977, 114.3630623 30.53494, 114.3630524 30.5350368))",yes,,,,,,,,,,,,"[1199709807, 1199709616, 1199709582, 1199709663, 1199709807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938944,,,"POLYGON ((114.3641601 30.5387583, 114.363841 30.5387369, 114.3638483 30.5386562, 114.3641674 30.5386776, 114.3641601 30.5387583))",yes,,,,,,,,,,,,"[1199731966, 1199731950, 1199731973, 1199731967, 1199731966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938945,,,"POLYGON ((114.3652628 30.5387084, 114.3650793 30.538682, 114.3651604 30.538264, 114.3652428 30.5382758, 114.3651743 30.5386288, 114.3652754 30.5386434, 114.3652628 30.5387084))",yes,,,,,,,,,,,,"[1199731960, 1199731961, 1199731977, 1199731972, 1199731968, 1199731971, 1199731960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938947,,,"POLYGON ((114.3661669 30.5386959, 114.3659506 30.5386892, 114.3659616 30.5384257, 114.3661779 30.5384324, 114.3661669 30.5386959))",yes,,,,,,,,,,,,"[1199731976, 1199731957, 1199731958, 1199731949, 1199731976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938948,,,"POLYGON ((114.364149 30.5385923, 114.3638676 30.5385799, 114.3638719 30.538506, 114.3641534 30.5385184, 114.364149 30.5385923))",yes,,,,,,,,,,,,"[1199731979, 1199731980, 1199731948, 1199731978, 1199731979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938950,,,"POLYGON ((114.3644166 30.5384711, 114.3640676 30.5384179, 114.3640876 30.5383206, 114.3642805 30.53835, 114.3642892 30.5383076, 114.3644453 30.5383314, 114.3644166 30.5384711))",yes,,,,,,,,,,,,"[1199731959, 1199731969, 1199731974, 1199731963, 1199731970, 1199731965, 1199731959]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103938957,,,"POLYGON ((114.3649128 30.5388728, 114.3647458 30.5388513, 114.3647917 30.5385872, 114.364864 30.5385965, 114.3648394 30.5387379, 114.3649341 30.5387501, 114.3649128 30.5388728))",yes,,,,,,,,,,,,"[1199731962, 1199731951, 1199731982, 1199731981, 1199731975, 1199731964, 1199731962]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103940629,,数学与统计学院,"POLYGON ((114.3592802 30.5423517, 114.3591839 30.5427014, 114.3588459 30.5426367, 114.3589371 30.5422856, 114.3592802 30.5423517))",school,,School of Mathematics and Statistics,,,,,,,,,,"[1199744366, 1197862915, 1197862964, 1197862962, 1199744366]",,,,,,,,School of Mathematics and Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103940632,,人文馆,"POLYGON ((114.3622679 30.5416858, 114.3619394 30.5416546, 114.362018 30.5410421, 114.3624674 30.5410849, 114.3624574 30.5411628, 114.362606 30.541177, 114.3625511 30.5416057, 114.3622815 30.54158, 114.3622679 30.5416858))",yes,,,,,,,,,,,,"[1199744368, 1199744311, 1199744348, 1199744327, 1199744370, 1199744326, 1199744363, 1199744347, 1199744368]",,,,,,,,Humanities Building,,逸夫楼,,,,,,,,,,,,,,,,,,,,,,,,
way,103940636,,中国边界与海洋研究院,"POLYGON ((114.3618703 30.5426807, 114.36133 30.5426242, 114.3613465 30.5425067, 114.3618869 30.5425632, 114.3618703 30.5426807))",yes,,,,,,,,,,,,"[1199744336, 1199744328, 1199744355, 1199744349, 1199744336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103940871,,社会学院,"POLYGON ((114.3623918 30.5425581, 114.3626922 30.5425859, 114.3626761 30.5429277, 114.3624937 30.5428677, 114.3623864 30.5427891, 114.3623328 30.5427106, 114.3623918 30.5425581))",yes,,,,,,,,,,,,"[1199748590, 1199748637, 1199748591, 1199748647, 1199748543, 1199748531, 1199748590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103940873,,湖濱二舍,"POLYGON ((114.3650736 30.5434587, 114.3646096 30.543457, 114.3646103 30.5433092, 114.3650743 30.5433109, 114.3650736 30.5434587))",dormitory,,,,,,,,,,,,"[1199748607, 1199748620, 1199748567, 1199748565, 1199748607]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103940876,,枫园14舍,"POLYGON ((114.364288 30.5397255, 114.3633732 30.5395917, 114.3634491 30.5392241, 114.363656 30.5392558, 114.3636049 30.5394431, 114.3640673 30.5395057, 114.3641159 30.5393158, 114.3642856 30.5393417, 114.3642263 30.5395826, 114.3643112 30.5395948, 114.364288 30.5397255))",dormitory,,,,,,,,,,,,"[1199748534, 1199748594, 1199748649, 4808835823, 4808835824, 4808835825, 4808835826, 1199748521, 1199748621, 1199748606, 1199748534]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
