element_type,osmid,geometry,nodes,building,building:use,description,name,name:zh,building:levels,name:en,amenity,fast_food,cuisine,shop,office,leisure,sport,ways,type
way,315242653,"POLYGON ((113.3424246 23.1589743, 113.3424388 23.1587847, 113.3431897 23.1588322, 113.3431755 23.1590217, 113.3424246 23.1589743))","[3213487257, 3213487259, 3213487260, 3213487258, 3213487257]",university,,,7号楼,7号楼,,,,,,,,,,,
way,331708003,"POLYGON ((113.3397673 23.153921, 113.3399711 23.1539457, 113.3404003 23.1539851, 113.3406202 23.1539555, 113.3406256 23.1538322, 113.3403005 23.1538017, 113.3400477 23.1537781, 113.3397834 23.1537533, 113.3397673 23.153921))","[3388040974, 3388040975, 3388040976, 3388040977, 3388040978, 3646557346, 3646557347, 3388040979, 3388040974]",school,,,18号楼（物理楼）,18号楼（物理楼）,,,,,,,,,,,
way,331708005,"POLYGON ((113.3394555 23.1576216, 113.3394856 23.1575439, 113.3395359 23.1574144, 113.3397625 23.1574164, 113.3397876 23.1571425, 113.3397501 23.1571411, 113.3394219 23.1571187, 113.3394326 23.1569313, 113.3397807 23.1569532, 113.339773 23.1570651, 113.3399109 23.1570741, 113.3399167 23.1570324, 113.3399948 23.1570382, 113.3399827 23.1572064, 113.3399715 23.1573208, 113.3399521 23.15756, 113.3398304 23.157557, 113.3398279 23.1576021, 113.3397506 23.1576012, 113.3396555 23.1575959, 113.3396537 23.1576383, 113.3394555 23.1576216))","[3388040980, 3646582833, 3388040981, 3388040982, 3388040983, 3646582832, 3388040984, 3388040985, 11054078555, 11054078527, 11054078556, 11054078532, 3388040986, 3646582837, 3646582836, 3388040987, 11054078548, 11054078547, 11054078542, 11054078568, 11054078528, 3388040980]",university,,,逸夫人文馆,逸夫人文馆,,Shaw Building of Humanities,,,,,,,,,
way,331709494,"POLYGON ((113.3347328 23.1676728, 113.3349796 23.1675643, 113.3351351 23.1674016, 113.3354141 23.167303, 113.3356662 23.1672438, 113.3358003 23.1674065, 113.3354248 23.1674706, 113.3351673 23.1676827, 113.3348776 23.1678504, 113.3347328 23.1676728))","[3388063509, 3388063510, 3388063511, 3388063512, 3388063513, 3388063514, 3388063515, 3388063516, 3388063517, 3388063509]",university,,,网络学院大楼,网络学院大楼,,Bldg of Remote Education,,,,,,,,,
way,334895535,"POLYGON ((113.3377364 23.1588555, 113.3377512 23.1586823, 113.337864 23.1586905, 113.3378712 23.1586062, 113.3379863 23.1586145, 113.3379931 23.1585348, 113.3384783 23.1585699, 113.3384928 23.1584001, 113.3386057 23.1584083, 113.3385777 23.158736, 113.3386139 23.1587386, 113.3385987 23.1589177, 113.3377364 23.1588555))","[3420177614, 3420177615, 11078149389, 11078149388, 11078149390, 3420177616, 3420177617, 3420177618, 3420177619, 3646582654, 11078149387, 3420177620, 3420177614]",university,,,31号楼（慎思楼）,31号楼（慎思楼）,,No 31 Bldg of Prudence,,,,,,,,,
way,334895536,"POLYGON ((113.3387909 23.1589102, 113.3400441 23.1589676, 113.3400798 23.1583887, 113.3400825 23.1583451, 113.3388197 23.1582789, 113.3388112 23.1584642, 113.3387909 23.1589102))","[3420177621, 3420177622, 3646582651, 3420177623, 3420177624, 3646582652, 3420177621]",university,,,30号楼（宏生科技楼）,30号楼（宏生科技楼）,,No 30 Bldg of Hom-Shem,,,,,,,,,
way,334895538,"POLYGON ((113.3393431 23.1582392, 113.3400873 23.1582701, 113.3400873 23.1580405, 113.3393863 23.157992, 113.3393431 23.1582392))","[3420177631, 3420177632, 3420177633, 3420177634, 3420177631]",university,,,10号楼,10号楼,,"No 10 Bldg, School of Auto Engineering",,,,,,,,,
way,334895539,"POLYGON ((113.338983 23.1582215, 113.3390022 23.1580494, 113.3392758 23.1580847, 113.3392854 23.1582215, 113.338983 23.1582215))","[3420177635, 3420177636, 3420177637, 3420177638, 3420177635]",university,,,19号楼,19号楼,,,,,,,,,,,
way,334895540,"POLYGON ((113.3370694 23.1573169, 113.3371297 23.1571611, 113.3373361 23.1572632, 113.3376087 23.1568797, 113.3377276 23.1569222, 113.3375979 23.157165, 113.3374011 23.1574475, 113.3370694 23.1573169))","[3420177639, 3420177640, 11052140954, 3420177641, 3420177642, 3420177643, 3420177644, 3420177639]",hotel,,,西湖苑宾馆,西湖苑宾馆,,West Lake Hotel,,,,,,,,,
way,346800357,"POLYGON ((113.3357852 23.1688482, 113.3359077 23.1688599, 113.3359077 23.1689065, 113.3360556 23.1689104, 113.3360641 23.1688637, 113.336174 23.1688676, 113.3361866 23.1687899, 113.3358021 23.1687627, 113.3357852 23.1688482))","[3532899286, 3532899287, 3532899288, 3532899289, 3532899290, 3532899291, 3532899292, 3532901293, 3532899286]",house,,,北六学生宿舍,北六学生宿舍,,,,,,,,,,,
way,346800358,"POLYGON ((113.3357006 23.1684169, 113.3357091 23.1683276, 113.33595 23.1683276, 113.3360683 23.1683392, 113.3365881 23.1684908, 113.3365289 23.1687044, 113.3364402 23.1686695, 113.3364571 23.1686034, 113.3358655 23.168518, 113.3358486 23.168448, 113.3357006 23.1684169))","[3532901294, 3532901295, 3532901296, 3532901297, 3532901298, 3532901299, 3532901300, 3532901301, 3532901302, 3532901303, 3532901294]",dormitory,,,北四学生宿舍,北四学生宿舍,,,,,,,,,,,
way,346800359,"POLYGON ((113.334885 23.168685, 113.3348555 23.1686073, 113.3356161 23.168347, 113.3356753 23.1684636, 113.3356119 23.1685063, 113.3356288 23.1685762, 113.3350752 23.1687433, 113.3350499 23.1686578, 113.334885 23.168685))","[3532901304, 3532901305, 3532901306, 3532901307, 3532901308, 3532901309, 3532901310, 3532901311, 3532901304]",dormitory,,,北三学生宿舍,北三学生宿舍,,,,,,,,,,,
way,346800361,"POLYGON ((113.3342258 23.1689453, 113.3348005 23.168755, 113.334809 23.168786, 113.3349491 23.1687786, 113.335032 23.1689795, 113.3349503 23.1690056, 113.3349254 23.1689428, 113.3343211 23.1691349, 113.3342258 23.1689453))","[3532901312, 3532901313, 3532901314, 3532901315, 3532901316, 3532901317, 3532901318, 3532901319, 3532901312]",dormitory,,,北二学生宿舍,北二学生宿舍,,,,,,,,,,,
way,354147315,"POLYGON ((113.3341062 23.1673785, 113.3341062 23.166786, 113.3343444 23.1667903, 113.3343491 23.1669062, 113.3342277 23.1669234, 113.3342417 23.167065, 113.3342137 23.167254, 113.3344051 23.167254, 113.3344098 23.1673699, 113.3341062 23.1673785))","[3599293340, 3599293341, 3599293342, 3599293343, 3599293344, 3599293345, 3599293346, 3599293347, 3599293348, 3599293340]",dormitory,,,北九学生宿舍,北九学生宿舍,,Dorm of North-9,,,,,,,,,
way,354147317,"POLYGON ((113.3350729 23.1670522, 113.3358435 23.1667259, 113.3358435 23.1669534, 113.3354792 23.1670908, 113.3353438 23.1671724, 113.3350823 23.1671767, 113.3350729 23.1670522))","[3599293349, 3599293350, 3599293351, 3599293352, 3599293353, 3599293354, 3599293349]",dormitory,,,北十二学生宿舍,北十二学生宿舍,,Dorm of North-12,,,,,,,,,
way,354147319,"POLYGON ((113.3344378 23.1672582, 113.3349328 23.1671423, 113.3350309 23.1671938, 113.3350356 23.1673055, 113.3346713 23.1673956, 113.3345079 23.1673999, 113.3344378 23.1673527, 113.3344378 23.1672582))","[3599293355, 3599293356, 3599293357, 3599293358, 3599293359, 3599293360, 3599293361, 3599293355]",dormitory,,,北十学生宿舍,北十学生宿舍,9,,,,,,,,,,
way,354147321,"POLYGON ((113.3344005 23.1667688, 113.3352364 23.1665026, 113.3353671 23.1665756, 113.3353718 23.16664, 113.3345826 23.1669062, 113.3344145 23.1669019, 113.3344005 23.1667688))","[3599293362, 3599293363, 3599293364, 3599293365, 3599293366, 3599293367, 3599293362]",dormitory,,,北十一学生宿舍,北十一学生宿舍,,,,,,,,,,,
way,354147324,"POLYGON ((113.3352787 23.1664523, 113.3355636 23.1663321, 113.3357691 23.1663235, 113.3359792 23.1664051, 113.3359885 23.1664952, 113.3358017 23.166521, 113.3357924 23.1664652, 113.3356663 23.1664781, 113.3356663 23.166521, 113.3355262 23.166521, 113.3355356 23.1665983, 113.3353861 23.1665768, 113.3353161 23.1665382, 113.3352787 23.1664523))","[3599293368, 3599293369, 3599293370, 3599293371, 3599293372, 3599293373, 3599293374, 3599293375, 3599293376, 3599293377, 3599293378, 3599293379, 3599293380, 3599293368]",dormitory,,,北十三学生宿舍,北十三学生宿舍,,,,,,,,,,,
way,354147366,"POLYGON ((113.3368437 23.1655817, 113.3367736 23.1652382, 113.3369744 23.165191, 113.3369371 23.1650879, 113.337264 23.1650106, 113.3373107 23.1651738, 113.3374414 23.1651394, 113.3375068 23.1653584, 113.3368437 23.1655817))","[3599293460, 3599293461, 3599293462, 3599293463, 3599293464, 3599293465, 3599293466, 3599293467, 3599293460]",yes,,,北区一饭堂,北区一饭堂,,,restaurant,,,,,,,,
way,360052165,"POLYGON ((113.3426653 23.1567033, 113.342727 23.155887, 113.343132 23.1559092, 113.3431213 23.1560695, 113.3428665 23.1560695, 113.342845 23.1565529, 113.3431025 23.1565702, 113.3430944 23.1567453, 113.3426653 23.1567033))","[3646549748, 3646549749, 3646549750, 3646549751, 3646549752, 3646549753, 3646549754, 3646549755, 3646549748]",university,,华南理工大学数学学院、外国语学院,4号楼 数学院,4号楼 数学院,,"No 4 Bldg, School of Math",,,,,,,,,
way,360052166,"POLYGON ((113.3412544 23.1566318, 113.3412625 23.1564691, 113.3414824 23.1564839, 113.3414958 23.1559832, 113.3412893 23.1559709, 113.3412948 23.1557946, 113.3416648 23.1558057, 113.3416353 23.1566441, 113.3412544 23.1566318))","[3646549756, 3646549757, 3646549758, 3646549759, 3646555990, 3646549761, 3646549762, 3646549763, 3646549756]",university,,华南理工大学自动化科学与工程学院,3号楼,3号楼,,"No 3 Bldg, School of Informatics",,,,,,,,,
way,360052167,"POLYGON ((113.3418584 23.1569056, 113.3418043 23.1568414, 113.3418097 23.1567724, 113.3420752 23.1567896, 113.3420779 23.1567033, 113.3418472 23.1566935, 113.3418526 23.1565776, 113.3419545 23.156585, 113.3419626 23.1565628, 113.3423568 23.1565874, 113.3423676 23.1566096, 113.3424373 23.1566121, 113.3424239 23.1567107, 113.3421744 23.1567107, 113.3421664 23.1567773, 113.3421637 23.1567995, 113.3423139 23.1568069, 113.3423193 23.1567527, 113.3424132 23.1567576, 113.3424078 23.156945, 113.3423246 23.1569475, 113.3423246 23.1568858, 113.3421905 23.1568809, 113.3421905 23.1569376, 113.3422939 23.1569432, 113.3422951 23.1570183, 113.3419005 23.1570065, 113.3418958 23.1569432, 113.3420639 23.156955, 113.3420593 23.1568659, 113.3419098 23.1568616, 113.3419086 23.1569089, 113.3418584 23.1569056))","[3646549764, 3646549765, 3646549766, 3646549767, 3646549768, 3646549769, 3646549770, 3646549771, 3646549772, 3646549773, 3646549774, 3646549775, 3646549776, 3646549777, 3646549778, 3646549779, 3646549780, 3646549781, 3646549782, 3646549783, 3646549784, 3646549785, 3646549786, 3646549787, 3646549788, 3646549789, 3646549790, 3646549791, 3646549792, 3646549893, 3646549894, 3646549895, 3646549764]",school,,,2号楼,2号楼,,,,,,,,,,,
way,360052996,"POLYGON ((113.3393751 23.1546643, 113.3393844 23.1545591, 113.339702 23.1545763, 113.3397183 23.1544947, 113.3395292 23.1544711, 113.3395479 23.154353, 113.3398117 23.1543809, 113.3397697 23.1546922, 113.3393751 23.1546643))","[3646557381, 3646557382, 3646557383, 3646557384, 3646557385, 3646557386, 3646557387, 3646557388, 3646557381]",university,,,23号楼,23号楼,,,,,,,,,,,
way,360052997,"POLYGON ((113.3404959 23.1547394, 113.3405332 23.154456, 113.3408091 23.1544744, 113.3408152 23.1546671, 113.3409475 23.1546937, 113.3409261 23.1547917, 113.3404959 23.1547394))","[3646557389, 3646557390, 3646557308, 3646557307, 3646557391, 3646557305, 3646557389]",university,,,22号楼,22号楼,,,,,,,,,,,
way,360053003,"POLYGON ((113.3408641 23.1536663, 113.3406073 23.1536512, 113.3405489 23.1535697, 113.3404181 23.1534988, 113.3403534 23.1534513, 113.3403955 23.1533761, 113.3403558 23.1532581, 113.3405372 23.1531875, 113.3406049 23.1532948, 113.3407123 23.153355, 113.3407648 23.1533781, 113.3407544 23.1534666, 113.3407917 23.153516, 113.3407964 23.1535611, 113.3408478 23.1535675, 113.3408921 23.1536147, 113.3409061 23.1536469, 113.3408641 23.1536663))","[3646557426, 3646557427, 3646557428, 3646557429, 3646557406, 3646557405, 3646557403, 3646557430, 3646557431, 3646557432, 3646557433, 3646557434, 3646557435, 3646557436, 3646557437, 3646557438, 3646557439, 3646557426]",university,,,汕头校友楼,汕头校友楼,,,,,,,,,,,
way,360054608,"POLYGON ((113.3440373 23.1559458, 113.3440558 23.1556738, 113.3441729 23.1556852, 113.3441975 23.155654, 113.3442407 23.1556512, 113.344253 23.1556823, 113.3443916 23.1556908, 113.3444409 23.1556625, 113.3445025 23.1556653, 113.3445272 23.155705, 113.3446812 23.1557135, 113.3446597 23.155977, 113.3440373 23.1559458))","[3646572421, 3646572422, 3646572423, 3646572424, 3646572425, 3646572426, 3646572427, 3646572428, 3646572429, 3646572430, 3646572431, 3646572432, 3646572421]",university,,华南理工大学公共管理学院、马克思主义学院,华南理工大学5号楼,华南理工大学5号楼,,,,,,,,,,,
way,360055897,"POLYGON ((113.3414595 23.1590001, 113.3414878 23.1586486, 113.3412924 23.1586467, 113.3412184 23.1586419, 113.3411081 23.1586357, 113.3407658 23.1586193, 113.3407481 23.1589675, 113.3414595 23.1590001))","[3646582593, 3646582594, 3646582605, 3646582617, 3646582616, 3646582595, 3646582596, 3646582593]",university,,,8号楼,8号楼,,,,,,,,,,,
way,360055899,"POLYGON ((113.3406491 23.1585983, 113.3406815 23.1584141, 113.3406875 23.1583315, 113.3406984 23.1581366, 113.3403441 23.1581054, 113.3403009 23.1585728, 113.3406491 23.1585983))","[3646582601, 3646582611, 3646582610, 3646582602, 3646582603, 3646582604, 3646582601]",university,,华南理工大学电力学院,9号楼,9号楼,,"No 9 Bldg, School of Electrical Engineering",,,,,,,,,
way,360055901,"POLYGON ((113.340685 23.1589729, 113.3407084 23.1587003, 113.3402927 23.1586745, 113.3402883 23.1587478, 113.3402787 23.1589042, 113.3403885 23.1589107, 113.3403955 23.1588548, 113.3404842 23.1588656, 113.3404795 23.1589665, 113.340685 23.1589729))","[3646582619, 3646582620, 3646582621, 3646582647, 3646582622, 3646582623, 3646582624, 3646582625, 3646582626, 3646582619]",university,,,计算中心,计算中心,,Computing House,,,,,,,,,
way,360056185,"POLYGON ((113.3377266 23.1605608, 113.3376059 23.159932, 113.3371794 23.160001, 113.3371499 23.159858, 113.3377722 23.1597544, 113.3379143 23.1605337, 113.3377266 23.1605608))","[3646586657, 3646586662, 3646586659, 3646586658, 3646586661, 3646586660, 3646586657]",university,,,建筑力学实验室,建筑力学实验室,,,,,,,,,,,
way,360056891,"POLYGON ((113.3380466 23.1559328, 113.3381334 23.1558226, 113.3382112 23.1558714, 113.338597 23.1561187, 113.3386749 23.156174, 113.3385651 23.1562977, 113.3380466 23.1559328))","[3646598304, 3646598305, 3646598306, 3646598309, 3646598310, 3646598314, 3646598304]",yes,,,西湖厅,西湖厅,,,restaurant,,,,,,,,
way,360056892,"POLYGON ((113.3384315 23.1557942, 113.3386063 23.1559044, 113.338647 23.1558558, 113.3386714 23.1558764, 113.3387425 23.1557811, 113.338645 23.1557119, 113.3386246 23.1557362, 113.338462 23.1556185, 113.3384254 23.1556708, 113.3384925 23.1557213, 113.3384315 23.1557942))","[3646598315, 3646598316, 3646598317, 3646598318, 3646598319, 3646598320, 3646598321, 3646598322, 3646598323, 3646598324, 3646598315]",yes,,,中区饭堂（学生第五饭堂）,中区饭堂（学生第五饭堂）,,,restaurant,cafeteria,,,,,,,
way,360746328,"POLYGON ((113.3403057 23.149661, 113.3406513 23.1494588, 113.3405351 23.1492909, 113.3403916 23.1493748, 113.3402092 23.1491112, 113.340007 23.1492295, 113.3403057 23.149661))","[3653008289, 3653008290, 3653008291, 3653008293, 3653008294, 3653008295, 3653008289]",university,,,广汽研究院,广汽研究院,,,,,,,,,,,
way,362682627,"POLYGON ((113.3407481 23.1589675, 113.3407658 23.1586193, 113.3414878 23.1586486, 113.3414595 23.1590001, 113.3407481 23.1589675))","[3646582596, 3646582595, 3646582594, 3646582593, 3646582596]",university,,,,,,,,,,,,,,,
way,362682630,"POLYGON ((113.3412998 23.1585513, 113.3413347 23.1581585, 113.3407821 23.158124, 113.3407821 23.157976, 113.34156 23.1580352, 113.3415297 23.1585649, 113.3412998 23.1585513))","[3213484347, 3669531219, 3669531220, 3669531221, 3669531222, 3213484349, 3213484347]",university,,,逸夫科学馆,逸夫科学馆,,Shaw's Bldg of Science,,,,,,,,,
way,365981998,"POLYGON ((113.3451312 23.157516, 113.3449918 23.1574445, 113.3448389 23.157151, 113.3449488 23.157077, 113.3451554 23.157336, 113.3455175 23.1573532, 113.3455175 23.1574938, 113.3451795 23.1574889, 113.3451312 23.157516))","[3699770985, 3699770986, 3699770987, 3699770988, 3699770989, 3699770990, 3699770991, 3699770992, 3699770985]",yes,,,饮食中心,饮食中心,,,restaurant,,,,,,,,
way,365982000,"POLYGON ((113.3457133 23.1573952, 113.3457079 23.157008, 113.3460244 23.1569858, 113.3460129 23.1573144, 113.345834 23.1573236, 113.3458423 23.1573979, 113.3457133 23.1573952))","[3699770994, 3699770995, 3699770996, 8991691056, 3699770998, 4030153130, 3699770994]",yes,,,第一饭堂,第一饭堂,,,restaurant,,chinese,,,,,,
way,365982001,"POLYGON ((113.3458957 23.1568674, 113.3458903 23.1565863, 113.3457508 23.1565838, 113.3457481 23.1566381, 113.3456972 23.1566405, 113.3456999 23.156823, 113.3457589 23.1568206, 113.3457615 23.1568649, 113.3458957 23.1568674))","[3699771000, 3699771001, 3699771002, 3699771003, 3699771004, 3699771005, 3699771006, 3699771007, 3699771000]",hospital,,,,,,,,,,,,,,,
way,365982003,"POLYGON ((113.345091 23.1570869, 113.3450883 23.1569882, 113.3454826 23.1569981, 113.3454772 23.1568921, 113.3455926 23.1568921, 113.3455952 23.1570943, 113.345091 23.1570869))","[3699771008, 3699771009, 3699771010, 3699771011, 3699771012, 3699771013, 3699771008]",hospital,,,,,,,,,,,,,,,
way,365982005,"POLYGON ((113.3451581 23.1568385, 113.3451579 23.156735, 113.3452735 23.1567348, 113.3452732 23.1565088, 113.3456875 23.1565083, 113.3456876 23.1566052, 113.3455509 23.1566054, 113.345551 23.1566829, 113.3456047 23.1566828, 113.3456048 23.1567437, 113.3454393 23.1567439, 113.3454392 23.1566775, 113.3454926 23.1566775, 113.3454925 23.1565937, 113.3453588 23.1565939, 113.345359 23.1567682, 113.3454502 23.1567681, 113.3454503 23.1568382, 113.3451581 23.1568385))","[3699771014, 3699771015, 3699771016, 3699771017, 5608302195, 3699771019, 3699771020, 3699771021, 3699771022, 3699771023, 3699771024, 3699771225, 3699771226, 3699771227, 3699771228, 3699771230, 3699771231, 3699771232, 3699771014]",hospital,,,华南理工大学医院住院部,华南理工大学医院住院部,,,,,,,,,,,
way,365982006,"POLYGON ((113.3440698 23.1528232, 113.3442509 23.1529572, 113.3443614 23.152941, 113.3445867 23.1529735, 113.3446574 23.1528963, 113.3446441 23.1528476, 113.3445381 23.1528598, 113.3445381 23.1527866, 113.3446706 23.1527704, 113.3446662 23.1526607, 113.3440654 23.1527257, 113.3440698 23.1528232))","[3699771233, 3699771234, 3699771235, 3699771236, 3699771237, 3699771238, 3699771239, 3699771240, 3699771241, 3699771242, 3699771243, 3699771233]",yes,,,,,,,community_centre,,,,,,,,
way,365982008,"POLYGON ((113.339248 23.1526587, 113.3392561 23.1525231, 113.3398944 23.1525403, 113.3399615 23.1525009, 113.3400017 23.1525206, 113.3399561 23.1525551, 113.3399481 23.1527352, 113.3397228 23.1527327, 113.3397201 23.1526735, 113.339248 23.1526587))","[3699771244, 3699771245, 3699771246, 3699771247, 3699771248, 3699771249, 3699771250, 3699771251, 3699771252, 3699771244]",university,,华南理工大学化学与化工学院,逸夫工程馆,逸夫工程馆,,,,,,,,,,,
way,365982009,"POLYGON ((113.3386955 23.1547525, 113.3382207 23.1544368, 113.3381215 23.1545601, 113.3386365 23.1549029, 113.3386982 23.1548142, 113.3386633 23.1547846, 113.3386955 23.1547525))","[3699771253, 3699771254, 3699771255, 3699771256, 3699771257, 3699771258, 3699771253]",dormitory,,,西十九学生宿舍,西十九学生宿舍,,,,,,,,,,,
way,365982013,"POLYGON ((113.3372221 23.1554067, 113.3370585 23.1552982, 113.3370103 23.1553524, 113.3367849 23.1551946, 113.3368279 23.155128, 113.3370103 23.1552563, 113.3370532 23.1552168, 113.3372692 23.1553461, 113.3372221 23.1554067))","[3213469644, 3213469642, 3213469639, 3213469643, 3213469638, 3213469640, 3213469641, 3213469645, 3213469644]",dormitory,,,西十学生宿舍,西十学生宿舍,,,,,,,,,,,
way,365982015,"POLYGON ((113.3406837 23.1565767, 113.3407182 23.1562484, 113.3407639 23.156252, 113.3407261 23.15658, 113.3406837 23.1565767))","[3699771269, 3699771270, 3699771271, 3699771272, 3699771269]",university,,,,,,,,,,,,,,,
