element_type,osmid,geometry,addr:state,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,is_in:state_code,access,wheelchair,addr:unit,amenity,healthcare,opening_hours,phone,website,addr:housenumber,addr:street,addr:city,addr:postcode,nodes,nysgissam:nysaddresspointid,wikimedia_commons,air_conditioning,building:levels,architect,old_name,roof:levels,short_name,start_date,fee,official_name,operator,parking,wikidata,leisure,wikipedia,historic,nysgissam:review,tourism,check_date:opening_hours,location,payment:credit_cards,payment:debit_cards,shop,alt_name,description,addr:housename,man_made,building:material,height,tower:construction,tower:type,layer,addr:country,internet_access,note,roof:shape,gnis:county_id,gnis:created,gnis:state_id,name_1,loc_name,apartments,residential,addr:flats,office,contact:phone,contact:website,contact:fax,smoking,operator:type,sport,bench,bin,shelter_type,golf,content,fast_food,indoor_seating,outdoor_seating,ways,denomination,type
way,35067735,"POLYGON ((-76.4757823 42.4485234, -76.4754726 42.4487789, -76.4760896 42.4491561, -76.476347 42.4489535, -76.4764184 42.4489552, -76.4766395 42.4489552, -76.4766771 42.4489563, -76.4766777 42.4487627, -76.4766701 42.4485113, -76.4765778 42.4485121, -76.4763789 42.4485139, -76.4760109 42.4485171, -76.4759093 42.4485925, -76.4757823 42.4485234))",NY,university,275,Tompkins,2433561,57871b70-0100-4405-bb30-88b2e001a944,no,Mann Library,USGS Geonames,,,yes,,library,,Mo-Fr 08:00-17:00; Sa 12:00-17:00,,https://mannlib.cornell.edu/,237,Mann Drive,Ithaca,14853,"[411296800, 411296801, 411296802, 368051006, 2108264715, 2108264688, 411296804, 1227313508, 2108264684, 2108264681, 3043625672, 411296806, 411296807, 411296800]",,Category:Mann Library (Cornell University),yes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35068418,"POLYGON ((-76.4853446 42.4509669, -76.485348 42.4510283, -76.4851628 42.4510339, -76.4851511 42.4508217, -76.4853016 42.4508172, -76.4853008 42.4508027, -76.485384 42.4508002, -76.4853847 42.4508129, -76.4855534 42.4508079, -76.485552 42.4507831, -76.4856296 42.4507807, -76.4856394 42.450958, -76.4853446 42.4509669))",NY,university,244,Tompkins,2433638,57871b70-0100-4405-bb30-88b2e001a944,no,Olive Tjaden Hall,USGS Geonames,,,,,,,,,,909,University Avenue,Ithaca,14853,"[411302788, 411302789, 411302790, 411302791, 10176607479, 10176607481, 10176607480, 10176607478, 10176607477, 10176607476, 411302792, 411302793, 411302788]",,Category:Olive Tjaden Hall (Cornell University),,4,Charles Babcock,Franklin Hall,1,Tjaden Hall,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90282578,"POLYGON ((-76.4853542 42.4419774, -76.4853684 42.4422368, -76.4855696 42.4423477, -76.4857961 42.442304, -76.4857464 42.4421539, -76.485583 42.4421829, -76.4855528 42.4421663, -76.4855448 42.4419771, -76.4853542 42.4419774))",,apartments,,,,,,Sheldon Court,,,,,,,,,,,420,College Avenue,Ithaca,14850,"[1046926919, 1046926934, 1046926932, 1046926936, 1046926917, 1046926918, 1238894862, 1046926916, 1046926919]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107384398,"POLYGON ((-76.4820945 42.4487609, -76.4821042 42.4489359, -76.4819667 42.4489401, -76.4819673 42.4489513, -76.4819679 42.4489621, -76.4820044 42.448961, -76.4820239 42.4493126, -76.4819881 42.4493136, -76.4819886 42.4493217, -76.4819892 42.4493321, -76.4821255 42.4493279, -76.482135 42.4494986, -76.481555 42.4495165, -76.4815528 42.4494969, -76.4815464 42.4493707, -76.4815464 42.4493471, -76.4815586 42.4493469, -76.4815855 42.4493464, -76.4817775 42.4493406, -76.4817578 42.4489878, -76.481545 42.4489943, -76.481494 42.4489958, -76.4814872 42.4488747, -76.4814825 42.4487909, -76.4817449 42.4487829, -76.4817442 42.4487704, -76.4818553 42.448767, -76.481854 42.4487429, -76.4819817 42.448739, -76.4819831 42.4487643, -76.4820945 42.4487609))",NY,university,261,Tompkins,2433574,57871b70-0100-4405-bb30-88b2e001a944,yes,Rockefeller Hall,USGS Geonames,,,,,,,,,,231,East Avenue,,11780,"[1234261422, 1234261415, 1234261429, 1320865831, 1234261396, 1234261413, 1234261410, 1234261418, 1234261384, 10204561765, 2095788297, 1234261416, 9114701298, 1234261430, 1238895611, 1234261397, 10231191110, 10204561769, 1234261392, 1234261411, 10204561766, 1234261420, 1320865826, 1234261386, 1234261428, 1234261395, 10204561762, 10204561763, 10204561764, 10204561761, 1234261422]",,Category:Rockefeller Hall (Cornell University),,3,,,,,,,,,,Q108990427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107457228,"POLYGON ((-76.4842974 42.4439135, -76.4849059 42.4439014, -76.4849126 42.444083, -76.4847478 42.4440863, -76.4847505 42.4441614, -76.4847739 42.4441609, -76.4847748 42.4441856, -76.4847755 42.4442058, -76.4847936 42.4446986, -76.4846587 42.4446982, -76.4845951 42.4447025, -76.484576 42.4441816, -76.4846116 42.4441809, -76.4846155 42.4441773, -76.4846067 42.4440454, -76.4843024 42.4440515, -76.4842974 42.4439135))",NY,university,235,Tompkins,2433608;2433607,57871b70-0100-4405-bb30-88b2e001a944,no,Hollister Hall;DeFrees Laboratory,USGS Geonames,,,,,,,,,,527,College Avenue,Ithaca,14853,"[1234924312, 1234924112, 1234924240, 1234923769, 1234923935, 1234923881, 11333585668, 11333660586, 1234924054, 11333602391, 1234924253, 1234924344, 1234923805, 2095832790, 1234923973, 1234924208, 1234924312]",TOMP032226,Category:Hollister Hall (Cornell University),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107457238,"POLYGON ((-76.4841897 42.4449492, -76.4839365 42.4449513, -76.483936 42.4449135, -76.4838059 42.4449146, -76.4838047 42.4448364, -76.4838665 42.4448359, -76.4838641 42.4446821, -76.4839321 42.4446816, -76.4839295 42.4445082, -76.4841242 42.4445066, -76.4841266 42.4446646, -76.4841998 42.444664, -76.4844985 42.4446615, -76.4845005 42.4447941, -76.4845014 42.4448523, -76.4841883 42.4448549, -76.4841897 42.4449492))",NY,university,236,Tompkins,2433619,57871b70-0100-4405-bb30-88b2e001a944,no,Carpenter Hall,USGS Geonames,,,,,,,,,,313,Campus Road,Ithaca,14853,"[1234923837, 1234924291, 1234923779, 1234924348, 1234923883, 1234924132, 1234924255, 1234924302, 1234923813, 1234924060, 1234924210, 4632417206, 1234924274, 7021168518, 1234924366, 1234923983, 1234923837]",TOMP005850,"File:Carpenter Hall, Cornell University.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107457257,"POLYGON ((-76.4778874 42.4531166, -76.4773509 42.4531166, -76.4768235 42.4531166, -76.4768235 42.4527946, -76.4778874 42.4527946, -76.4778874 42.4531166))",NY,yes,260,Tompkins,2433538,57871b70-0100-4405-bb30-88b2e001a944,no,Helen Newman Hall,USGS Geonames,,,,,,,,,,163,Cradit Farm Drive,Ithaca,14853,"[1234924328, 1234924326, 1234924207, 1234923917, 1234924300, 1234924328]",,"File:Helen Newman Hall, Cornell University.jpg",,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107457269,"POLYGON ((-76.4799644 42.445644, -76.4799727 42.4462629, -76.4813767 42.4462526, -76.481377 42.4462802, -76.4815136 42.4462792, -76.4815117 42.4461397, -76.4814519 42.4461402, -76.4814463 42.4457332, -76.4814942 42.4457329, -76.4814923 42.4455943, -76.4812256 42.4455963, -76.4812262 42.4456348, -76.4799644 42.445644))",NY,university,257,Tompkins,2433581,57871b70-0100-4405-bb30-88b2e001a944,no,Barton Hall,USGS Geonames,,,,,,,,,,117,Statler Drive,Ithaca,14853,"[1234924273, 1234924105, 1234924124, 1234924293, 1234923781, 1234923878, 1234924043, 1234924251, 1234924341, 1234924304, 1234923819, 1234924064, 1234924273]",TOMP000985,Category:Barton Hall (Cornell University),,,,,,,,,,,,Q4865629,,en:Barton Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107457278,"POLYGON ((-76.4824953 42.4473979, -76.4822126 42.4474065, -76.4819308 42.4474151, -76.481907 42.4469897, -76.4821825 42.4469813, -76.4824715 42.4469725, -76.4824953 42.4473979))",NY,university,249,Tompkins,2433584,57871b70-0100-4405-bb30-88b2e001a944,no,Uris Hall,USGS Geonames,,,,,,,,,,,,,,"[1234924316, 9114701289, 1234924127, 1234923909, 9114701288, 1234924294, 1234924316]",,Category:Uris Hall (Cornell University),,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869106,"POLYGON ((-76.4821 42.4481875, -76.4820581 42.4481892, -76.4820566 42.4481497, -76.4820115 42.4481515, -76.4820105 42.4481263, -76.4820604 42.4481244, -76.4820572 42.4480436, -76.481876 42.4480508, -76.4818797 42.4481456, -76.4819253 42.4481438, -76.4819276 42.4482018, -76.4818409 42.4482052, -76.4818451 42.4483106, -76.4818139 42.4483119, -76.4818161 42.4483697, -76.481774 42.4483714, -76.4817763 42.4484304, -76.4819798 42.4484224, -76.4819772 42.4483547, -76.4820186 42.4483531, -76.4820178 42.4483325, -76.4821056 42.448329, -76.4821 42.4481875))",NY,yes,262,Tompkins,2433576,57871b70-0100-4405-bb30-88b2e001a944,no,Andrew Dickson White House,USGS Geonames,,,,,,,,,,121,Presidents Drive,Ithaca,14853,"[1238895114, 1238895254, 1238894691, 1238895088, 1238895175, 1238895507, 1238895130, 1238895437, 1238895517, 1238894721, 1238895345, 1238895686, 1238895803, 1238894993, 1238895719, 1238894914, 1238895010, 1238895381, 1238894820, 1238895206, 1238895279, 1238895605, 1238895114]",TOMP031995,Category:Andrew Dickson White House,,,,,,A.D. White House,,,,,,Q4756809,,en:Andrew Dickson White House,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869111,"POLYGON ((-76.480662 42.4501492, -76.4801355 42.4501663, -76.4801361 42.4501758, -76.4800574 42.4501784, -76.4800615 42.4502466, -76.4801083 42.4502451, -76.4801116 42.4502998, -76.4801527 42.4502985, -76.480152 42.4502871, -76.4806278 42.4502717, -76.4806285 42.4502833, -76.4806699 42.450282, -76.480662 42.4501492))",NY,university,266,Tompkins,2433569,57871b70-0100-4405-bb30-88b2e001a944,yes,Newman Laboratory,USGS Geonames,,,,,,,,,,153,Sciences Drive,Ithaca,14853,"[1238895689, 1238894712, 3167866080, 10102606496, 10102606495, 10102606494, 1238895119, 10102606491, 10102606492, 10102606493, 10102606490, 1238895202, 1238895689]",,"File:Newman Laboratory, Cornell University-2.jpg",,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869114,"POLYGON ((-76.4830703 42.4496232, -76.483064 42.4494769, -76.4834066 42.4494622, -76.4833946 42.4491818, -76.4833093 42.4491782, -76.4832388 42.449133, -76.4832134 42.4490769, -76.483237 42.4490064, -76.483293 42.4489684, -76.483385 42.4489592, -76.4833746 42.4487166, -76.4830626 42.4487299, -76.4830551 42.4485545, -76.4833797 42.4485406, -76.4834309 42.4485384, -76.4836873 42.4485274, -76.4836966 42.4487447, -76.4836423 42.448747, -76.483653 42.4489957, -76.4837358 42.4489932, -76.4837415 42.4490617, -76.4837425 42.4491463, -76.483654 42.4491478, -76.4836648 42.4494015, -76.4837355 42.4493985, -76.4837439 42.4495943, -76.4834791 42.4496057, -76.4830703 42.4496232))",NY,university,249,Tompkins,2433628,57871b70-0100-4405-bb30-88b2e001a944,no,Goldwin Smith Hall,USGS Geonames,,,,,,,,,,232,East Avenue,Ithaca,14853,"[1238895807, 1238894842, 1238895524, 1238894753, 1238895767, 1238895421, 1238895473, 1238894976, 1238895328, 1238895044, 1238895389, 1238895466, 1238895834, 1238895303, 1320865839, 1238895636, 1238895731, 1238894944, 1238895654, 1238895025, 1238895734, 1238895165, 1238895762, 1238894953, 1238895048, 1238895394, 1320865816, 1238895807]",,Category:Goldwin Smith Hall (Cornell University),,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869120,"POLYGON ((-76.4821074 42.449632, -76.4821088 42.4496577, -76.4821341 42.4496569, -76.4821369 42.4497091, -76.4821105 42.4497103, -76.4821117 42.4497477, -76.4821238 42.4499923, -76.4818446 42.4500001, -76.481847 42.4500447, -76.4814748 42.4500558, -76.4814527 42.4496516, -76.4817785 42.4496418, -76.4820069 42.449635, -76.4821074 42.449632))",NY,university,,,,,,Physical Sciences Building,,,,,,,,,,,245,East Avenue,Ithaca,14853,"[1238894749, 10205509331, 10205509334, 10205509333, 10205509332, 10229430338, 10205058897, 1238895527, 10205058895, 10205058896, 1238894866, 10205509344, 10229430334, 1238894749]",TOMP058555,Category:Physical Sciences Building (Cornell),,,,,,,,,,,,,,,,no matching street nearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869129,"POLYGON ((-76.4813079 42.4489632, -76.4812679 42.4489642, -76.4812697 42.4490025, -76.4809358 42.4490108, -76.4809341 42.448975, -76.4808792 42.4489764, -76.4808725 42.4488326, -76.4809279 42.4488312, -76.480926 42.4487911, -76.481257 42.4487828, -76.4812587 42.4488204, -76.4813013 42.4488193, -76.4813079 42.4489632))",NY,university,264,Tompkins,2433575,57871b70-0100-4405-bb30-88b2e001a944,no,Space Sciences Building,USGS Geonames,,,,,,,,,,122,Sciences Drive,Ithaca,14853,"[5532426184, 5532426186, 5532426187, 5532426188, 5532426189, 1238895701, 1238895811, 5532426192, 5532426191, 5532426190, 5532426193, 1238895005, 5532426184]",TOMP032125,Category:Space Sciences Building (Cornell University),,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869173,"POLYGON ((-76.4798347 42.4494384, -76.4799275 42.4494368, -76.4799281 42.4495058, -76.4802367 42.4495043, -76.4803111 42.449514, -76.4803105 42.4494362, -76.4804031 42.4494359, -76.4804036 42.4493684, -76.4803957 42.4493683, -76.480396 42.4492379, -76.4803859 42.4492038, -76.4803634 42.449166, -76.4803362 42.4491345, -76.4803024 42.4491061, -76.4802691 42.4490872, -76.4802457 42.4490803, -76.4802448 42.4490728, -76.4802503 42.4490728, -76.4802501 42.4490173, -76.4799753 42.4490159, -76.4799745 42.4490731, -76.4799866 42.4490734, -76.4799862 42.4490801, -76.4799429 42.4491015, -76.4799158 42.4491218, -76.4798886 42.4491463, -76.4798663 42.4491722, -76.4798494 42.4492029, -76.4798408 42.4492374, -76.4798429 42.449372, -76.4798352 42.4493724, -76.4798347 42.4494384))",NY,yes,266,Tompkins,2433566,57871b70-0100-4405-bb30-88b2e001a944,no,Bailey Hall,USGS Geonames,,,,,theatre,,,,,230,Garden Avenue,Ithaca,14853,"[1238895350, 1238895698, 1238895200, 10074135199, 1238895515, 1238895593, 1238894809, 10074135210, 1238895819, 1238895032, 10074135209, 10074135208, 1238895159, 1238895462, 1238894935, 10074135206, 10074135207, 10074135205, 1238895296, 1238895384, 10074135204, 1238895725, 10074135203, 10074135202, 1238895324, 10074135211, 10074135201, 1238895763, 1238894958, 10074135200, 1238895546, 1238895350]",,"Category:Bailey Hall (Ithaca, New York)",,,,,,,,,,Cornell University,,Q4848356,,"en:Bailey Hall (Ithaca, New York)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107869176,"POLYGON ((-76.4811036 42.4483582, -76.4809654 42.4483663, -76.480975 42.4484556, -76.4807931 42.4484662, -76.4807994 42.448525, -76.4809269 42.4485176, -76.4809317 42.448562, -76.4811243 42.4485507, -76.4811036 42.4483582))",NY,yes,263,Tompkins,2433578,57871b70-0100-4405-bb30-88b2e001a944,no,Big Red Barn,USGS Geonames,,,,,pub,,,,,135,Presidents Drive,Ithaca,14853,"[1238895397, 1238895339, 1238895666, 1238895248, 1238895569, 1238895682, 1238894905, 1238894686, 1238895397]",TOMP029111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115036257,"POLYGON ((-76.4871428 42.442329, -76.4864636 42.4423451, -76.486475 42.4426057, -76.4871542 42.4425895, -76.4871428 42.442329))",NY,dormitory,,,,,,Cascadilla Hall,,,,,,,,,,,115,Cascadilla Place,Ithaca,14853,"[1301351061, 1301351064, 1301351051, 1301351068, 1301351061]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116671005,"POLYGON ((-76.4805015 42.4483611, -76.4804091 42.4483613, -76.480095 42.4483619, -76.4798794 42.4483624, -76.4798783 42.4480987, -76.4800947 42.4480984, -76.4801292 42.4480983, -76.4805004 42.4480973, -76.4805011 42.4482726, -76.4805015 42.4483611))",NY,university,263,Tompkins,2433579,57871b70-0100-4405-bb30-88b2e001a944,,Malott Hall,USGS Geonames,,,,,,,,,,212,Garden Avenue,Ithaca,14853,"[1314709300, 5064891872, 5064891871, 1314709293, 1314709314, 10204561775, 10204561774, 1314709334, 5064891873, 1314709300]",TOMP022401,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116671008,"POLYGON ((-76.4814013 42.4506525, -76.4808271 42.4506638, -76.480833 42.4508273, -76.4808792 42.4508263, -76.4808797 42.4508402, -76.4813786 42.4508305, -76.481378 42.4508155, -76.4814088 42.4508149, -76.4814013 42.4506525))",NY,university,262,Tompkins,2433571,57871b70-0100-4405-bb30-88b2e001a944,no,Olin Chemistry Research Laboratory,USGS Geonames,,,,,,,,,,162,Sciences Drive,Ithaca,14853,"[1314709348, 1314709291, 1314709299, 10205058886, 10205058887, 10205058888, 10205058885, 1238895235, 1314709348]",TOMP021258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116671009,"POLYGON ((-76.4797789 42.4501235, -76.4797648 42.4498422, -76.4799069 42.4498428, -76.4799025 42.4497779, -76.4799641 42.4497757, -76.4799641 42.4498417, -76.4799891 42.4498406, -76.4800001 42.4501009, -76.4799154 42.4501009, -76.4799177 42.4501252, -76.479873 42.4501617, -76.4798519 42.4501582, -76.4798471 42.4501252, -76.4797789 42.4501235))",NY,university,269,Tompkins,2433568,57871b70-0100-4405-bb30-88b2e001a944,no,Kinzelberg Hall,USGS Geonames,,,,,,,,,,244,Garden Avenue,Ithaca,14853,"[1314709332, 1314709343, 1314709351, 1314709304, 1314709316, 1314709335, 1314709338, 1314709294, 1314709301, 1314709320, 1314709324, 1314709346, 1314709345, 1314709332]",TOMP020537,,,,,,,,,,,,,,,,,repeat address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116671010,"POLYGON ((-76.4804929 42.4497766, -76.4804932 42.449655, -76.4797577 42.4496543, -76.4797575 42.4497759, -76.4799025 42.4497779, -76.4799641 42.4497757, -76.4804929 42.4497766))",NY,university,268,Tompkins,2433567,57871b70-0100-4405-bb30-88b2e001a944,no,Savage Hall,USGS Geonames,,,,,,,,,,244,Garden Avenue,Ithaca,14853,"[1314709358, 1314709352, 1314709305, 1314709310, 1314709304, 1314709316, 1314709358]",TOMP019060,,,,,,,,,,,,,,,,,repeat address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,116671016,"POLYGON ((-76.4795442 42.448526, -76.4795437 42.4484701, -76.479543 42.4483123, -76.479505 42.4483124, -76.4795032 42.4478136, -76.4793012 42.447814, -76.4793014 42.4478715, -76.4789506 42.4478722, -76.4789523 42.4484067, -76.4790177 42.4484066, -76.4790175 42.4483446, -76.4790514 42.4483589, -76.4790893 42.4483663, -76.4791265 42.4483701, -76.4791606 42.4483677, -76.4791998 42.4483586, -76.4792332 42.4483431, -76.4792563 42.4483255, -76.4793064 42.4483254, -76.4793071 42.4484831, -76.4793076 42.4485265, -76.4795442 42.448526))",NY,university,265,Tompkins,2433565,57871b70-0100-4405-bb30-88b2e001a944,no,Kennedy Hall,USGS Geonames,,,,,,,,,,215,Garden Avenue,Ithaca,14853,"[10572152073, 10572152076, 1314709333, 1314709337, 1314709354, 1314709298, 1314709317, 1314709321, 1314709341, 10074141033, 10074141034, 10074141038, 10074141040, 10074141039, 10074141037, 10074141036, 10074141035, 10074141032, 1314709357, 10572152075, 10572152074, 10572152073]",,Category:Kennedy/Roberts Hall (Cornell University),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
