element_type,osmid,nodes,building,int_name,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,sport,geometry,addr:housename,addr:housenumber,addr:postcode,addr:street,roof:shape,roof:colour,man_made,amenity,fast_food,building:levels,ways,type
way,267944906,"[2733348507, 2733348508, 2733348509, 2733348510, 2733348507]",yes,,,,,,,,"POLYGON ((116.3600614 39.963443, 116.3610117 39.9634737, 116.3610171 39.9633751, 116.3600668 39.9633444, 116.3600614 39.963443))",,,,,hipped,red,,,,,,
way,267944907,"[2733348511, 2733348512, 2733348513, 2733348514, 2733348511]",yes,,,,,,,,"POLYGON ((116.3602476 39.9631289, 116.3610384 39.9631459, 116.3610417 39.9630545, 116.360251 39.9630375, 116.3602476 39.9631289))",,,,,hipped,red,,,,,,
way,267944908,"[2733348515, 8961990560, 2733348516, 2733348517, 8961990561, 2733348518, 2733348515]",yes,,,,,,,,"POLYGON ((116.3601448 39.9628078, 116.3612374 39.9628438, 116.3612834 39.9628453, 116.3612888 39.9627479, 116.361249 39.9627466, 116.3601502 39.9627104, 116.3601448 39.9628078))",,,,,hipped,red,,,,,,
way,267944909,"[2733348519, 8961990563, 2733348520, 2733348521, 8961990562, 2733348522, 2733348519]",yes,,,,,,,,"POLYGON ((116.3601594 39.9623947, 116.3612719 39.9624248, 116.3613052 39.9624257, 116.3613008 39.9625213, 116.361264 39.9625203, 116.360155 39.9624902, 116.3601594 39.9623947))",,,,,hipped,red,,,,,,
way,267944910,"[2733348523, 8961990559, 2733348524, 2733348525, 8961990558, 2733348526, 2733348523]",yes,,,,,,,,"POLYGON ((116.3613904 39.9624145, 116.362104 39.9624303, 116.3621143 39.9624305, 116.3621107 39.9625255, 116.3620913 39.9625251, 116.3613868 39.9625095, 116.3613904 39.9624145))",,,,,hipped,red,,,,,,
way,267944911,"[2733348527, 8961990556, 2733348528, 2733348529, 8961990557, 2733348530, 2733348527]",yes,,,,,,,,"POLYGON ((116.36135 39.962844, 116.3620544 39.9628668, 116.3620704 39.9628673, 116.3620754 39.9627759, 116.3620641 39.9627755, 116.3613551 39.9627525, 116.36135 39.962844))",,,,,hipped,red,,,,,,
way,267944912,"[2733348531, 2733348532, 2733348533, 2733348534, 2733348531]",yes,,,,,,,,"POLYGON ((116.361233 39.9632065, 116.3619373 39.9632291, 116.3619458 39.9630738, 116.3612415 39.9630512, 116.361233 39.9632065))",,,,,,red,,,,,,
way,267944913,"[2733348535, 2733348536, 2733348537, 2733348538, 2733348535]",yes,,,,,,,,"POLYGON ((116.3601321 39.9637565, 116.3608883 39.9637732, 116.3608918 39.9636794, 116.3601356 39.9636627, 116.3601321 39.9637565))",,,,,hipped,red,,,,,,
way,267944914,"[2733348539, 2733348540, 2733348541, 2733348542, 2733348539]",yes,,,,,,,,"POLYGON ((116.3609656 39.9637771, 116.3609698 39.9636835, 116.3619189 39.9637082, 116.3619148 39.9638017, 116.3609656 39.9637771))",,,,,hipped,red,,,,,,
way,267944915,"[2733348543, 2733348544, 2733348545, 2733348546, 2733348543]",yes,,,,,,,,"POLYGON ((116.3620266 39.9638141, 116.3623746 39.9638257, 116.3623798 39.9637338, 116.3620318 39.9637222, 116.3620266 39.9638141))",,,,,hipped,red,,,,,,
way,267944916,"[2733348547, 8961990568, 2733348548, 2733348549, 8961990569, 2733348550, 2733348547]",yes,,,,,,,,"POLYGON ((116.3620502 39.9633037, 116.3629992 39.9633313, 116.3630436 39.9633325, 116.3630391 39.9634233, 116.3629925 39.963422, 116.3620457 39.9633944, 116.3620502 39.9633037))",,,,,hipped,red,,,,,,
way,267944917,"[2733348551, 2733348552, 2733348553, 2733348554, 2733348551]",yes,,,,,,,,"POLYGON ((116.3624025 39.9638197, 116.363058 39.9638415, 116.363063 39.9637524, 116.3624075 39.9637307, 116.3624025 39.9638197))",,,,,hipped,red,,,,,,
way,267944918,"[2733348555, 2733348556, 8961990572, 2733348557, 2733348558, 8961990571, 2733348555]",yes,,,,,,,,"POLYGON ((116.3621465 39.9632086, 116.3621507 39.9631141, 116.3630155 39.9631367, 116.3630505 39.9631376, 116.3630463 39.9632322, 116.3630085 39.9632312, 116.3621465 39.9632086))",,,,,hipped,red,,,,,,
way,267944919,"[2733348559, 8961990573, 2733348560, 2733348561, 8961990574, 2733348562, 2733348559]",yes,,,,,,,,"POLYGON ((116.3621574 39.962873, 116.363033 39.9629021, 116.3630653 39.9629032, 116.3630708 39.9628061, 116.3630356 39.9628049, 116.3621629 39.9627759, 116.3621574 39.962873))",,,,,hipped,red,,,,,,
way,267946183,"[2733359255, 2733359256, 2733359257, 2733359258, 2733359255]",yes,,,,,,,,"POLYGON ((116.3620958 39.9630493, 116.3630074 39.9630773, 116.3630123 39.9629835, 116.3621007 39.9629555, 116.3620958 39.9630493))",,,,,hipped,red,,,,,,
way,267946184,"[2733359260, 8961990575, 2733359262, 2733359264, 8961990576, 2733359266, 2733359260]",yes,,,,,,,,"POLYGON ((116.3621892 39.9625492, 116.3630558 39.9625751, 116.3630738 39.9625756, 116.3630787 39.9624791, 116.3630662 39.9624787, 116.3621941 39.9624526, 116.3621892 39.9625492))",,,,,hipped,red,,,,,,
way,267946186,"[2733359276, 8961990567, 2733359278, 2733359285, 8961990570, 2733359287, 2733359276]",yes,,,,,,,,"POLYGON ((116.3620905 39.9635012, 116.3629871 39.9635346, 116.3630761 39.9635379, 116.3630818 39.9634484, 116.3629911 39.963445, 116.3620962 39.9634116, 116.3620905 39.9635012))",,,,,hipped,red,,,,,,
way,267946192,"[2733359325, 2733359327, 2733359329, 2733359331, 2733359325]",yes,,,乐育1楼,乐育1楼,乐育1楼,樂育1樓,,"POLYGON ((116.3638657 39.9612125, 116.3640479 39.9612223, 116.3640983 39.9606693, 116.363916 39.9606596, 116.3638657 39.9612125))",,,,,hipped,,,,,,,
way,267946193,"[2733359333, 2733359335, 2733359336, 2733359338, 2733359333]",yes,,,,,,,,"POLYGON ((116.3638302 39.9623179, 116.3639786 39.9623247, 116.3640457 39.9614581, 116.3638972 39.9614514, 116.3638302 39.9623179))",,,,,,,,,,,,
way,267946194,"[2733359340, 2733359342, 2733359344, 2733359345, 2733359340]",yes,,,,,,,,"POLYGON ((116.363256 39.9615428, 116.3638288 39.9615722, 116.3638366 39.9614828, 116.3632638 39.9614534, 116.363256 39.9615428))",,,,,,,,,,,,
way,267946195,"[2733359347, 2733359348, 2733359349, 2733359350, 2733359347]",yes,,,,,,,,"POLYGON ((116.3632327 39.9618386, 116.3637744 39.9618715, 116.3637839 39.9617796, 116.3632422 39.9617467, 116.3632327 39.9618386))",,,,,,,,,,,,
way,267946196,"[2733359351, 2733359352, 2733359353, 2733359354, 2733359351]",yes,,,,,,,,"POLYGON ((116.3635367 39.962187, 116.3637341 39.9621961, 116.363747 39.9620328, 116.3635496 39.9620236, 116.3635367 39.962187))",,,,,,,,,,,,
way,267946198,"[2733359360, 2733359362, 2733359364, 2733359366, 2733359360]",yes,,,乐育6楼,乐育6楼,乐育6楼,樂育6樓,,"POLYGON ((116.3618227 39.9611385, 116.3622853 39.9611618, 116.3622924 39.9610792, 116.3618298 39.9610559, 116.3618227 39.9611385))",,,,,hipped,,,,,,,
way,267946199,"[2733359368, 8961990548, 2733359370, 2733359377, 8961990549, 2733359379, 2733359368]",yes,,,乐育3楼,乐育3楼,乐育3楼,樂育3樓,,"POLYGON ((116.3627345 39.9612088, 116.3637785 39.9612715, 116.3638447 39.9612755, 116.3638554 39.9611716, 116.3637862 39.9611674, 116.3627451 39.9611049, 116.3627345 39.9612088))",,,,,hipped,,,,,,,
way,267947991,"[2733378143, 10226863963, 2733378144, 2733378145, 2733378146, 2733378143]",yes,,,学15楼,学15楼,学15楼,學15樓,,"POLYGON ((116.3594543 39.95703, 116.3596179 39.9570305, 116.3603994 39.957033, 116.3604002 39.9568991, 116.359455 39.9568959, 116.3594543 39.95703))",,,,,,,,,,,,
way,267948003,"[2733378165, 2733378166, 2733378168, 2733378170, 2733378172, 2733378174, 2733378176, 2733378178, 2733378179, 2733378181, 2733378183, 2733378185, 2733378187, 2733378188, 2733378189, 2733378190, 2733378191, 2733378192, 2733378193, 2733378194, 2733378195, 2733378196, 2733378197, 2733378165]",yes,,,英东教育楼,英东教育楼,英东教育楼,英東教育樓,,"POLYGON ((116.3606665 39.9573967, 116.3606804 39.9572658, 116.3609641 39.9572834, 116.3610552 39.9572147, 116.3610567 39.9571369, 116.3609538 39.9570367, 116.3607054 39.9570213, 116.3607196 39.9568864, 116.3610361 39.956906, 116.3610831 39.956942, 116.3612465 39.9568825, 116.3617439 39.9568937, 116.3617274 39.9571826, 116.3615983 39.9571788, 116.3616003 39.9571377, 116.3612977 39.957129, 116.3614932 39.9573082, 116.361737 39.9573179, 116.361728 39.9574516, 116.3613785 39.9574377, 116.3612654 39.9573374, 116.361164 39.9573318, 116.3610185 39.9574186, 116.3606665 39.9573967))",,,,,,,,,,,,
way,267948023,"[2733378320, 2733378322, 2733378324, 2733378326, 2733378335, 2733378337, 2733378339, 2733378341, 2733378342, 2733378344, 2733378345, 2733378347, 2733378320]",yes,,,教十楼,教十楼,教十楼,教十樓,,"POLYGON ((116.3606825 39.9579689, 116.3606825 39.9577328, 116.360842 39.9577328, 116.360842 39.9578034, 116.3615652 39.9578034, 116.3615652 39.9577275, 116.3617151 39.9577275, 116.3617151 39.9579689, 116.3615679 39.9579689, 116.3615679 39.9579341, 116.3608324 39.9579341, 116.3608324 39.9579689, 116.3606825 39.9579689))",,,,,,,,,,,,
way,267948024,"[2733378348, 2733378350, 2733378352, 2733378353, 2733378355, 2733378357, 2733378358, 2733378360, 2733378348]",yes,,,教九楼,教九楼,教九楼,教九樓,,"POLYGON ((116.3606931 39.9585836, 116.3609238 39.9585833, 116.3609226 39.9580742, 116.3606986 39.9580746, 116.3606989 39.9582077, 116.3606548 39.9582077, 116.3606553 39.9584523, 116.3606928 39.9584522, 116.3606931 39.9585836))",,,,,,,,,,,,
way,267948025,"[2733378361, 2733378363, 2733378364, 2733378366, 2733378368, 2733378370, 1856733318, 2733378375, 2733378361]",yes,,,教八楼,教八楼,教八楼,教八樓,,"POLYGON ((116.3606715 39.9590072, 116.3608235 39.9590079, 116.3608242 39.9589121, 116.361553 39.9589153, 116.3615523 39.9590123, 116.3617128 39.959013, 116.3617149 39.9587423, 116.3606736 39.9587376, 116.3606715 39.9590072))",,,,,,,,,,,,
way,267948584,"[2733383598, 2733383599, 2733383600, 2733383634, 2733383633, 2733383632, 2733383631, 2733383601, 2733383602, 2733383603, 2733383604, 2733383605, 8961990578, 2733383606, 2733383607, 2733383608, 2733383609, 2733383610, 2733383611, 2733383612, 2933887024, 2733383613, 2733383614, 2733383615, 2733383616, 2733383617, 2733383618, 8961990577, 2733383619, 2733383620, 2733383621, 2733383622, 2733383623, 2933887026, 2933887025, 2733383626, 2733383627, 2733383628, 1856733316, 2733383629, 2733383630, 8961990579, 2733383598]",yes,,,主楼,主楼,主楼,主樓,,"POLYGON ((116.3619465 39.9580741, 116.3619001 39.9586887, 116.3620883 39.9587012, 116.3620333 39.9588231, 116.3620644 39.9589535, 116.3620167 39.9589567, 116.3620146 39.9589837, 116.3620665 39.9589876, 116.3620065 39.9590984, 116.3620334 39.9591004, 116.36206 39.9591508, 116.3621244 39.9591735, 116.3621312 39.9591943, 116.3621324 39.9591981, 116.3622048 39.9592002, 116.3622156 39.9592269, 116.362288 39.9592249, 116.3623014 39.9592392, 116.3623711 39.9592475, 116.3623738 39.9592721, 116.3625321 39.9592804, 116.3625374 39.9592598, 116.3626179 39.9592619, 116.3626259 39.9592454, 116.3626984 39.9592495, 116.3627011 39.959229, 116.3627815 39.9592331, 116.3627794 39.9592139, 116.3627788 39.9592084, 116.3628325 39.9592125, 116.3628781 39.9591837, 116.362862 39.95912, 116.3627949 39.9591036, 116.3628312 39.9590951, 116.3628164 39.9590254, 116.3628285 39.9589925, 116.3628969 39.9588744, 116.3628987 39.9587515, 116.3630321 39.958755, 116.3630834 39.9587563, 116.3631374 39.9581279, 116.3630897 39.9581257, 116.3619465 39.9580741))",,,,,,,,,,,,
way,267948885,"[2733389281, 2733389287, 2733389290, 2733389293, 2733389281]",yes,,,,,,,,"POLYGON ((116.3591301 39.9634289, 116.3597118 39.9634467, 116.3597165 39.9633571, 116.3591348 39.9633393, 116.3591301 39.9634289))",,,,,hipped,red,,,,,,
way,267948886,"[2733389296, 2733389300, 2733389303, 2733389305, 2733389296]",yes,,,,,,,,"POLYGON ((116.3555497 39.9633345, 116.355555 39.9632413, 116.3566392 39.9632776, 116.3566339 39.9633708, 116.3555497 39.9633345))",,,,,hipped,red,,,,,,
way,267948887,"[2733389307, 2733389309, 2733389311, 2733389313, 2733389307]",yes,,,,,,,,"POLYGON ((116.3555251 39.9636365, 116.3555296 39.9635421, 116.356617 39.9635729, 116.3566125 39.9636673, 116.3555251 39.9636365))",,,,,hipped,red,,,,,,
way,267948888,"[2733389316, 2733389328, 8961990566, 2733389331, 2733389333, 8961990565, 2733389316]",yes,,,,,,,,"POLYGON ((116.3567929 39.9633533, 116.3567991 39.9632562, 116.3580344 39.9633027, 116.3580777 39.9633043, 116.3580714 39.9634013, 116.3580302 39.9633998, 116.3567929 39.9633533))",,,,,hipped,red,,,,,,
way,267948889,"[2733389336, 2733389338, 2733389340, 2733389342, 2733389336]",yes,,,,,,,,"POLYGON ((116.3568126 39.96368, 116.3568178 39.9635853, 116.3584653 39.963638, 116.3584601 39.9637327, 116.3568126 39.96368))",,,,,hipped,red,,,,,,
way,267948890,"[2733389344, 2733389346, 2733389348, 2733389351, 2733389344]",yes,,,,,,,,"POLYGON ((116.3585511 39.963706, 116.3589432 39.9637171, 116.3589473 39.9636321, 116.3585552 39.963621, 116.3585511 39.963706))",,,,,hipped,red,,,,,,
way,267948891,"[2733389353, 2733389356, 2733389358, 2733389361, 2733389353]",yes,,,,,,,,"POLYGON ((116.3589598 39.9637358, 116.3597378 39.9637574, 116.3597419 39.9636714, 116.3589639 39.9636498, 116.3589598 39.9637358))",,,,,hipped,red,,,,,,
way,267948892,"[2733389364, 2733389369, 2733389372, 2733389375, 2733389364]",yes,,,学10楼,学10楼,学10楼,學10樓,,"POLYGON ((116.35544 39.9570135, 116.3561035 39.9570122, 116.356103 39.9568702, 116.3554395 39.9568716, 116.35544 39.9570135))",,,,,,,,,,,,
way,267948893,"[2733389378, 2733389380, 2733389383, 2733389385, 2733389378]",yes,,,学11楼,学11楼,学11楼,學11樓,,"POLYGON ((116.3561367 39.9570069, 116.3567607 39.957009, 116.3567615 39.9568709, 116.3561375 39.9568688, 116.3561367 39.9570069))",,,,,,,,,,,,
way,294110459,"[2976850985, 2976850986, 2976850987, 2976850988, 2976850985]",yes,,,,,,,,"POLYGON ((116.3551537 39.9615709, 116.3551623 39.9613655, 116.3554914 39.9613736, 116.3554828 39.9615789, 116.3551537 39.9615709))",,,,,,,,,,,,
way,294110460,"[2976850989, 2976850990, 2976850991, 2976850992, 2976850989]",yes,,,励耘9号楼,励耘9号楼,励耘9号楼,勵耘9號樓,,"POLYGON ((116.3551227 39.962261, 116.3551358 39.9620434, 116.3554734 39.9620553, 116.3554603 39.962273, 116.3551227 39.962261))",,,,,,,,,,,,
way,294110461,"[2976850993, 2976850994, 2976850995, 2976850996, 2976850993]",yes,,,,,,,,"POLYGON ((116.3550716 39.9629413, 116.3550892 39.9627165, 116.355446 39.9627328, 116.3554285 39.9629577, 116.3550716 39.9629413))",,,,,,,,,,,,
way,319522945,"[3259453115, 4532324885, 3259453110, 3259453113, 3259453112, 3259453111, 4532324886, 4532324887, 3259453115]",school,,,教四楼,教四楼,教四楼,教四樓,,"POLYGON ((116.3631762 39.9589128, 116.3631547 39.9591783, 116.3632838 39.9591844, 116.3632931 39.9590703, 116.3640435 39.959106, 116.3640343 39.9592202, 116.3641471 39.9592256, 116.3641687 39.9589601, 116.3631762 39.9589128))",,,,,,,,,,,,
way,361446563,"[3659199979, 3659199980, 3659199981, 3659199982, 3659199979]",yes,,,学生活动中心,学生活动中心,学生活动中心,學生活動中心,,"POLYGON ((116.3567249 39.9612731, 116.3575963 39.9613049, 116.3576119 39.9610534, 116.3567405 39.9610216, 116.3567249 39.9612731))",,,,,,,,,,,,
way,499427391,"[4907044077, 4907044078, 4907044079, 4907044080, 4907044077]",yes,,,北师大誊印厂,北师大誊印厂,北师大誊印厂,北師大謄印廠,,"POLYGON ((116.355576 39.9624545, 116.3555888 39.9621759, 116.3561543 39.9621911, 116.3561415 39.9624698, 116.355576 39.9624545))",,,,,,,works,,,,,
way,499432986,"[4907083464, 4907083465, 4907083466, 4907083467, 4907083468, 4907083469, 4907083464]",yes,,,教工食堂,教工食堂,教工食堂,教工食堂,,"POLYGON ((116.3610327 39.9614115, 116.3610021 39.961669, 116.3605129 39.9616349, 116.3605232 39.9615485, 116.3603807 39.9615386, 116.360401 39.9613674, 116.3610327 39.9614115))",,,,,,,,restaurant,cafeteria,,,
way,499433000,"[4907085170, 4907085171, 4907085172, 4907085173, 4907085170]",yes,,,实习餐厅,实习餐厅,实习餐厅,實習餐廳,,"POLYGON ((116.3610219 39.9616814, 116.3610503 39.9613792, 116.3614663 39.9614021, 116.3614379 39.9617044, 116.3610219 39.9616814))",,,,,,,,restaurant,,,,
way,499433834,"[4907091318, 4907091319, 4907091320, 4907091321, 4907091318]",yes,,,,,,,,"POLYGON ((116.3550372 39.9636255, 116.3550525 39.9633767, 116.3553211 39.9633864, 116.3553057 39.9636352, 116.3550372 39.9636255))",,,,,,,,,,,,
way,499434918,"[4907103309, 4907103310, 4907103311, 4907103312, 4907103309]",yes,,,新乐群餐厅,新乐群餐厅,新乐群餐厅,新樂群餐廳,,"POLYGON ((116.3556813 39.9574382, 116.3556813 39.9572208, 116.3561895 39.9572208, 116.3561895 39.9574382, 116.3556813 39.9574382))",,,,,,,,restaurant,,,,
way,499435186,"[4907109750, 4907109751, 4907109752, 4907109753, 4907109754, 4907109755, 4907109756, 4907109757, 4907109750]",yes,,,学5楼,学5楼,学5楼,學5樓,,"POLYGON ((116.3552855 39.9587828, 116.3558414 39.9587941, 116.3558477 39.9586121, 116.3555191 39.9586054, 116.3555343 39.9581648, 116.3558438 39.9581711, 116.3558492 39.9580161, 116.3553125 39.9580052, 116.3552855 39.9587828))",,,,,,,,,,,,
way,499435187,"[4907109758, 4907109759, 4907109764, 4907109765, 4907109758]",yes,,,学6楼,学6楼,学6楼,學6樓,,"POLYGON ((116.3561753 39.9587639, 116.3561761 39.9585842, 116.3571784 39.9585868, 116.3571776 39.9587668, 116.3561753 39.9587639))",,,,,,,,,,,,
way,499435188,"[4907109766, 4907109767, 4907109768, 4907109769, 4907109773, 9967393508, 4907109771, 4907109770, 4907109766]",yes,,,学7楼,学7楼,学7楼,學7樓,,"POLYGON ((116.3561828 39.9581691, 116.3561783 39.9579766, 116.3571706 39.9579631, 116.3571757 39.9581831, 116.3569768 39.9581858, 116.3569751 39.9581144, 116.3563811 39.9581224, 116.3563821 39.9581664, 116.3561828 39.9581691))",,,,,,,,,,,,
way,499435300,"[4907110312, 4907110313, 4907110314, 4907110315, 4907110316, 4907110317, 4907110318, 4907110319, 4907110312]",yes,,,学8楼,学8楼,学8楼,學8樓,,"POLYGON ((116.3576132 39.9577943, 116.3576155 39.9575524, 116.3578219 39.9575535, 116.357821 39.9576483, 116.3584182 39.9576514, 116.3584192 39.9575487, 116.3586223 39.9575498, 116.3586199 39.9577998, 116.3576132 39.9577943))",,,,,,,,,,,,
way,499435539,"[4907115493, 4907115494, 4907115495, 4907115496, 4907115497, 4907115498, 4907115499, 4907115500, 4907115501, 4907115502, 4907115503, 4907115504, 4907115493]",yes,,,学9楼,学9楼,学9楼,學9樓,,"POLYGON ((116.3576481 39.9573969, 116.3576493 39.9571602, 116.3578294 39.9571608, 116.3578292 39.957214, 116.3583913 39.9572155, 116.3583916 39.957154, 116.3586278 39.9571546, 116.3586267 39.9574033, 116.3583926 39.9574027, 116.3583931 39.957307, 116.357821 39.9573053, 116.3578205 39.9573974, 116.3576481 39.9573969))",,,,,,,,,,,,
way,499437078,"[4907126958, 4907126959, 6381466138, 4907126960, 4907126961, 4907126958]",yes,,,西南餐厅,西南餐厅,西南餐厅,西南餐廳,,"POLYGON ((116.3564911 39.9578176, 116.3564891 39.9576415, 116.3567656 39.9576396, 116.3569512 39.9576384, 116.3569533 39.9578145, 116.3564911 39.9578176))",,,,,,,,restaurant,,,,
way,499437130,"[4907127033, 4907127034, 4907127035, 4907127036, 6381466139, 4907127033]",yes,,,西北餐厅,西北餐厅,西北餐厅,西北餐廳,,"POLYGON ((116.3564956 39.9574182, 116.3564975 39.957229, 116.3569473 39.9572316, 116.3569454 39.9574207, 116.356763 39.9574197, 116.3564956 39.9574182))",,,,,,,,restaurant,,,,
way,540297385,"[5227335245, 5227335246, 5227335247, 5227335248, 5227335245]",yes,,,学4楼,学4楼,学4楼,學4樓,,"POLYGON ((116.3553559 39.9592434, 116.3560342 39.9592503, 116.3560384 39.9590151, 116.35536 39.9590081, 116.3553559 39.9592434))",,,,,,,,,,12,,
way,540297386,"[5227335249, 5227335250, 9967434822, 9967434823, 5227335251, 5227335252, 5227335249]",yes,,,学3楼,学3楼,学3楼,學3樓,,"POLYGON ((116.3553201 39.9597385, 116.355345 39.9592632, 116.3555373 39.9592691, 116.3555283 39.9594421, 116.3560297 39.9594575, 116.3560139 39.9597598, 116.3553201 39.9597385))",,,,,,,,,,,,
