element_type,osmid,created_by,geometry,source,wheelchair,addr:housenumber,addr:street,operator,nodes,amenity,building,building:levels,learning,name,name:fr,wikidata,wikipedia,addr:postcode,addr:city,addr:place,building:levels:underground,internet_access,max_level,min_level,opening_hours,phone,tourism,website,wikipedia:en,addr:province,internet_access:fee,man_made,roof:levels,name:en,leisure,alt_name,sport,attribution,canvec:CODE,canvec:UUID,addr:housename,roof:shape,layer,ways,healthcare,type
way,21340759,,"POLYGON ((-73.5775565 45.5060248, -73.5775786 45.5060013, -73.5775073 45.5059693, -73.5774669 45.5059512, -73.5774035 45.5060197, -73.5773793 45.5060458, -73.5773544 45.5060727, -73.5772864 45.506146, -73.5773968 45.506196, -73.5774139 45.5061758, -73.5778876 45.5063912, -73.5779831 45.5062868, -73.5780295 45.506236, -73.5779869 45.506217, -73.5778758 45.5061674, -73.5775565 45.5060248))",,,845,Rue Sherbrooke Ouest,,"[229534185, 1467665969, 11291338296, 1467665966, 11291338306, 1599121927, 11291338312, 1467665971, 1467665972, 229534180, 229534175, 11289831314, 229534171, 1573497833, 1573497815, 229534185]",,yes,,,James Administration Building,Pavillon James (administration),,,H3A 2T5,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21340760,,"POLYGON ((-73.5792097 45.5066603, -73.5791798 45.5066937, -73.5792206 45.5067138, -73.5790022 45.5069382, -73.5786362 45.5067633, -73.5786209 45.5067782, -73.5783605 45.5066544, -73.5784512 45.506563, -73.5782837 45.5064835, -73.5784454 45.506315, -73.5784563 45.5063036, -73.5792097 45.5066603))",,,,,,"[229534192, 11022857016, 11022857015, 229534195, 11022857017, 11022857018, 229534196, 229534200, 229534203, 11289831305, 229534208, 229534192]",university,yes,,university,Wong Building,Pavillon Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21341171,,"POLYGON ((-73.5798651 45.5069692, -73.5797721 45.5070664, -73.5797827 45.5070718, -73.5797363 45.5071211, -73.5797243 45.5071163, -73.5797094 45.5071319, -73.5796692 45.507174, -73.5791416 45.5069261, -73.5792619 45.5068083, -73.5792488 45.5068004, -73.5793265 45.5067197, -73.5798651 45.5069692))",,,,,,"[229538077, 11022857011, 11022857014, 11022857013, 11022857012, 11289783905, 229538082, 229538087, 11022857007, 11022857008, 229538092, 229538077]",,yes,,university,Penfield 740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21341172,,"POLYGON ((-73.5799517 45.5070555, -73.5803293 45.5072393, -73.5802196 45.5073433, -73.5800278 45.5072493, -73.5799606 45.5073193, -73.5800072 45.5073398, -73.5799089 45.5074415, -73.5799499 45.5074599, -73.5799651 45.5074432, -73.5799962 45.5074565, -73.5800074 45.5074449, -73.5800266 45.507443, -73.5800411 45.5074494, -73.5800599 45.5074309, -73.5801877 45.5074935, -73.5801694 45.5075148, -73.5801842 45.5075238, -73.5801874 45.507536, -73.580179 45.5075454, -73.5802083 45.5075589, -73.5801172 45.5076516, -73.5800881 45.5076377, -73.5800781 45.507647, -73.580059 45.5076472, -73.580047 45.5076409, -73.5800234 45.5076628, -73.5798935 45.507598, -73.5799106 45.5075783, -73.5798993 45.5075715, -73.5798985 45.507559, -73.5799084 45.5075477, -73.5798765 45.5075336, -73.5798944 45.5075158, -73.5798522 45.5074978, -73.5797562 45.5075959, -73.579714 45.5075726, -73.579642 45.5076406, -73.5800144 45.5078234, -73.5799106 45.5079302, -73.5794647 45.5077149, -73.5794344 45.5077003, -73.5793579 45.5076634, -73.5794427 45.5075818, -73.5794548 45.5075702, -73.5794681 45.5075575, -73.5795285 45.507587, -73.57956 45.507556, -73.5795961 45.5075204, -73.5795303 45.5074869, -73.5797955 45.5072154, -73.5798127 45.5071978, -73.5798345 45.5071755, -73.5799237 45.5070842, -73.5799517 45.5070555))",,,3640,Rue University,,"[229538099, 229538104, 229538110, 229538115, 11022826986, 229538119, 11022826985, 11022826984, 11022826983, 11022826982, 11022826981, 11022826980, 11022826979, 11022826978, 11022826977, 11022826976, 229538121, 11022826975, 11022826974, 11022826973, 11022826972, 11022826971, 229538126, 11022826970, 11022826969, 11022826968, 11022826967, 11022826966, 11022826965, 11022826964, 11022826963, 11022826962, 11022826961, 11022826960, 229538128, 11022826959, 229538131, 229538134, 229538138, 11289831370, 11290049965, 229538141, 11290049955, 11022826992, 11022826990, 11022826989, 11022826996, 11022826988, 11022826987, 11289783901, 11289831369, 11289783902, 11290062681, 229538099]",university,yes,,university,Strathcona Anatomy & Dentistry Building,Pavillon Strathcona (anatomie et médecine dentaire),,,H3A 0C7,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21341557,,"POLYGON ((-73.5788907 45.5071566, -73.5789311 45.5071765, -73.5789427 45.507163, -73.5789904 45.5071864, -73.5793223 45.507349, -73.5793092 45.5073614, -73.5793745 45.5073924, -73.579332 45.5074381, -73.5793219 45.507449, -73.5793652 45.5074672, -73.5792238 45.5076142, -73.5788003 45.507415, -73.5786889 45.5073626, -73.5788152 45.5072336, -73.5788301 45.5072184, -73.5788907 45.5071566))",,,3630,Rue University,,"[229541622, 11022827001, 11022827002, 11289783932, 11022827000, 11022826999, 229541625, 11289831359, 11022826998, 11022826997, 229541628, 11290091786, 229541630, 11289783939, 11291338294, 229541622]",university,college,6,university,Trottier Building,Pavillon Trottier,,,H3A 0C6,Montréal,,,,,,,,,,,,,,0,,,,,,,,,,,,,
way,21341559,,"POLYGON ((-73.5782224 45.5067754, -73.5785186 45.5069185, -73.578862 45.5070804, -73.5787601 45.5071879, -73.5786711 45.5072818, -73.5780307 45.5069695, -73.5781367 45.506868, -73.5782224 45.5067754))",,,3600,Rue University,,"[229541641, 10031858489, 229541639, 11291338295, 229541633, 229541646, 1573581599, 229541641]",university,university,,university,Rutherford Physics Building,Pavillon Rutherford (physique),,,H3A 2T8,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21341787,,"POLYGON ((-73.5776371 45.5065165, -73.5775131 45.5066415, -73.5773981 45.5067573, -73.5771299 45.5066266, -73.5773176 45.5064373, -73.5773688 45.5063858, -73.5776371 45.5065165))",,,3520,Rue University,,"[229543831, 11289831287, 229543834, 229543838, 1573581668, 229543841, 229543831]",university,university,,university,Birks Building,Pavillon Birks,,,H3A 2A7,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21341788,,"POLYGON ((-73.5772041 45.5063048, -73.576973 45.5065352, -73.5766189 45.5063715, -73.5766252 45.5063654, -73.5767167 45.5062758, -73.5767377 45.5062551, -73.5768561 45.5061392, -73.5770287 45.5062213, -73.5772041 45.5063048))",,,3506,Rue University,,"[229543860, 229543847, 229543852, 11291338374, 11291338371, 11291338367, 229543855, 11289831283, 229543860]",university,university,4,university,Wilson Hall,Pavillon Wilson,,,H3A 2A7,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21342090,,"POLYGON ((-73.5777283 45.5030916, -73.5779666 45.5032115, -73.5778533 45.5033201, -73.5777926 45.5032929, -73.5777475 45.5033342, -73.5777915 45.5033563, -73.5777562 45.5033887, -73.5777124 45.5033681, -73.5776724 45.5034108, -73.5777561 45.5034531, -73.5777029 45.5035062, -73.57744 45.5033767, -73.5774933 45.5033253, -73.5775123 45.5033323, -73.577632 45.5032134, -73.5776133 45.5032049, -73.5777283 45.5030916))",,,,,,"[229546548, 229546553, 1573564540, 1573564549, 1573564552, 1573564541, 1573564546, 1573564542, 1573564544, 1573564543, 229546557, 229546559, 1573564547, 1573564550, 1573564555, 1573564553, 229546548]",university,yes,,university,Peterson Hall,Pavillon Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,21342091,,"POLYGON ((-73.5775182 45.5031647, -73.5774706 45.5032141, -73.5774004 45.5031807, -73.5773414 45.5032391, -73.5774347 45.5032803, -73.5773743 45.5033413, -73.5770255 45.503187, -73.5770386 45.5031672, -73.5770731 45.5031638, -73.5770865 45.5031702, -73.5772303 45.5030271, -73.5775182 45.5031647))",,,,,,"[229546562, 11367066676, 11367066675, 11367066674, 11367066673, 229546564, 229546567, 11367066671, 11367066672, 332514090, 229546570, 229546562]",university,yes,,university,Faculty Club,Faculty Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23815120,,"POLYGON ((-73.5803159 45.5084129, -73.5808137 45.5086475, -73.5808309 45.5086294, -73.5811051 45.5087607, -73.58082 45.5090508, -73.5807938 45.5090775, -73.5807622 45.5090621, -73.5807434 45.5090802, -73.5807129 45.5090666, -73.5806924 45.5090851, -73.5806603 45.5090692, -73.5806576 45.5090752, -73.5800101 45.5089019, -73.580067 45.5087497, -73.5804446 45.508852, -73.5805734 45.5087136, -73.5802816 45.5085753, -73.5802472 45.5086053, -73.5801957 45.5086956, -73.5801013 45.5086715, -73.5801442 45.5085753, -73.5802129 45.5085933, -73.5802472 45.5085572, -73.5802129 45.5085392, -73.5803159 45.5084129))",,,3775,Rue University,,"[258071216, 258071217, 258071527, 258071528, 1890463571, 258071529, 258071530, 258071531, 258071532, 258072822, 258072823, 258071533, 258071534, 258071535, 258071536, 258071537, 258071538, 258072411, 258071692, 258071693, 258071694, 258071695, 258072412, 258072113, 258071216]",,yes,,,Duff Medical Building,Pavillon Duff (médecine),,,H3A 2B4,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28326202,,"POLYGON ((-73.5838375 45.5107571, -73.5838721 45.5107225, -73.5838938 45.5106831, -73.5839015 45.5106412, -73.5838947 45.5105993, -73.5838737 45.5105597, -73.5838398 45.5105247, -73.5837949 45.5104965, -73.5837418 45.5104766, -73.5836833 45.5104662, -73.5836231 45.510466, -73.583599 45.5104689, -73.5835645 45.5104758, -73.5835109 45.5104952, -73.5834655 45.5105229, -73.5834309 45.5105575, -73.5834219 45.5105739, -73.5834092 45.5105969, -73.5834015 45.5106388, -73.5834084 45.5106808, -73.5834293 45.5107204, -73.5834632 45.5107553, -73.5835081 45.5107835, -73.5835612 45.5108034, -73.5836197 45.5108138, -73.5836799 45.5108141, -73.5837386 45.5108043, -73.5837921 45.5107849, -73.5838375 45.5107571))",,,3935,Rue University,,"[311075137, 1892693323, 1550131887, 1892693432, 311075138, 1892693359, 311075139, 1892693384, 311075140, 1550131886, 311075141, 11020601366, 1892693319, 311075142, 1892693376, 1892693382, 11020601369, 311075143, 1892693338, 311075144, 1892693291, 1550131888, 1892693345, 311075145, 1550131889, 1892693279, 311075146, 1892693366, 311075137]",,yes,,,Bishop Mountain Hall,Pavillon Bishop-Mountain,,,H3A 2B4,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28994376,,"POLYGON ((-73.584547 45.5104679, -73.584328 45.5103123, -73.5843343 45.5103083, -73.5842828 45.5102702, -73.5842756 45.510275, -73.5840547 45.510118, -73.583918 45.5102132, -73.5841042 45.5103462, -73.5840659 45.5103732, -73.5840576 45.5103791, -73.5840751 45.5103914, -73.5840924 45.5104037, -73.5841374 45.5103707, -73.5841406 45.5103725, -73.5841511 45.5103655, -73.5841976 45.5103988, -73.584189 45.5104064, -73.5843381 45.5105125, -73.5843287 45.5105187, -73.5843612 45.5105416, -73.5843702 45.5105353, -73.5844094 45.5105633, -73.584547 45.5104679))",,,3925,Rue University,,"[318850686, 11020601346, 11020601349, 11020601348, 11020601347, 318850687, 318850688, 11020601357, 11020601359, 11020601356, 11020601360, 11020601355, 11020601354, 11020601353, 11020601352, 11020601351, 11020601350, 11022826932, 11022826935, 11022826934, 11022826933, 318850689, 318850686]",,yes,,,Gardner Hall,Résidence Gardner,,,H3A 2B7,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28994377,,"POLYGON ((-73.5840535 45.5108862, -73.5835524 45.5112337, -73.5836879 45.5113309, -73.5841857 45.5109849, -73.5840535 45.5108862))",,,3915,Rue University,,"[318850766, 318850767, 318850768, 318850769, 318850766]",,yes,,,Molson Hall,Résidence Molson,,,H3A 2B6,Montréal,,,,,,,,,,,,,,,Molson Hall,,,,,,,,,,,,
way,28994378,,"POLYGON ((-73.5834141 45.5110448, -73.5831263 45.5108394, -73.5829238 45.5106948, -73.5828071 45.5107766, -73.5827889 45.5107894, -73.5832752 45.5111394, -73.5834141 45.5110448))",,,3905,Rue University,,"[318850830, 11014856866, 318850831, 11014486019, 318850832, 318850833, 318850830]",,yes,,,McConnell Hall,Résidence McConnell,,,H3A 2B5,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28994383,,"POLYGON ((-73.5798853 45.5110867, -73.579903 45.5110428, -73.5799275 45.5110374, -73.5799637 45.5110277, -73.5800086 45.5110087, -73.5800604 45.5109823, -73.5801006 45.5109512, -73.5801358 45.5109034, -73.5801535 45.5108409, -73.5801495 45.5107849, -73.5801365 45.5107449, -73.5801107 45.5107081, -73.5800758 45.5106794, -73.58003 45.5106473, -73.580045 45.5106095, -73.5799049 45.5105813, -73.5799269 45.5105276, -73.579884 45.5105189, -73.5798884 45.5105097, -73.5798112 45.5104941, -73.5798307 45.510439, -73.5796792 45.5104075, -73.5799376 45.5096756, -73.5799056 45.5096714, -73.5799651 45.5095329, -73.5796797 45.5093998, -73.5796281 45.5095205, -73.5795717 45.5095097, -73.5795184 45.5095635, -73.5794946 45.5096219, -73.5794449 45.5096108, -73.5794141 45.5096807, -73.579429 45.5096831, -73.5793615 45.5098435, -73.5792978 45.5099773, -73.5792719 45.5099726, -73.5792777 45.5099579, -73.5792358 45.5099496, -73.579245 45.5099294, -73.5791731 45.5099139, -73.5791645 45.5099334, -73.5791181 45.5099251, -73.5791113 45.5099428, -73.5790922 45.5099398, -73.5790732 45.5099919, -73.5790463 45.5099899, -73.5789106 45.5103231, -73.5792056 45.510384, -73.5791845 45.5104336, -73.5792071 45.5104383, -73.5791984 45.5104579, -73.5791761 45.510454, -73.5791462 45.5105267, -73.5791205 45.5105397, -73.5790934 45.5105561, -73.5790681 45.5105774, -73.5790455 45.5105995, -73.5790263 45.5106261, -73.5790122 45.510656, -73.5790064 45.5106834, -73.5790043 45.5107135, -73.5790072 45.5107424, -73.5790125 45.5107692, -73.5790192 45.5107893, -73.5790294 45.5108079, -73.5790052 45.5108656, -73.5790903 45.5108856, -73.5790784 45.5109204, -73.5798853 45.5110867))",,yes,475,Avenue des Pins,,"[277671994, 1892693313, 1892693368, 1892693250, 332514178, 1892693435, 1892693431, 332514179, 1892693439, 1892693329, 11013023591, 1892693403, 332514180, 1892693261, 277671995, 11013023590, 332514181, 11013023589, 332514182, 1892693355, 332514183, 318851336, 1892693385, 1573611397, 1573611415, 1573611381, 1573611395, 11014250201, 1892693334, 11022826953, 318851338, 11013023581, 11013023582, 11013023583, 1892693315, 1892693455, 1892693361, 11013023584, 11013023585, 11013023586, 11013023587, 1892693424, 1892693269, 318851339, 11013023580, 11013023579, 332514184, 332514185, 11013023575, 11013023577, 11013023578, 11013023576, 332514186, 1892693265, 1892693277, 332514187, 1892693311, 1892693307, 332514188, 1892693331, 1892693413, 332514189, 1892693343, 1892693429, 1892693387, 332514190, 1892693390, 332514191, 277671994]",,yes,,,McGill Sports Complex,Centre Sportif de McGill,,,H2W 1S4,Montréal,,,,,,,,,,,,,,,,sports_centre,,,,,,,,,,,
way,30176550,,"POLYGON ((-73.5779739 45.5068337, -73.577871 45.5069405, -73.5778652 45.5069377, -73.5778606 45.5069412, -73.5778446 45.5069435, -73.577828 45.506935, -73.5778262 45.5069241, -73.5778294 45.5069206, -73.5778047 45.5069088, -73.5777359 45.5068758, -73.5778158 45.5068034, -73.5778346 45.506785, -73.5779018 45.5068177, -73.5779142 45.5068049, -73.5779739 45.5068337))",,,,,,"[332514004, 332514005, 11022857022, 11022857023, 11022857026, 11022857025, 11022857024, 11022857021, 11022857027, 332514006, 1573581610, 332514007, 11022857020, 11022857019, 332514004]",,yes,,university,3550 University Street,3550 rue Université,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176553,Potlatch 0.10f,"POLYGON ((-73.5776414 45.5067007, -73.5775514 45.5067899, -73.5774604 45.506751, -73.5775483 45.5066597, -73.5776414 45.5067007))",,,3534,Rue University,,"[332514026, 332514027, 332514028, 332514029, 332514026]",,university,,university,3534 University Street,3534 rue Université,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176563,,"POLYGON ((-73.578437 45.5035668, -73.5786139 45.5036551, -73.5787641 45.5035086, -73.5788148 45.5035334, -73.5788271 45.50352, -73.5788163 45.5035099, -73.5788944 45.5034337, -73.578844 45.5034108, -73.578897 45.5033545, -73.5787706 45.503288, -73.5788769 45.5031869, -73.5792315 45.5033652, -73.5791309 45.5034657, -73.5790957 45.5034493, -73.5790737 45.5034694, -73.5790608 45.5034622, -73.5789251 45.5035441, -73.5789224 45.5035402, -73.5788884 45.5035606, -73.5789234 45.5035881, -73.5786701 45.5037391, -73.5786828 45.503751, -73.5786492 45.5037852, -73.5786586 45.5037903, -73.5786231 45.5038243, -73.5785494 45.5038978, -73.5784737 45.5038639, -73.5784321 45.5038878, -73.5783843 45.5038495, -73.5784139 45.503835, -73.5782444 45.5037566, -73.578437 45.5035668))",,,,,,"[209019967, 209019971, 11698982746, 11698982745, 11698982744, 11698982743, 11698982742, 11698982741, 209019975, 209019979, 209019983, 209019930, 209019932, 209019934, 11698982737, 11698982738, 11698982740, 11698982739, 209019936, 209019941, 209019944, 11698982730, 11698982729, 209019947, 11292368557, 209019951, 11698982734, 11698982735, 11698982736, 11698982733, 209019955, 209019967]",university,yes,,university,Brown Student Services Building,Pavillon Brown (Services aux étudiants),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176564,,"POLYGON ((-73.5782444 45.5037566, -73.5782362 45.5037527, -73.5782296 45.5037586, -73.5780351 45.5036623, -73.5778391 45.5035662, -73.5779397 45.5034761, -73.5781147 45.5032876, -73.5785122 45.5034845, -73.578437 45.5035668, -73.5782444 45.5037566))",,,,,,"[209019955, 11698982731, 11698982732, 1599126695, 209019958, 1599126694, 209019961, 209019964, 209019967, 209019955]",university,yes,,university,University Centre,Centre universitaire,,,,,,,,,,,,,,,,,,,,,Shatner Building,,,,,,,,,,
way,30176566,,"POLYGON ((-73.5770865 45.5031702, -73.5770731 45.5031638, -73.5770407 45.5031482, -73.5772068 45.5029741, -73.5772584 45.5029991, -73.5772303 45.5030271, -73.5770865 45.5031702))",,,,,,"[332514090, 11367066672, 332514091, 332514092, 332514093, 229546570, 332514090]",university,yes,,university,3438 McTavish Street,3438 rue McTavish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176567,,"POLYGON ((-73.5770407 45.5031482, -73.5770293 45.5031611, -73.5769418 45.5031191, -73.5769467 45.5031119, -73.5770525 45.5030101, -73.5770828 45.503023, -73.5771601 45.5029505, -73.5772068 45.5029741, -73.5770407 45.5031482))",,,,,,"[332514091, 11367066670, 11367066669, 332514094, 332514095, 11367045968, 11367045967, 332514092, 332514091]",university,yes,,university,3434 McTavish Street,3434 rue McTavish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176568,,"POLYGON ((-73.5769467 45.5031119, -73.5768671 45.5030774, -73.5769608 45.5029771, -73.5770017 45.5029938, -73.5770189 45.5029765, -73.5770014 45.5029683, -73.5770901 45.5028824, -73.5771487 45.5029142, -73.5770525 45.5030101, -73.5769467 45.5031119))",,,,,,"[332514094, 332514097, 332514098, 11367045963, 11367045962, 11367045961, 11367045960, 11367045959, 332514095, 332514094]",university,yes,,university,3430 McTavish Street,3430 rue McTavish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176570,,"POLYGON ((-73.5768671 45.5030774, -73.5765551 45.5029239, -73.5767899 45.5026735, -73.5770431 45.5027937, -73.5770626 45.5027742, -73.5771293 45.502805, -73.5769608 45.5029771, -73.5768671 45.5030774))",,,3420,Rue McTavish,,"[332514097, 332514101, 332514102, 11367045966, 11367045965, 11367045964, 332514098, 332514097]",,apartments,3,university,Donald E. Armstrong Building,Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30176590,,"POLYGON ((-73.5831563 45.5119583, -73.582832 45.5122994, -73.5821472 45.5119826, -73.5821171 45.512014, -73.5819941 45.5119562, -73.5822277 45.511712, -73.5821405 45.511671, -73.58222 45.511588, -73.5823019 45.5116265, -73.582352 45.5115741, -73.5823921 45.5115929, -73.5824236 45.51156, -73.5825053 45.5115984, -73.5824632 45.5116423, -73.5825634 45.5116894, -73.5826087 45.5116421, -73.5828449 45.511753, -73.582805 45.5117947, -73.5831563 45.5119583))",,,,,,"[332514170, 332514171, 332514172, 4919948219, 4919948220, 4919948218, 4919948217, 4919948216, 4919948215, 332514173, 4919948214, 4919948213, 4919948212, 4919948211, 4919948823, 4919948822, 4919948821, 4919948824, 332514170]",,yes,,,McConnell Winter Stadium,,Q2866185,en:McConnell Arena,,,,,,,,,,,,,,,,,McConnell Winter Stadium,stadium,,ice_hockey,,,,,,,,,
way,30176594,,"POLYGON ((-73.5823387 45.5097783, -73.5823212 45.5098458, -73.5824588 45.5098631, -73.5824795 45.5097674, -73.5824988 45.5097696, -73.5825106 45.5097187, -73.5825982 45.5097284, -73.5825862 45.5097809, -73.5826868 45.5097943, -73.5826628 45.5098804, -73.5827276 45.509888, -73.5827168 45.5099288, -73.5827093 45.5099576, -73.5828154 45.5099713, -73.582734 45.5102989, -73.5827409 45.5102999, -73.5827117 45.5104185, -73.5825991 45.510406, -73.5825877 45.510448, -73.5821846 45.5104005, -73.5821606 45.5104922, -73.582012 45.5104712, -73.5820661 45.5102397, -73.582211 45.5102586, -73.5821986 45.5103195, -73.5822303 45.5103239, -73.5823005 45.5103324, -73.5826012 45.5103731, -73.5826124 45.5103275, -73.5826841 45.5100373, -73.5826939 45.509997, -73.582296 45.5099445, -73.582281 45.5100106, -73.5822092 45.5100023, -73.5821331 45.5099922, -73.5821875 45.5097634, -73.5821901 45.5097566, -73.5823387 45.5097783))",,,3851,Rue University,,"[332514279, 332514280, 332514281, 332514282, 11020601380, 11020601383, 11020601382, 11020601381, 332514283, 332514284, 1550135530, 11020601388, 1550135531, 332514285, 11020601389, 11020601390, 332514286, 9156810221, 9156810220, 332514288, 332514289, 332514290, 332514291, 332514292, 332514293, 1573611334, 1573611393, 332514294, 1573611412, 1573611320, 332514295, 332514296, 332514297, 1573611358, 332514298, 1573611321, 332514299, 332514279]",,yes,4,,Douglas Hall,Résidence Douglas,,,H3A 2B4,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46867133,,"POLYGON ((-73.5735301 45.5055019, -73.5735547 45.5054677, -73.5735649 45.5054534, -73.5735736 45.5054412, -73.5736046 45.505398, -73.5735458 45.5053732, -73.5735818 45.5053072, -73.5734988 45.5052829, -73.5735634 45.5051829, -73.5735934 45.5051914, -73.5736429 45.5051396, -73.5740352 45.5053294, -73.573983 45.5053852, -73.5742803 45.5055206, -73.5744359 45.5055929, -73.5743603 45.5056701, -73.5742383 45.505612, -73.5741769 45.5056717, -73.5742719 45.5057165, -73.5742614 45.5057259, -73.5742901 45.5057416, -73.574182 45.5058505, -73.5741533 45.5058366, -73.5741439 45.5058454, -73.5740838 45.5058164, -73.5740733 45.5058255, -73.5739765 45.505778, -73.5739875 45.5057677, -73.5739548 45.5057533, -73.5740605 45.5056463, -73.5740907 45.5056599, -73.5741023 45.5056506, -73.5741672 45.5055855, -73.5739577 45.5054855, -73.5739829 45.5054579, -73.5737491 45.5053431, -73.5736958 45.5054214, -73.5737146 45.5054288, -73.573663 45.5055074, -73.5736215 45.505494, -73.573604 45.5055234, -73.5735301 45.5055019))",CanVec_Import_2009,,3425,Rue University,,"[598414682, 1574821561, 1574346665, 1574821525, 598414683, 598414688, 598414528, 598414529, 1574346646, 1574346689, 598414526, 598414527, 598414686, 1574821543, 598414671, 598414661, 598414666, 1574346649, 598414660, 1574346642, 598414663, 598414665, 1574346661, 1574346644, 1574346655, 1574346657, 1574346678, 1574346663, 598414676, 1574346639, 1574346687, 10184501112, 598414670, 1574346670, 1574346680, 1574346669, 1574346692, 598414674, 1574346698, 1574346685, 936816441, 598414682]",,yes,,,Royal Victoria College,,,,H3A 2A8,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46867135,,"POLYGON ((-73.5821881 45.5017812, -73.5823891 45.5018743, -73.5821512 45.502124, -73.5820751 45.5020876, -73.5819403 45.502023, -73.5821881 45.5017812))",CanVec_Import_2009,,3630,Promenade Sir-William-Osler,,"[598414499, 598414498, 598414501, 11290046022, 598414500, 598414499]",,yes,,,Hosmer House,,,,H3G 1Y5,Montréal,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46867137,,"POLYGON ((-73.5804981 45.504055, -73.5808295 45.5042211, -73.5805082 45.5045177, -73.5805635 45.5045407, -73.5803112 45.5047791, -73.5801655 45.5046963, -73.5802268 45.5046269, -73.5800138 45.5045181, -73.5804981 45.504055))",CanVec_Import_2009,,,,,"[598414517, 598414518, 598414514, 598414516, 598414521, 598414520, 598414515, 598414519, 598414517]",,yes,,,Faculty of Education,,,,,,,,,,,,,,,,,,,,Faculty of Education,,,,Natural Resources Canada,2010252,11CF452ADA78E5F4E0409C8467120387,,,,,,
way,80253182,,"POLYGON ((-73.5749812 45.5067686, -73.5749949 45.5067539, -73.5751132 45.5066277, -73.5750242 45.5065877, -73.5754111 45.5061951, -73.5755033 45.5062419, -73.5756419 45.5061011, -73.5753209 45.5059458, -73.575124 45.5061478, -73.5751383 45.5061544, -73.5751053 45.506187, -73.5749579 45.5061155, -73.5749763 45.506097, -73.5749051 45.5060608, -73.5748254 45.5060232, -73.5748038 45.5060405, -73.5746594 45.5059731, -73.5746996 45.5059358, -73.5747097 45.5059392, -73.5749103 45.5057469, -73.5745817 45.5055875, -73.5744468 45.5057354, -73.5745414 45.5057812, -73.5741605 45.5061689, -73.5740903 45.5061387, -73.5739559 45.5062684, -73.574122 45.5063527, -73.5742068 45.5062714, -73.5743175 45.5063251, -73.5742996 45.50634, -73.5742866 45.5063558, -73.574278 45.5063731, -73.5742772 45.506387, -73.5742785 45.5064017, -73.5742832 45.5064156, -73.5742916 45.5064277, -73.574304 45.5064387, -73.574286 45.5064586, -73.5745913 45.5066059, -73.574609 45.5065895, -73.5746275 45.506591, -73.5746515 45.5065936, -73.574675 45.5065903, -73.5746997 45.5065851, -73.5747197 45.5065771, -73.5747341 45.5065643, -73.5747485 45.5065531, -73.5747563 45.506538, -73.5747811 45.5065491, -73.574747 45.5065897, -73.5748053 45.5066172, -73.5748422 45.5065799, -73.574872 45.5065941, -73.5747947 45.5066758, -73.5749812 45.5067686))",,no,,,,"[936689552, 936816439, 936689555, 936689557, 936689558, 936689560, 936689561, 936689562, 11012608635, 11012608634, 936689564, 11012608633, 11012608632, 1574821566, 11012608631, 11012608630, 936689566, 11012608629, 11012608628, 936689569, 936689572, 11012608637, 11012608638, 1574393219, 11012608636, 936689575, 936689576, 936689578, 936689584, 936816432, 11012608645, 11012608644, 11012608643, 11012608642, 11012608641, 11012608640, 11012608639, 936689591, 936689593, 11012608646, 11012608647, 11012608648, 11012608649, 11012608650, 11012608651, 11012608652, 936816437, 11012608653, 11012608654, 11012608655, 936689594, 11012608657, 11012608656, 936689603, 936689552]",school,yes,,,Fine Arts Core Education (F.A.C.E.) High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
