element_type,osmid,nodes,amenity,building,cuisine,name,geometry,name:en,leisure,int_name,building:levels,shop,ways,type
way,891002912,"[8281285789, 8281285335, 8281285888, 8281285252, 8281285805, 8281285351, 8281285904, 8281241251, 8281285605, 8281285151, 8281285706, 8281285647, 8281285193, 8281285747, 8281285789]",,residential,,,"POLYGON ((117.1570107 39.1069299, 117.1570108 39.1069177, 117.1571397 39.1069183, 117.1571397 39.1069292, 117.1571949 39.1069295, 117.157195 39.1069179, 117.1572593 39.1069182, 117.15726 39.1068256, 117.1569821 39.1068245, 117.156885 39.1068241, 117.1568844 39.1069168, 117.1569538 39.106917, 117.1569538 39.1069297, 117.1569821 39.1069298, 117.1570107 39.1069299))",,,,,,,
way,891002913,"[8281285420, 8281285793, 8281285339, 8281285892, 8281285437, 8281285593, 8281285139, 8281285694, 8281285240, 8281285180, 8281285735, 8281285281, 8281285834, 8281285989, 8281285534, 8281241280, 8281285634, 8281285148, 8281285703, 8281285249, 8281285420]",,residential,,,"POLYGON ((117.1584408 39.105444, 117.1585675 39.1054439, 117.1585675 39.105448, 117.1586015 39.1054479, 117.1586015 39.1054438, 117.1587305 39.1054437, 117.1587305 39.1054478, 117.1587606 39.1054477, 117.1587606 39.1054436, 117.1588893 39.1054435, 117.1588893 39.1054476, 117.1589205 39.1054476, 117.1589205 39.1054434, 117.1589909 39.1054434, 117.1589908 39.1053444, 117.1583446 39.1053451, 117.1583448 39.1054442, 117.1584084 39.1054441, 117.1584084 39.1054481, 117.1584408 39.1054481, 117.1584408 39.105444))",,,,,,,
way,891002914,"[8281241267, 8281285621, 8281285167, 8281285722, 8281285879, 8281285424, 8281285976, 8281285521, 8281286042, 8281285810, 8281241267]",,residential,,,"POLYGON ((117.1599086 39.1065383, 117.1598827 39.1065384, 117.1597441 39.106539, 117.159745 39.1066494, 117.1598827 39.1066488, 117.1599828 39.1066483, 117.1599841 39.1068115, 117.160125 39.1068109, 117.1601228 39.1065373, 117.1599601 39.106538, 117.1599086 39.1065383))",,,,,,,
way,891002915,"[8281285334, 8281285887, 8281285432, 8281285375, 8281285928, 8281285473, 8281286025, 8281285175, 8281285730, 8281285276, 8281285829, 8281285192, 8281285746, 8281285292, 8281285845, 8281286000, 8281285546, 8281241292, 8281285646, 8281285588, 8281285134, 8281285689, 8281285235, 8281285391, 8281285943, 8281285488, 8281286041, 8281285556, 8281241301, 8281285656, 8281285202, 8281285359, 8281285912, 8281285457, 8281286009, 8281285334]",,residential,,,"POLYGON ((117.1570492 39.1060959, 117.1571014 39.1060959, 117.1571014 39.1060741, 117.1571649 39.106074, 117.157165 39.1060842, 117.1572645 39.1060841, 117.1572644 39.1060741, 117.1573341 39.106074, 117.1573342 39.106095, 117.1573907 39.1060949, 117.1573907 39.1060676, 117.1574655 39.1060675, 117.1574656 39.1060944, 117.1575175 39.1060943, 117.1575175 39.1060739, 117.1575444 39.1060739, 117.1575455 39.1060739, 117.1575455 39.1059933, 117.1573906 39.1059934, 117.1573906 39.1059731, 117.1572862 39.1059732, 117.1572863 39.1059934, 117.1570751 39.1059935, 117.1570751 39.1059734, 117.1569821 39.1059734, 117.1569706 39.1059734, 117.1569706 39.1059936, 117.1568831 39.1059936, 117.1568831 39.1060754, 117.15692 39.1060754, 117.1569201 39.1060954, 117.1569716 39.1060954, 117.1569715 39.1060662, 117.1569821 39.1060662, 117.1570491 39.1060661, 117.1570492 39.1060959))",,,,,,,
way,891002916,"[8281285121, 8281241262, 8281285616, 8281285162, 8281285121]",,residential,,,"POLYGON ((117.1586824 39.1063495, 117.1586821 39.1063062, 117.1588139 39.1063058, 117.1588141 39.1063491, 117.1586824 39.1063495))",,,,,,,
way,891002917,"[8281285560, 8281285405, 8281285859, 8281285606, 8281285152, 8281241294, 8281285648, 8281285194, 8281285748, 8281285905, 8281285450, 8281286002, 8281285560]",,residential,,,"POLYGON ((117.1599468 39.1055631, 117.1599459 39.10549, 117.1599457 39.1054701, 117.1599453 39.1054363, 117.1598827 39.1054367, 117.1598166 39.1054372, 117.1598168 39.1054488, 117.1598173 39.10549, 117.1598184 39.1055915, 117.1598185 39.1055996, 117.1598827 39.1055992, 117.1599472 39.1055987, 117.1599468 39.1055631))",,,,,,,
way,891002918,"[8281285271, 8281285641, 8281285187, 8281285742, 8281285271]",,residential,,,"POLYGON ((117.1587478 39.1052923, 117.1587223 39.1052923, 117.1587221 39.1053348, 117.1587477 39.1053349, 117.1587478 39.1052923))",,,,,,,
way,891002919,"[8281285439, 8281285810, 8281241267, 8281285356, 8281285439]",,residential,,,"POLYGON ((117.1599598 39.1064942, 117.1599601 39.106538, 117.1599086 39.1065383, 117.1599082 39.1064944, 117.1599598 39.1064942))",,,,,,,
way,891002920,"[8281285516, 8281285890, 8281285435, 8281285988, 8281285516]",,residential,,,"POLYGON ((117.1595707 39.1070044, 117.1595707 39.1069785, 117.1597752 39.1069785, 117.1597752 39.1070044, 117.1595707 39.1070044))",,,,,,,
way,891002921,"[8281285933, 8281285478, 8281286030, 8281285577, 8281285736, 8281285282, 8281285835, 8281285381, 8281285752, 8281285933]",,residential,,,"POLYGON ((117.1598173 39.1061087, 117.1598827 39.1061084, 117.1599435 39.106108, 117.1599424 39.1059924, 117.1598827 39.1059927, 117.159417 39.1059955, 117.1594185 39.1061453, 117.1597211 39.1061434, 117.1597208 39.1061093, 117.1598173 39.1061087))",,,,,,,
way,891002923,"[8281285320, 8281285475, 8281286027, 8281285574, 8281285320]",,residential,,,"POLYGON ((117.1572624 39.1057176, 117.1572002 39.1057168, 117.1571997 39.1057444, 117.1572618 39.1057452, 117.1572624 39.1057176))",,,,,,,
way,891002924,"[8281285670, 8281285826, 8281285906, 8281285372, 8281285670]",,residential,,,"POLYGON ((117.1569247 39.1070603, 117.1569249 39.1070906, 117.1569599 39.1070905, 117.1569598 39.1070602, 117.1569247 39.1070603))",,,,,,,
way,891002925,"[8281285602, 8281285543, 8281241289, 8281285643, 8281285602]",,residential,,,"POLYGON ((117.1580923 39.1054218, 117.1579994 39.1054221, 117.1579996 39.1054569, 117.1580924 39.1054567, 117.1580923 39.1054218))",,,,,,,
way,891002926,"[8281285678, 8281285224, 8281285777, 8281285719, 8281285265, 8281285818, 8281285364, 8281285518, 8281241264, 8281285618, 8281285164, 8281285687, 8281285233, 8281285786, 8281285332, 8281285486, 8281286039, 8281285586, 8281285132, 8281241273, 8281285627, 8281285173, 8281285728, 8281285885, 8281285430, 8281285982, 8281285527, 8281285902, 8281285447, 8281285999, 8281285544, 8281285808, 8281285254, 8281285704, 8281285250, 8281285803, 8281285349, 8281285290, 8281285843, 8281285389, 8281285941, 8281241290, 8281285644, 8281285190, 8281285744, 8281285678]",,residential,,,"POLYGON ((117.1592713 39.1063187, 117.1592712 39.1063017, 117.1593009 39.1063015, 117.1593007 39.1062836, 117.1594773 39.106283, 117.1594778 39.1063562, 117.1595496 39.106356, 117.1595492 39.106282, 117.1595486 39.1061952, 117.1594758 39.1061954, 117.15943 39.1061956, 117.1594298 39.1061598, 117.1593213 39.1061601, 117.1593213 39.1061503, 117.1592834 39.1061504, 117.1592831 39.1061096, 117.1592209 39.1061099, 117.159221 39.1061385, 117.1592671 39.1061384, 117.1592671 39.1061508, 117.1592783 39.1061507, 117.1592786 39.1061968, 117.1592121 39.106197, 117.159212 39.1061728, 117.1592116 39.1061085, 117.1592112 39.1060454, 117.1591688 39.1060455, 117.1591684 39.1059788, 117.1591684 39.1059741, 117.1592392 39.1059739, 117.159239 39.1059432, 117.159238 39.1057765, 117.1590937 39.105777, 117.1590948 39.1059618, 117.1590951 39.1060152, 117.1590384 39.1060154, 117.1590386 39.1060462, 117.159039 39.1061093, 117.159095 39.1061091, 117.1591496 39.106109, 117.15915 39.106173, 117.1591501 39.1061974, 117.1591506 39.1062849, 117.1591671 39.1062848, 117.1591674 39.1063191, 117.1592713 39.1063187))",,,,,,,
way,891002927,"[8281241304, 8281285263, 8281285816, 8281285362, 8281241304]",,residential,,,"POLYGON ((117.157459 39.1064533, 117.157334 39.106453, 117.157334 39.1064251, 117.1574591 39.1064253, 117.157459 39.1064533))",,,,,,,
way,891002928,"[8281285921, 8281285466, 8281286018, 8281285565, 8281285723, 8281285863, 8281285409, 8281285961, 8281285921]",,residential,,,"POLYGON ((117.1594386 39.1055942, 117.1594387 39.1056033, 117.159398 39.1056036, 117.1593984 39.1056421, 117.1593554 39.1056424, 117.1593556 39.1056601, 117.1594702 39.1056593, 117.1594694 39.105594, 117.1594386 39.1055942))",,,,,,,
way,891002929,"[8281241287, 8281286036, 8281285583, 8281285129, 8281241287]",,residential,,,"POLYGON ((117.1570222 39.1053513, 117.1569824 39.1053571, 117.1569884 39.1053821, 117.1570282 39.1053763, 117.1570222 39.1053513))",,,,,,,
way,891012584,"[8281384173, 8281383916, 8281381443, 8281310885, 8281382353, 8281382096, 8281384173]",,yes,,,"POLYGON ((117.1659527 39.10975, 117.1660907 39.1097469, 117.1660819 39.1094347, 117.165976 39.1094364, 117.165976 39.1094496, 117.1659461 39.10945, 117.1659527 39.10975))",,,,,,,
way,891012586,"[8281383170, 8281381351, 8281384733, 8281381151, 8281384533, 8281382060, 8281381806, 8281382517, 8281383170]",,yes,,,"POLYGON ((117.1639769 39.1062147, 117.1639769 39.1062088, 117.1639775 39.106133, 117.1640118 39.1061331, 117.1640121 39.1060759, 117.1642354 39.1060767, 117.1642345 39.1062157, 117.1640657 39.1062151, 117.1639769 39.1062147))",,,,,,,
way,891012587,"[8281384142, 8281381129, 8281383606, 8281383069, 8281381131, 8281384515, 8281382043, 8281381788, 8281380849, 8281381506, 8281383979, 8281383372, 8281381810, 8281382464, 8281380897, 8281381154, 8281383628, 8281384283, 8281382720, 8281382977, 8281381412, 8281382065, 8281384538, 8281384794, 8281383232, 8281383885, 8281382322, 8281382580, 8281381013, 8281381669, 8281384142]",,yes,,,"POLYGON ((117.1631937 39.1084106, 117.1635639 39.1084078, 117.1635623 39.1082859, 117.1635609 39.1081773, 117.1632744 39.1081795, 117.1632748 39.1082098, 117.1630998 39.1082111, 117.1631004 39.1082621, 117.1630932 39.108269, 117.163083 39.1082702, 117.1630702 39.1082738, 117.1630577 39.1082789, 117.163048 39.1082843, 117.1630351 39.1082959, 117.1630288 39.1083037, 117.1630222 39.1083192, 117.1630211 39.1083255, 117.1630206 39.1083363, 117.1630219 39.1083433, 117.1630234 39.1083491, 117.1630304 39.1083621, 117.1630355 39.1083691, 117.1630429 39.108376, 117.1630519 39.1083817, 117.1630608 39.1083869, 117.1630729 39.1083911, 117.163081 39.1083932, 117.1630924 39.1083959, 117.1631021 39.1083957, 117.1631023 39.1084113, 117.1631937 39.1084106))",,,,,,,
way,891012588,"[8281384392, 8281383737, 8281381264, 8281382596, 8281381029, 8281381286, 8281384415, 8281381867, 8281384157, 8281384809, 8281383247, 8590004512, 8281384392]",,yes,,,"POLYGON ((117.1689728 39.1097817, 117.1689711 39.1097163, 117.168876 39.1097178, 117.1688762 39.109724, 117.1686879 39.109727, 117.1686893 39.1097804, 117.1688789 39.1097774, 117.168879 39.1097837, 117.168885 39.1097836, 117.1688857 39.1098127, 117.1689687 39.1098113, 117.168968 39.1097818, 117.1689728 39.1097817))",,,,,,,
way,891012589,"[8281383211, 8281381392, 8281382699, 8281383607, 8281383723, 8281383070, 8281381904, 8281382813, 8281382557, 8281384772, 8281383211]",,dormitory,,43斋,"POLYGON ((117.1659273 39.1131932, 117.1664741 39.1131926, 117.1664738 39.1130651, 117.1659234 39.1130657, 117.1659234 39.1130186, 117.1659497 39.1130186, 117.1659495 39.1128884, 117.1657868 39.1128885, 117.1657873 39.1131543, 117.1659272 39.1131541, 117.1659273 39.1131932))",,,,,,,
way,891012590,"[8281384783, 8281382311, 8281381658, 8281383221, 8281382966, 8281384527, 8065779494, 8065779495, 8065779496, 8065779497, 8065779498, 8065779499, 8065779500, 8281381401, 8281381143, 8281382709, 8281382054, 8281383617, 8281383361, 8281384783]",,yes,,,"POLYGON ((117.1716919 39.1086748, 117.1716945 39.1087452, 117.1716919 39.1087452, 117.1716936 39.1087847, 117.1716959 39.1087847, 117.1716981 39.1088547, 117.1721596 39.1088431, 117.1721786 39.1088952, 117.1722033 39.1089244, 117.1722377 39.108949, 117.1722767 39.1089655, 117.1723088 39.108973, 117.1723362 39.1089758, 117.172337 39.109019, 117.1725683 39.1090142, 117.1725585 39.1087276, 117.1725398 39.1087283, 117.1725389 39.1086909, 117.1725715 39.1086577, 117.1716919 39.1086748))",,,,,,,
way,891012592,"[8281383553, 8281383782, 8281381309, 8281384692, 8281382219, 8281381963, 8281382335, 8281384436, 8281382873, 8281383526, 8281383553]",,yes,,,"POLYGON ((117.171246 39.1080965, 117.1712456 39.1080324, 117.1712603 39.1080324, 117.1712603 39.1080064, 117.1713174 39.1080051, 117.1713188 39.1080408, 117.1712965 39.1080414, 117.1712972 39.1080685, 117.1712826 39.1080688, 117.171283 39.1080958, 117.171246 39.1080965))",,,,,,,
way,891012593,"[8281382467, 8281384030, 8281383375, 8281380900, 8281382467]",,yes,,,"POLYGON ((117.1717361 39.1054007, 117.1716999 39.1054, 117.171699 39.1054284, 117.1717356 39.1054288, 117.1717361 39.1054007))",,,,,,,
way,891012594,"[8281381485, 8281380826, 8281382393, 8281382136, 8281383700, 8281383046, 8281384608, 8281384354, 8281381882, 8281381224, 8281382790, 8281382535, 8281384098, 8281383442, 8281380967, 8281384751, 8281382280, 8281382958, 8281381394, 8281382047, 8281384497, 8281383842, 8281381485]",,dormitory,,50斋,"POLYGON ((117.1711863 39.1058039, 117.1711868 39.1057918, 117.1711774 39.1057918, 117.1711694 39.1057873, 117.1711189 39.1057873, 117.1711113 39.1057914, 117.171102 39.1057914, 117.1711019 39.1058036, 117.1710591 39.1058032, 117.1710582 39.1058708, 117.1710649 39.1058708, 117.1710644 39.1058888, 117.1710577 39.1058888, 117.1710577 39.1058923, 117.1710738 39.1058926, 117.1710706 39.1060866, 117.171226 39.106088, 117.1712269 39.1060122, 117.1712693 39.1059793, 117.1712693 39.1059585, 117.1716877 39.1059617, 117.1716895 39.1058071, 117.1711863 39.1058039))",,,,,,,
way,891012597,"[8281384050, 8281383395, 8281380920, 8281384702, 8281384050]",,yes,,,"POLYGON ((117.163009 39.1102298, 117.1630087 39.1101036, 117.1632638 39.1101033, 117.163264 39.1102295, 117.163009 39.1102298))",,,,,,,
way,891012598,"[8281384233, 8281381410, 8281382975, 8281383498, 8281384233]",,yes,,,"POLYGON ((117.1640895 39.1100689, 117.1640906 39.1101348, 117.1641147 39.1101346, 117.1641136 39.1100687, 117.1640895 39.1100689))",,,,,,,
way,891012599,"[8281384679, 8281384698, 8281384027, 8281381554, 8281381295, 8281384679]",,yes,,,"POLYGON ((117.1646629 39.1079148, 117.1646912 39.1079141, 117.1647125 39.1079136, 117.164711 39.1078745, 117.1646614 39.1078756, 117.1646629 39.1079148))",,,,,,,
way,891012602,"[8281380926, 8281381883, 8281383826, 8281381352, 8281383146, 8281380926]",,yes,,,"POLYGON ((117.1626785 39.1099859, 117.162676 39.1101655, 117.1627721 39.1101663, 117.1627732 39.1100875, 117.1627746 39.1099867, 117.1626785 39.1099859))",,,,,,,
way,891012603,"[8281382515, 8281384077, 8281383643, 8281381605, 8281380948, 8281382515]",,yes,,,"POLYGON ((117.1708723 39.1080466, 117.1709009 39.1080462, 117.1709053 39.1080462, 117.1709049 39.1080116, 117.1708723 39.1080123, 117.1708723 39.1080466))",,,,,,,
way,891012604,"[8281382543, 8281383144, 8281384707, 8281384053, 8281382543]",,yes,,,"POLYGON ((117.1635372 39.1081379, 117.1635367 39.1081105, 117.163727 39.1081077, 117.1637274 39.1081351, 117.1635372 39.1081379))",,,,,,,
way,891012605,"[8281384722, 8281381337, 8281384210, 8281382648, 8281383300, 8281384721, 8281384722]",,yes,,,"POLYGON ((117.1641796 39.1131705, 117.1640993 39.1131705, 117.1641006 39.1131199, 117.1641006 39.1131182, 117.1641314 39.1131181, 117.1641793 39.1131179, 117.1641796 39.1131705))",,,,,,,
way,891012606,"[8281381150, 8281381666, 8281381409, 8281381807, 8281381150]",,dormitory,,27斋,"POLYGON ((117.1672351 39.1122247, 117.167236 39.1121045, 117.1679254 39.1121078, 117.1679244 39.112228, 117.1672351 39.1122247))",,,,,,,
way,891012607,"[8281384203, 8281381730, 8281381073, 8281382640, 8281382383, 8281383946, 8281383291, 8281310915, 8281381320, 8281381063, 8281384203]",,yes,,,"POLYGON ((117.1667261 39.1096156, 117.1667213 39.1096156, 117.1667197 39.1095479, 117.1665956 39.1095497, 117.1665942 39.1094935, 117.1667241 39.1094916, 117.1667246 39.1095112, 117.1668094 39.1095099, 117.166812 39.1096143, 117.1667596 39.1096151, 117.1667261 39.1096156))",,,,,,,
way,891012609,"[8281383571, 8281383316, 8281380840, 8281384225, 8281381753, 8281381497, 8281383060, 8281382406, 8281383969, 8281383712, 8281381238, 8281384621, 8281382148, 8281381894, 8281383456, 8281382803, 8281384366, 8281384110, 8281381637, 8281380980, 8281382547, 8281384345, 8281381873, 8281381216, 8281382782, 8281382526, 8281384089, 8281383434, 8281380959, 8281383571]",,yes,,,"POLYGON ((117.1692204 39.1090916, 117.1692217 39.1091349, 117.169282 39.1091335, 117.1692829 39.1091584, 117.169403 39.109156, 117.1694021 39.1091311, 117.1694677 39.1091301, 117.1694664 39.1090916, 117.1694607 39.1088709, 117.1695031 39.1088702, 117.1695057 39.1089783, 117.1697656 39.1089742, 117.1697647 39.1089413, 117.169792 39.1089399, 117.1697928 39.1089513, 117.1698138 39.1089507, 117.1698072 39.1087386, 117.1698067 39.108731, 117.1697867 39.108732, 117.1697871 39.1087417, 117.1697585 39.1087428, 117.1697572 39.1087099, 117.1693031 39.1087184, 117.1693026 39.1087517, 117.1692562 39.1087514, 117.1692567 39.1087416, 117.16925 39.1087416, 117.1692522 39.1088206, 117.1692124 39.108822, 117.1692204 39.1090916))",,,,,,,
way,891012611,"[8281381682, 8281381026, 8281383197, 8281384760, 8281381682]",,yes,,,"POLYGON ((117.1634642 39.105513, 117.1634949 39.1055136, 117.1634936 39.1055529, 117.1634629 39.1055523, 117.1634642 39.105513))",,,,,,,
way,891012613,"[8281384208, 8281381079, 8281382646, 8281384808, 8281384208]",,yes,,,"POLYGON ((117.1671023 39.1090102, 117.1671066 39.1091841, 117.1662679 39.1091967, 117.1662636 39.1090227, 117.1671023 39.1090102))",,,,,,,
way,891012614,"[8281384149, 8281381676, 8281381419, 8281382984, 8281382329, 8281383892, 8281384149]",,yes,,,"POLYGON ((117.1627398 39.1094841, 117.1627046 39.1091889, 117.162639 39.1091937, 117.162692 39.1095592, 117.1627398 39.1095558, 117.1627483 39.1095551, 117.1627398 39.1094841))",,,,,,,
way,891012617,"[8281383506, 8281381031, 8281384417, 8281381944, 8281383301, 8281381739, 8281382392, 8281380825, 8281383506]",,yes,,,"POLYGON ((117.1637027 39.1088672, 117.1636432 39.1088682, 117.1636419 39.1087989, 117.163701 39.1087982, 117.1637022 39.1088429, 117.1636968 39.1088429, 117.1636968 39.1088464, 117.1637021 39.1088464, 117.1637027 39.1088672))",,,,,,,
way,891012618,"[8281382283, 8281383848, 8281383191, 8590004502, 8281384755, 8281382283]",restaurant,yes,,老魏餐厅,"POLYGON ((117.162671 39.1124928, 117.1626713 39.112405, 117.1629268 39.1124024, 117.1629265 39.1124715, 117.1629389 39.1124999, 117.162671 39.1124928))",,,,,,,
way,891012619,"[8281383977, 8281381504, 8281380846, 8281382414, 8281381987, 8281383977]",,yes,,,"POLYGON ((117.1638336 39.110191, 117.1637638 39.1101917, 117.1637622 39.1100917, 117.163832 39.110091, 117.1638326 39.1101295, 117.1638336 39.110191))",,,,,,,
way,891012620,"[8281384573, 8281383435, 8281383013, 8281381190, 8281382028, 8281383590, 8281382100, 8281384573]",,yes,,,"POLYGON ((117.1640502 39.1099048, 117.1640328 39.1099049, 117.1640136 39.1099052, 117.1640125 39.1098675, 117.1640122 39.1098585, 117.1640497 39.1098581, 117.1640498 39.109865, 117.1640502 39.1099048))",,,,,,,
way,891012621,"[8590023817, 8281384222, 8281383566, 8281381091, 8281380835, 8281382403, 8281381748, 8281383310, 8590023817]",,yes,,,"POLYGON ((117.1709876 39.1081598, 117.1709865 39.1081197, 117.1712088 39.1081159, 117.1712099 39.1081557, 117.1711227 39.1081572, 117.1711236 39.1081859, 117.1710774 39.1081867, 117.1710765 39.1081583, 117.1709876 39.1081598))",,,,,,,
way,891012622,"[8281382785, 8281384348, 8281383693, 8281380962, 8281381618, 8281382273, 8281382785]",,yes,,,"POLYGON ((117.16825 39.1087226, 117.1682508 39.1088282, 117.1682085 39.1088284, 117.1682105 39.1090992, 117.1688603 39.1090962, 117.1688574 39.1087198, 117.16825 39.1087226))",,,,,,,
way,891012626,"[8281381378, 8281382261, 8281383766, 8281383112, 8281384674, 8281384419, 8281382942, 8281381378]",,yes,,,"POLYGON ((117.1638178 39.1060893, 117.1637533 39.106089, 117.1637231 39.1060889, 117.1637239 39.1059711, 117.1639755 39.1059721, 117.1639747 39.1060899, 117.1638529 39.1060894, 117.1638178 39.1060893))",,,,,,,
way,891012627,"[8281310907, 8281383680, 8281383027, 8281384589, 8281384335, 8281381862, 8281381205, 8281382772, 8281382516, 8281384146, 8281383492, 8281381017, 8281384798, 8281383119, 8281382465, 8281384029, 8281383771, 8281381297, 8281384680, 8281382208, 8281381952, 8281383514, 8281310907]",,yes,,,"POLYGON ((117.1638871 39.1081671, 117.1640559 39.1081646, 117.1640557 39.1081571, 117.1642199 39.1081548, 117.164227 39.1084519, 117.1642049 39.1084522, 117.1642079 39.1085753, 117.1640764 39.1085772, 117.1640769 39.1086013, 117.1635004 39.1086096, 117.1635009 39.1086257, 117.1634294 39.1086267, 117.163429 39.1086106, 117.163241 39.1086133, 117.163241 39.1086118, 117.1631159 39.1086136, 117.1631152 39.1085876, 117.1631013 39.1085878, 117.1630986 39.1084736, 117.1632376 39.1084716, 117.1632374 39.1084626, 117.163894 39.1084531, 117.1638871 39.1081671))",,,,,,,
way,891012629,"[8281383696, 8281383044, 8281384606, 8281384351, 8281383696]",,yes,,,"POLYGON ((117.1630943 39.1128686, 117.1630921 39.1128083, 117.1632439 39.112808, 117.1632452 39.1128669, 117.1630943 39.1128686))",,,,,,,
way,891012630,"[8281384207, 8281381734, 8281382336, 8281383539, 8281383899, 8281383245, 8281384807, 8281384552, 8281382079, 8281382127, 8281384207]",,yes,,,"POLYGON ((117.1702592 39.1079065, 117.170348 39.1079051, 117.1703482 39.1079098, 117.1703568 39.1079097, 117.1708336 39.1079017, 117.1708293 39.1077482, 117.1703065 39.1077569, 117.1703067 39.1077657, 117.1702553 39.1077666, 117.1702555 39.1077739, 117.1702592 39.1079065))",,,,,,,
way,891012633,"[8281383040, 8590004516, 8590004514, 8590004513, 8590004515, 8281382387, 8281383948, 8281381476, 8281383040]",,yes,,,"POLYGON ((117.1716919 39.1096663, 117.1717504 39.1096665, 117.1717501 39.1097002, 117.1719949 39.1097013, 117.1719951 39.1096667, 117.1721823 39.1096675, 117.1721834 39.1095012, 117.1716931 39.1094991, 117.1716919 39.1096663))",,,,,,,
way,891012634,"[8281383822, 8281383568, 8281381094, 8281384476, 8281382003, 8281381750, 8281383313, 8281382658, 8281381040, 8281382258, 8281382916, 8281381350, 8281383586, 8281384212, 8281382650, 8281383304, 8281381741, 8281381134, 8281382679, 8281381112, 8281381368, 8281382607, 8281381953, 8281383515, 8281383258, 8281384820, 8281384169, 8281381696, 8281381439, 8281383004, 8281382349, 8281383912, 8281383656, 8281381182, 8281384565, 8281382092, 8281381838, 8281383400, 8281382748, 8281384311, 8281382074, 8281383639, 8281382986, 8281384547, 8281384293, 8281381821, 8281381164, 8281382730, 8281382474, 8281384038, 8281383382, 8281380907, 8281384689, 8281382217, 8281381564, 8281383127, 8281382870, 8281384434, 8281383779, 8281381305, 8281381047, 8281382615, 8281381960, 8281383522, 8281383822]",,yes,,,"POLYGON ((117.1698571 39.1058889, 117.1698767 39.1058889, 117.1698767 39.1058359, 117.1698808 39.1058193, 117.1698817 39.1057732, 117.1698652 39.1057732, 117.1698656 39.105758, 117.1698588 39.105758, 117.1698598 39.1056842, 117.1697442 39.1056833, 117.1697442 39.1056679, 117.1696969 39.1056675, 117.1696964 39.105683, 117.1696598 39.1056827, 117.1696602 39.1056665, 117.1696232 39.1056665, 117.1696232 39.1056602, 117.1696071 39.1056602, 117.1696071 39.1056505, 117.1694151 39.1056491, 117.1694151 39.1056809, 117.1691441 39.1056789, 117.1691432 39.1057409, 117.1691079 39.1057409, 117.1691079 39.1057454, 117.1691195 39.1057457, 117.1691195 39.1057523, 117.169115 39.1057523, 117.1691146 39.1057835, 117.1691423 39.1057838, 117.1691409 39.1058843, 117.1691882 39.1058847, 117.1691891 39.1059585, 117.1691815 39.1059595, 117.1691748 39.1059616, 117.169169 39.105965, 117.1691641 39.1059696, 117.169161 39.1059751, 117.1691592 39.1059806, 117.169161 39.1059855, 117.1691636 39.1059903, 117.1691672 39.1059945, 117.1691757 39.106, 117.1691851 39.1060049, 117.1691953 39.106008, 117.1692065 39.1060101, 117.1692177 39.1060111, 117.1692288 39.1060104, 117.1692395 39.1060084, 117.1692538 39.1060028, 117.1692686 39.1059983, 117.1692838 39.1059949, 117.1692994 39.1059921, 117.1695941 39.1059942, 117.1695941 39.1060261, 117.1698553 39.1060282, 117.1698557 39.1059984, 117.169866 39.1059984, 117.169866 39.1059936, 117.1698602 39.1059936, 117.1698606 39.1059589, 117.1698664 39.1059589, 117.1698669 39.1059544, 117.1698562 39.1059544, 117.1698571 39.1058889))",,,,,,,
way,891012635,"[8281383772, 8281381908, 8281383471, 8281382817, 8281384380, 8281384124, 8281381652, 8281380994, 8281382561, 8281382305, 8281383869, 8281382725, 8281383331, 8281380856, 8281384240, 8281381768, 8281381512, 8281383076, 8281382421, 8281383984, 8281383727, 8281381254, 8281384636, 8281381298, 8281382863, 8281384426, 8281383772]",,dormitory,,47斋,"POLYGON ((117.1713819 39.1064824, 117.171672 39.1064834, 117.1716718 39.1065077, 117.1716876 39.1065077, 117.1716875 39.1065323, 117.1716707 39.1065322, 117.1716705 39.10656, 117.1716781 39.10656, 117.1716778 39.10663, 117.1715824 39.1066296, 117.1715824 39.1066134, 117.1710897 39.1066118, 117.1710897 39.1066275, 117.1709919 39.1066271, 117.1709923 39.1065583, 117.1709992 39.1065584, 117.1709993 39.1065338, 117.1709876 39.1065337, 117.1709877 39.1065074, 117.1710004 39.1065074, 117.1710005 39.1064899, 117.1710446 39.10649, 117.1710447 39.1064815, 117.171293 39.1064824, 117.1712932 39.1064624, 117.171382 39.1064628, 117.1713819 39.1064824))",,,,,,,
