element_type,osmid,geometry,man_made,access,amenity,fee,parking,layer,wheelchair,check_date,operator,operator:short,operator:wikidata,name,operator:wikipedia,location,nodes,building,leisure,building:levels,roof:levels,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,roof:shape,nohousenumber,official_name,building:colour,building:material,ele,gnis:county_name,gnis:import_uuid,gnis:reviewed,opening_hours,phone,roof:colour,roof:material,source,tourism,website,wikidata,wikipedia,old_name,contact:facebook,contact:foursquare,contact:twitter,internet_access,operator:type,ref:isil,short_name,start_date,wikimedia_commons,sport,alt_name,service,addr:country,religion,service_times,denomination,lgbtq,source:lgbtq,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,shelter_type,historic,social_facility,social_facility:for,ways,type
way,134680644,"POLYGON ((-76.6205906 39.3269551, -76.6206017 39.3271041, -76.6206042 39.3271371, -76.6206067 39.3271698, -76.6206184 39.3273224, -76.6206805 39.3273196, -76.6207606 39.327316, -76.6208325 39.3273129, -76.620824 39.3271965, -76.620844 39.3271962, -76.6208267 39.3269447, -76.6206964 39.3269504, -76.6205906 39.3269551))",,,,,,,,,,,,Barton Hall,,,"[1480404979, 2496874918, 2496874919, 2496874921, 1480404972, 2496874929, 2496874928, 1480404977, 4519805679, 1480407071, 1480404970, 2496874908, 1480404979]",university,,3,1,,,,,,,hipped,yes,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,134681110,"POLYGON ((-76.6197822 39.3269707, -76.6200034 39.3269623, -76.6200156 39.327156, -76.6200281 39.3273521, -76.6198069 39.3273605, -76.6198042 39.3273184, -76.6197822 39.3269707))",,,,,,,,,,,,Shaffer Hall,,,"[1480405852, 1480405855, 2451200795, 1480405853, 1480405854, 1480405934, 1480405852]",university,,4,,,,,,,,hipped,,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,134681371,"POLYGON ((-76.6194328 39.326956, -76.6197336 39.3269446, -76.6197563 39.3269437, -76.6197804 39.3269428, -76.6197822 39.3269707, -76.6198042 39.3273184, -76.619778 39.3273194, -76.6195349 39.3273286, -76.6194566 39.3273315, -76.619455 39.3273057, -76.6194328 39.326956))",,,,,,,,,,,,Croft Hall,,,"[1480405932, 4520038763, 2451200784, 1480405931, 1480405852, 1480405934, 2451200805, 2451200806, 1480405933, 2451200803, 1480405932]",university,,3,,,,,,,,,yes,,,brick,,,,,,,,,,,,,,New Engineering Building (NEB),,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,134681897,"POLYGON ((-76.6210384 39.3265328, -76.6208995 39.3265385, -76.6208677 39.3265398, -76.6208363 39.326541, -76.6207992 39.3265426, -76.6208018 39.3265801, -76.6206838 39.326585, -76.6206993 39.3268114, -76.6208173 39.3268066, -76.6208184 39.3268239, -76.6208216 39.3268685, -76.6208248 39.3269141, -76.6208267 39.3269447, -76.620844 39.3271962, -76.6209544 39.3271917, -76.6210831 39.3271864, -76.6210639 39.3269039, -76.6210608 39.3268601, -76.6210575 39.3268137, -76.6210529 39.3267445, -76.6210384 39.3265328))",,,,,,,,,,,,Hackerman Hall,,,"[1480407075, 9171810463, 2496874871, 9171810462, 1480407074, 1909366795, 1480407072, 1480407077, 1480407073, 2496874889, 2451200771, 2496874904, 1480404970, 1480407071, 2496874922, 1480407076, 2496874900, 2451200769, 2496874881, 9173427262, 1480407075]",university,,3,0,,,,,,,hipped,yes,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,134682012,"POLYGON ((-76.6213392 39.3271914, -76.6215979 39.3271805, -76.621872 39.327169, -76.6218951 39.327497, -76.6216245 39.3275084, -76.6213623 39.3275195, -76.6213392 39.3271914))",,,,,,,,,,,,Garland Hall,,,"[1480408930, 2046781198, 1480408929, 1480408927, 2046781199, 1480408928, 1480408930]",university,,3,0,,,,,,,quadruple_saltbox,yes,,,brick,,,,,,,,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,167364633,"POLYGON ((-76.6192606 39.3284351, -76.6192871 39.3284868, -76.6192946 39.3285686, -76.6192973 39.3286104, -76.6193652 39.3286078, -76.6195002 39.3286026, -76.6195008 39.3286118, -76.619551 39.3286099, -76.6196017 39.328608, -76.6196012 39.3286003, -76.6196194 39.3285997, -76.6196134 39.3285119, -76.6195895 39.3284123, -76.6194933 39.3282278, -76.6194101 39.3282569, -76.6193679 39.3282716, -76.619324 39.3282861, -76.619115 39.3283553, -76.6191733 39.3284639, -76.6192606 39.3284351))",,,,,,,,,,,,Brody Learning Commons,,,"[1787618123, 4519871447, 9163274543, 1787618111, 9796710761, 9163282360, 9163282358, 9163282359, 9163282357, 9163274541, 1787618116, 4519871448, 1909366934, 1787618118, 9167476923, 4408342778, 8963061767, 1787618121, 1787618112, 1787618123]",university,,3,0,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508452,"POLYGON ((-76.6191921 39.3296855, -76.6191598 39.3297044, -76.6191274 39.3297233, -76.6191014 39.3296967, -76.6190612 39.3297202, -76.6190675 39.3297266, -76.6190755 39.3297348, -76.6190273 39.3297629, -76.6190487 39.3297848, -76.6190334 39.3297937, -76.6190148 39.3298046, -76.6189963 39.3298154, -76.6189839 39.3298227, -76.6189625 39.3298008, -76.6189132 39.3298296, -76.618899 39.329815, -76.6188575 39.3298393, -76.6188835 39.329866, -76.6188176 39.3299045, -76.6187348 39.3298198, -76.6188007 39.3297813, -76.6188083 39.329789, -76.618817 39.3297839, -76.618827 39.3297781, -76.6188368 39.3297723, -76.6188498 39.3297647, -76.6187992 39.329713, -76.6188485 39.3296842, -76.6188301 39.3296654, -76.6188353 39.3296623, -76.6188627 39.3296463, -76.6188902 39.3296302, -76.6188949 39.3296275, -76.6189133 39.3296463, -76.6189614 39.3296181, -76.619012 39.3296699, -76.6190233 39.3296633, -76.6190334 39.3296573, -76.6190522 39.3296464, -76.6190446 39.3296386, -76.6191093 39.3296008, -76.6191921 39.3296855))",,,,$12,,,no,,Johns Hopkins University Museums,,,Homewood Museum,,,"[9163305874, 9163280371, 9163305872, 9163267668, 9163267669, 9768096379, 9163267674, 9163267670, 9163267673, 9163267666, 9163280372, 8960988175, 1909367162, 1909367155, 1909367164, 1909367158, 1909367167, 1909367174, 1909367181, 1909367160, 1909367149, 1909367151, 8960988165, 4519817364, 8960988181, 1909367148, 1909367141, 367799552, 9163267672, 1909367134, 9163280370, 1909367122, 9163267671, 1909367130, 1909367118, 1909367136, 8960988176, 8960988186, 9163267667, 9163267675, 9163305873, 9163305874]",yes,,1,1,Baltimore,,,MD,,,hipped,,,,brick,,,,,Tu-Fr 11:00-16:00; Sa-Su 12:00-16:00; PH closed,+1 410-516-5589,,metal,USGS Ortho;USGS Geonames,museum,https://museums.jhu.edu/homewood-museum/,Q5890698,en:Homewood Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508453,"POLYGON ((-76.6220502 39.3345034, -76.6220356 39.334494, -76.6218322 39.3343623, -76.6218044 39.3343443, -76.6217208 39.3344215, -76.6218323 39.3344937, -76.62184 39.3344987, -76.6217744 39.3345594, -76.6217666 39.3345544, -76.6217457 39.3345409, -76.6217298 39.3345556, -76.6217138 39.3345704, -76.6217345 39.3345838, -76.6217422 39.3345888, -76.6216734 39.3346524, -76.6217514 39.3347029, -76.6217325 39.3347205, -76.6217819 39.3347525, -76.6218007 39.3347351, -76.6218741 39.3347827, -76.6218786 39.3347855, -76.6219379 39.3347307, -76.6219474 39.3347219, -76.6220496 39.3346275, -76.621971 39.3345766, -76.6220502 39.3345034))",,,,,,,,2022-07-24,,,,Imagine Center for Integrative Learning,,,"[1909367499, 9168181472, 4519935101, 1909367494, 1909367497, 10801868922, 1909367501, 10801868925, 10801868914, 10801868924, 10801868905, 10801868923, 10801868915, 10801868926, 1909367505, 4519761934, 4519761932, 4519761931, 4519761933, 10801868916, 1323154099, 10801868906, 10801868941, 1909367504, 1909367502, 1909367499]",university,,1,0,Baltimore,113,21211,MD,West University Parkway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508454,"POLYGON ((-76.6195154 39.3287725, -76.619497 39.3287732, -76.6194967 39.3287688, -76.619496 39.3287569, -76.6194949 39.32874, -76.6192817 39.328748, -76.6192822 39.3287557, -76.6192827 39.3287649, -76.6192835 39.3287763, -76.6192838 39.3287812, -76.6192673 39.3287818, -76.6192803 39.3289895, -76.619266 39.32899, -76.6192707 39.3290649, -76.6192753 39.3291382, -76.6192895 39.3291377, -76.6193025 39.3293463, -76.6193189 39.3293456, -76.6193198 39.3293594, -76.6193208 39.3293765, -76.6195348 39.3293685, -76.6195344 39.3293627, -76.6195336 39.3293499, -76.6195328 39.3293377, -76.6195507 39.329337, -76.6195376 39.3291285, -76.6195521 39.3291279, -76.6195473 39.3290522, -76.6195428 39.3289797, -76.6195284 39.3289802, -76.6195154 39.3287725))",,,library,,,,,,Sheridan Libraries,,Q73787865,Milton S. Eisenhower Library,,,"[367797728, 9163282356, 9796710762, 8942020489, 8942020485, 8325678392, 8963061768, 244453057, 9796811874, 9166179155, 9166179148, 9166179147, 9166179154, 4519817357, 9166179153, 9166179146, 9166179149, 9166179150, 9170515132, 1909366968, 1909366967, 9170515137, 9170515131, 8325678381, 9166179145, 9166179151, 9166179156, 4519935169, 8325678382, 9163282355, 367797728]",library,,2,,Baltimore,3400,21218,MD,North Charles Street,,flat,,Milton S. Eisenhower Library,,brick,73,Baltimore (city),57871b70-0100-4405-bb30-88b2e001a944,yes,24/7,+1 410-516-8335,,,USGS Geonames,,https://www.library.jhu.edu/library-hours/milton-s-eisenhower-library/,Q58241774,,,https://www.facebook.com/mselibrary,https://www.foursquare.com/v/4b5fbc3cf964a52091ca29e3,https://twitter.com/mselibrary,wlan,private,US-MDBJ,MSE Library,1964,Category:Milton S. Eisenhower Library,,,,,,,,,,,,,,,,,,,
way,180508455,"POLYGON ((-76.6236484 39.3326363, -76.6236699 39.3326547, -76.6236159 39.3326925, -76.6236371 39.3327107, -76.6236396 39.3327141, -76.6236389 39.3327216, -76.6236362 39.3327246, -76.6236126 39.3327411, -76.6236084 39.3327427, -76.6236036 39.3327431, -76.6235987 39.3327423, -76.6235947 39.3327404, -76.6235735 39.3327222, -76.6232564 39.332944, -76.6232788 39.3329631, -76.6232813 39.3329666, -76.6232814 39.3329703, -76.6232806 39.332974, -76.6232779 39.332977, -76.6232543 39.3329935, -76.6232501 39.3329952, -76.6232453 39.3329955, -76.6232403 39.3329947, -76.6232363 39.3329928, -76.6232139 39.3329736, -76.62316 39.3330113, -76.6231385 39.3329929, -76.6229262 39.3331414, -76.6228765 39.3330988, -76.6228587 39.3331113, -76.62285 39.3331039, -76.622722 39.3329944, -76.6227755 39.332957, -76.6227596 39.3329434, -76.6229255 39.3328274, -76.6229668 39.3328627, -76.6234967 39.3324921, -76.6234452 39.3324481, -76.6236065 39.3323353, -76.623623 39.3323494, -76.6236796 39.3323098, -76.6238235 39.3324329, -76.6238078 39.3324439, -76.6238598 39.3324884, -76.6236484 39.3326363))",,,,,,,,,,,,Muller Building,,,"[1909367465, 9770548569, 1909367466, 9770548566, 9770548560, 9770548561, 9770548565, 9770548567, 9770548563, 9770548564, 9770548562, 1909367471, 1909367470, 1909367484, 1909367485, 9770548551, 9770548552, 9770548553, 9770548554, 9770548555, 9770548556, 9770548557, 9770548558, 9770548559, 413545252, 9770548568, 8745885529, 9770548581, 9770548573, 9770548580, 9770548549, 9770548579, 9770548572, 9770548578, 9770548577, 1909367482, 1909367443, 1909367446, 9770548576, 9770548570, 9770548574, 9770548575, 9770548571, 9770548582, 1909367465]",university,,5,,Baltimore,3700,21218,MD,San Martin Drive,,,,Steven Muller Building,,,,,,,,,,,,,,Q1540619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508457,"POLYGON ((-76.6214889 39.3305604, -76.6214872 39.3305342, -76.62155 39.3305318, -76.621524 39.3301394, -76.6214885 39.3301408, -76.6214272 39.3301432, -76.6212637 39.3301497, -76.6212897 39.3305421, -76.6213554 39.3305395, -76.6213583 39.3305832, -76.62132 39.3305899, -76.6213645 39.330742, -76.6215664 39.3307067, -76.621522 39.3305546, -76.6214889 39.3305604))",,,,,,,,,,,,Chemistry Building,,,"[1909367267, 1909367262, 1909367261, 1909367224, 8321647791, 8321647782, 1909367226, 1909367265, 1909367264, 1909367269, 1909367271, 1909367293, 1909367289, 1909367266, 1909367267]",university,,3,0,,,,,,,gabled,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508458,"POLYGON ((-76.6215522 39.3283461, -76.621892 39.3283323, -76.6218597 39.3278553, -76.6218517 39.3278556, -76.6216797 39.3278626, -76.6216565 39.3278635, -76.6216597 39.3279119, -76.6216494 39.3279123, -76.6214411 39.3279208, -76.6214462 39.327996, -76.6214925 39.3279941, -76.6215011 39.3281224, -76.6215106 39.3282633, -76.6214581 39.3282655, -76.6214625 39.3283318, -76.621551 39.3283283, -76.6215522 39.3283461))",,,,,,,,,,,,Levering Hall,,,"[1909366924, 1909366913, 1909366865, 8796666300, 8796666299, 1909366866, 1909366874, 3299495603, 1909366880, 1909366887, 1909366886, 3299495611, 1909366917, 1909366918, 1909366926, 10035284325, 1909366924]",university,,2,0,,,,,,,hipped,yes,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508459,"POLYGON ((-76.6207347 39.3308684, -76.6206428 39.3307948, -76.6206391 39.3307579, -76.6207972 39.3307501, -76.6207859 39.3306192, -76.6207819 39.3305468, -76.6205756 39.3305551, -76.6205307 39.3305569, -76.6205255 39.3305571, -76.6204864 39.3305587, -76.6202993 39.3305663, -76.6202993 39.3306393, -76.6203095 39.3307691, -76.6204718 39.3307624, -76.6204728 39.3308027, -76.6203862 39.3308817, -76.6205484 39.3309959, -76.6205491 39.3310344, -76.620591 39.3310326, -76.6205874 39.3309938, -76.6207347 39.3308684))",,,,,,,,,,,,Mudd Hall,,,"[1909367308, 1909367304, 1909367296, 1909367294, 1909367278, 1909367263, 8321647858, 4519817452, 9803672716, 8321647859, 1909367268, 1909367279, 1909367302, 1909367301, 1909367305, 1909367311, 3442096380, 3442096382, 3442096381, 1909367322, 1909367308]",university,,3,0,,,,,,,gabled,,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,180508460,"POLYGON ((-76.6217019 39.3259761, -76.6217016 39.3259719, -76.6217003 39.3259524, -76.621699 39.325933, -76.6217572 39.3259307, -76.6217566 39.3259212, -76.6217506 39.3258297, -76.6216924 39.325832, -76.6216893 39.3257853, -76.6215455 39.3257909, -76.6215447 39.325778, -76.6215438 39.325765, -76.6215012 39.3257667, -76.6214586 39.3257683, -76.6214595 39.3257813, -76.6214603 39.3257943, -76.6213664 39.325798, -76.6213178 39.3257999, -76.6213193 39.3258233, -76.6213208 39.3258466, -76.6212993 39.3258474, -76.6212649 39.3258487, -76.6212716 39.3259497, -76.6213275 39.3259475, -76.6213287 39.325967, -76.62133 39.3259865, -76.6213303 39.3259907, -76.6214654 39.3259854, -76.6215164 39.3259834, -76.6215677 39.3259814, -76.6217019 39.3259761))",,,,,,,,,,,,Mason Hall,,,"[1909366738, 9147045512, 2496874846, 9171810457, 9732662134, 9171810504, 1909366725, 1909366728, 1909366713, 9171810516, 9171810508, 9171810514, 2496874840, 9171810513, 9171810509, 9171810515, 9732644003, 1909366722, 9732662137, 1909366729, 9732643993, 1909366730, 9732662135, 9171810499, 2496874848, 9147048093, 1909366755, 9147048094, 2496874850, 9147045510, 1909366738]",university,,2,1,,,,,,,hipped,,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
