element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:state,addr:street,access,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,name,source,note,amenity,operator,wheelchair,layer,parking,website,addr:postcode,description,fixme,tourism,nodes,building:levels,name:etymology:wikidata,name:etymology:wikipedia,wikidata,old_name,alt_name,architect,contact:yelp,display,faces,height,man_made,opening_hours,start_date,support,tower:construction,tower:type,visibility,wikipedia,internet_access,addr:housename,disused:museum,disused:tourism,historic,occupant,comment,air_conditioning,phone,heritage,leisure,sport,is_in:state_code,toilets:wheelchair,healthcare,contact:facebook,contact:instagram,museum,wikimedia_commons,cooperative,heritage:operator,name_1,landuse,plant:output:electricity,plant:source,power,brand,brand:wikidata,cuisine,outdoor_seating,roof:levels,covered,historic:note,ref:nrhp,shop,official_name,operator:type,operator:wikidata,short_name,email,location,designation,survey:date,wheelchair:description,bridge,building:use,disused,min_height,smoking,drinking_water,bar,fax,internet_access:fee,payment:cash,payment:credit_cards,rooms,guest_house,reservation,telescope:type,alt_name_1,content,material,bicycle_parking,branch,cooling:method,memorial,ways,type,architect:wikidata,building:material,contact:foursquare,url,really_has_a_road_through_it
way,24025427,"POLYGON ((-122.2608836 37.8696031, -122.2609255 37.8698169, -122.261278 37.8697739, -122.2612641 37.8697031, -122.2614305 37.8696828, -122.2614731 37.8698998, -122.2616165 37.8698823, -122.2615479 37.8695326, -122.2613776 37.8695534, -122.2613894 37.8696139, -122.2612816 37.869627, -122.2612677 37.8695561, -122.2608836 37.8696031))",,,,CA,,,yes,75,Alameda,1656664,57871b70-0100-4405-bb30-88b2e001a944,,Alumni House,USGS Geonames,,,,,,,,,,,,"[260551419, 260551420, 260551421, 260551422, 260551423, 260551424, 260551425, 260551426, 260551430, 260551431, 260551432, 260551435, 260551419]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025428,"POLYGON ((-122.2593391 37.8689012, -122.2594441 37.8694345, -122.2595796 37.8694185, -122.2596911 37.8694049, -122.2597892 37.8693928, -122.2597912 37.8694042, -122.2600352 37.8693785, -122.2599592 37.8690444, -122.2599969 37.8690395, -122.2599286 37.8689078, -122.2598091 37.8689273, -122.259806 37.868912, -122.2597882 37.8688482, -122.2597695 37.8688231, -122.2597486 37.8687865, -122.259742 37.8687864, -122.259587 37.8687825, -122.2594121 37.8688044, -122.2594135 37.8688598, -122.2594146 37.8688912, -122.2593391 37.8689012))",Berkeley,,2495,CA,Bancroft Way,,university,81,Alameda,1656733,57871b70-0100-4405-bb30-88b2e001a944,,Martin Luther King Jr. Student Union,,,,,limited,,,,94704,,,,"[260551436, 260551437, 288992445, 5546040275, 10944422087, 6269419117, 2835429911, 10944422086, 10944422085, 2835429906, 2835429915, 4181862735, 2835429876, 10944422084, 6269419112, 10944422083, 6269419111, 1990630264, 288992428, 10944422082, 260551436]",5,Q8027,,,,ASUC Student Union,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025430,"POLYGON ((-122.2604884 37.8693376, -122.2604715 37.869253, -122.260452 37.8691558, -122.2604094 37.8689433, -122.2606657 37.8689113, -122.2608307 37.8688907, -122.2611055 37.8688567, -122.2611871 37.869252, -122.261071 37.8692665, -122.2610772 37.8692974, -122.2606721 37.869348, -122.2606656 37.8693154, -122.2604884 37.8693376))",,,,CA,,,theatre,77,Alameda,1656782,57871b70-0100-4405-bb30-88b2e001a944,,Zellerbach Hall,USGS Geonames,,theatre,,,,,,,,,,"[260551448, 5546043749, 2835429912, 260551449, 2835429913, 9330669653, 260551450, 260551454, 10944445006, 10944445005, 10944422104, 10944422103, 260551448]",4,,,Q8068797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025431,"POLYGON ((-122.261504 37.8693306, -122.2613983 37.868819, -122.2611055 37.8688567, -122.2611871 37.869252, -122.2612111 37.8693683, -122.261504 37.8693306))",,,,,,,yes,,,,,,Zellerbach Playhouse,,,theatre,,,,,,,,,,"[260551452, 260551453, 260551450, 260551454, 318886336, 260551452]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025434,"POLYGON ((-122.2592575 37.8745652, -122.2590747 37.8746083, -122.2589205 37.8742013, -122.2589724 37.8741888, -122.2590276 37.874176, -122.2591034 37.8741581, -122.2591273 37.8742211, -122.2592314 37.874496, -122.2592575 37.8745652))",,,,CA,,,university,100,Alameda,1656751,57871b70-0100-4405-bb30-88b2e001a944,,O'Brien Hall,USGS Geonames,,,,,,,,,,,,"[260551480, 260551481, 260551482, 1250624762, 1250624808, 260551483, 260551501, 260551500, 260551480]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025435,"POLYGON ((-122.2593415 37.8738608, -122.2589451 37.8739543, -122.25889 37.8739673, -122.2588258 37.8739824, -122.2588137 37.8739505, -122.258804 37.8739249, -122.2587799 37.873861, -122.2587586 37.8738048, -122.2592742 37.8736832, -122.2593415 37.8738608))",,,,CA,,,university,94,Alameda,1656736,,,McLaughlin Hall,USGS Geonames,,,,,,,,,,,,"[260551484, 1250624764, 1250624789, 260551488, 10059869346, 10072730832, 8499177752, 260551489, 260551490, 260551484]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025437,"POLYGON ((-122.2599628 37.8744136, -122.2596569 37.874486, -122.259625 37.8744036, -122.2595213 37.8741285, -122.2594362 37.8739029, -122.2594112 37.8738395, -122.2595946 37.873796, -122.2597163 37.8737673, -122.2598492 37.874117, -122.2598921 37.8741069, -122.259911 37.8741567, -122.2599299 37.8742063, -122.2598878 37.8742162, -122.2599628 37.8744136))",,,,CA,,,yes,93,Alameda,1656734,,,McCone Hall,USGS Geonames,,,,,,,,,,,,"[260551491, 260551492, 260551499, 260551502, 4305359372, 260551493, 10088019886, 260551494, 260551495, 260551496, 5120572270, 260551497, 260551498, 260551491]",6,,,,,Department of Geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025438,"POLYGON ((-122.259625 37.8744036, -122.2592314 37.874496, -122.2591273 37.8742211, -122.2592675 37.8741881, -122.2595213 37.8741285, -122.259625 37.8744036))",,,,CA,,,yes,94,Alameda,1656720,,,Hesse Hall,USGS Geonames,,,,,,,,,,,,"[260551499, 260551500, 260551501, 4305359375, 260551502, 260551499]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025440,"POLYGON ((-122.262661 37.8698822, -122.262519 37.8699034, -122.2624911 37.8697818, -122.2620887 37.8698279, -122.2620967 37.8698772, -122.2619583 37.8698951, -122.2619482 37.869839, -122.2619315 37.8698413, -122.2619258 37.8698088, -122.2618939 37.8698128, -122.2618792 37.8697442, -122.2618416 37.8697463, -122.2618061 37.8695801, -122.2617907 37.8695806, -122.2617384 37.8693303, -122.2617558 37.8693271, -122.2617062 37.8690921, -122.261678 37.8690947, -122.2616726 37.8690688, -122.2616975 37.8690667, -122.2616946 37.8690563, -122.2617665 37.8690455, -122.2617778 37.8690293, -122.2617716 37.8689931, -122.2617923 37.868981, -122.2619023 37.8689699, -122.2619204 37.8689789, -122.2619285 37.8690271, -122.2619472 37.8690191, -122.262308 37.8689707, -122.2623227 37.8689761, -122.2622966 37.8688524, -122.2623097 37.8688353, -122.2624317 37.8688209, -122.2624495 37.8688323, -122.262458 37.8688771, -122.262476 37.8689571, -122.2624833 37.8689563, -122.2624897 37.8689879, -122.2625232 37.8689847, -122.2625387 37.8690551, -122.2625796 37.8690604, -122.2626118 37.8692214, -122.2626292 37.8692187, -122.2626761 37.869467, -122.2626614 37.869468, -122.2626979 37.8696328, -122.2626577 37.8696409, -122.2626724 37.8697107, -122.2626463 37.8697144, -122.2626523 37.8697462, -122.2626275 37.8697488, -122.262661 37.8698822))",,,,,,,yes,,,,,,Haas Pavilion,,,,,,,,,,,,,"[260551507, 260551508, 260551509, 260551510, 260551511, 260551512, 260551514, 3206232418, 260551515, 260551516, 3206232419, 3206232420, 3206232421, 3206232422, 3206232423, 3206232424, 3206232429, 3206232427, 260551517, 3206232428, 3206232426, 3206232425, 260551518, 3312444049, 260551519, 3206232435, 260551520, 260551521, 3206232433, 3206232432, 260551522, 260551523, 3206232436, 3206232437, 260551524, 260551580, 3206232431, 3206232430, 260551529, 3206232447, 3206232446, 260551543, 3206232445, 3206232444, 3206232443, 3206232442, 3206232441, 3206232440, 3206232439, 3206232438, 260551544, 260551545, 260551507]",4,,,Q5636556,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025442,"POLYGON ((-122.2631186 37.8683383, -122.2623507 37.8684292, -122.2623857 37.8686133, -122.2622541 37.8686289, -122.2622966 37.8688524, -122.2623097 37.8688353, -122.2624317 37.8688209, -122.2624495 37.8688323, -122.262458 37.8688771, -122.2625313 37.8688685, -122.2625596 37.868865, -122.2625801 37.8689728, -122.2632109 37.8688978, -122.2631917 37.8687966, -122.2632771 37.8687844, -122.2632427 37.8686236, -122.2632212 37.8686264, -122.2631746 37.8686326, -122.2631186 37.8683383))",,,,CA,,,yes,70,Alameda,1656755,57871b70-0100-4405-bb30-88b2e001a944,,Recreational Sports Facility,USGS Geonames,,,,yes,,,,,,,,"[260551577, 260551578, 260551579, 260551590, 260551523, 3206232436, 3206232437, 260551524, 260551580, 8417825621, 260551581, 260551582, 260551587, 260551589, 4181862733, 4181862718, 8451378020, 4181862753, 260551577]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025443,"POLYGON ((-122.2639576 37.8688063, -122.2633006 37.8688939, -122.2632771 37.8687844, -122.2632427 37.8686236, -122.2632292 37.8685603, -122.2638877 37.8684726, -122.2639576 37.8688063))",,,,,,,yes,,,,,,Kleeberger Field House,,,,,,,,,,,,,"[260551591, 260551592, 4181862733, 4181862718, 260551593, 1250620597, 260551591]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025444,"POLYGON ((-122.2647628 37.8677374, -122.2644527 37.8677777, -122.2644888 37.8679513, -122.2641819 37.8679912, -122.2640325 37.8672743, -122.2643398 37.8672344, -122.2644128 37.8675856, -122.2647228 37.8675454, -122.2647628 37.8677374))",,,,CA,,,yes,66,Alameda,1656768,57871b70-0100-4405-bb30-88b2e001a944,no,Tang Center,USGS Geonames,,clinic,,yes,,,,,,,,"[260551597, 260551598, 260551599, 260551600, 260551601, 260551602, 260551604, 260551605, 260551597]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025448,"POLYGON ((-122.2560823 37.8720146, -122.2558754 37.8720876, -122.2558109 37.8719897, -122.2557257 37.8719522, -122.2556916 37.8719022, -122.2557476 37.8718821, -122.2557026 37.8718158, -122.2555894 37.8718581, -122.2554324 37.871615, -122.2555894 37.8715535, -122.2556636 37.8716679, -122.2558705 37.8715958, -122.2559344 37.8716957, -122.2559812 37.8716784, -122.2562295 37.8715891, -122.2562818 37.8716851, -122.2560599 37.8717694, -122.2559277 37.8718196, -122.2560272 37.8719744, -122.2560518 37.8719656, -122.2560823 37.8720146))",,,,,,,university,,,,,,Faculty Club,,,,,,,,,,,,,"[260551629, 260551630, 3207739965, 3207739964, 260551631, 260551643, 260551644, 260551645, 260551648, 260551649, 260551650, 260551651, 260551652, 3165984594, 260551653, 260551654, 3207753658, 260551655, 3207739966, 3207739967, 260551629]",2,,,Q119397821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025450,"POLYGON ((-122.2551052 37.8719766, -122.2549241 37.8719768, -122.2547209 37.871977, -122.2547211 37.8720812, -122.2548051 37.8720811, -122.2548053 37.8721672, -122.254938 37.872167, -122.2549379 37.8720759, -122.2551054 37.8720757, -122.2551052 37.8719766))",,,,,,,yes,,,,,,Women's Faculty Club,,,,,,,,,,,,,"[260551659, 5081960524, 260551661, 260551662, 260551663, 260551664, 260551665, 260551681, 260551682, 260551659]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24026035,"POLYGON ((-122.2469896 37.8786676, -122.2470277 37.8787663, -122.2470911 37.8789186, -122.2470168 37.8789748, -122.2469126 37.8789769, -122.2468794 37.8789135, -122.2468537 37.8789592, -122.2468741 37.8789911, -122.2468572 37.879019, -122.2468999 37.8791037, -122.2469915 37.879133, -122.2470122 37.879122, -122.2470337 37.8791294, -122.2470472 37.8791504, -122.2470352 37.8791715, -122.2471502 37.8794031, -122.2470208 37.8796617, -122.2468 37.8797326, -122.2468116 37.8797506, -122.246689 37.8797907, -122.2465679 37.8797522, -122.2465767 37.8797278, -122.2463636 37.8796571, -122.2462982 37.879538, -122.2462369 37.8794103, -122.2462804 37.8793163, -122.2462968 37.8792823, -122.2463215 37.8792387, -122.2463596 37.8791605, -122.2464758 37.8791156, -122.2465227 37.8790157, -122.2465187 37.8790063, -122.2465067 37.8789907, -122.246527 37.8789564, -122.2464968 37.8788928, -122.2464665 37.8789778, -122.246361 37.8789773, -122.246287 37.8789179, -122.246298 37.878895, -122.246262 37.8788865, -122.246338 37.8786931, -122.2463755 37.8786985, -122.2463941 37.8786692, -122.2464518 37.8786675, -122.2464369 37.8786189, -122.24648 37.8786143, -122.2466129 37.8786617, -122.246687 37.8786613, -122.2467642 37.8786594, -122.2469098 37.878611, -122.2469445 37.8786224, -122.2469359 37.8786599, -122.2469896 37.8786676))",,,1,CA,Centennial Drive,,museum,353,Alameda,1676020,57871b70-0100-4405-bb30-88b2e001a944,no,Lawrence Hall of Science,USGS Geonames,,,,yes,,,https://www.lawrencehallofscience.org/,94720,,,museum,"[260556330, 2774607278, 260556332, 260556333, 260556334, 260556335, 260556336, 260556337, 9441799449, 9441799448, 9441799447, 260556338, 260556365, 260556366, 260556339, 260556340, 260556341, 260556364, 260556361, 260556342, 260556362, 260556363, 260556343, 1068525802, 260556344, 9441799450, 1068525781, 9441799453, 9441799454, 260556345, 9487544305, 260556347, 9441799456, 9441799455, 260556348, 260556349, 260556350, 260556351, 9487544314, 9487544315, 260556352, 9487544313, 9487544312, 260556353, 260556354, 260556355, 260556356, 9487411507, 260556358, 9487544311, 260556359, 260556360, 260556330]",,,,Q14683059,,,,,,,,,Tu-Su 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,LawrenceHallofScience,berkeleyscience,science,Category:Lawrence Hall of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24026114,"POLYGON ((-122.2565981 37.8742929, -122.2566381 37.8744397, -122.2565422 37.8745438, -122.2565452 37.874571, -122.2567582 37.8747189, -122.2565865 37.8748711, -122.2563038 37.8746386, -122.2564081 37.8745702, -122.2563827 37.8744883, -122.2561113 37.8745554, -122.256056 37.8744288, -122.2565981 37.8742929))",,,,CA,,,yes,110,Alameda,1656689,57871b70-0100-4405-bb30-88b2e001a944,,Donner Laboratory,USGS Geonames,,,,,,,,,,,,"[260557108, 260557109, 270623149, 260557110, 260557111, 260557112, 260557113, 260557114, 260557115, 260557116, 260557117, 260557108]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24907719,"POLYGON ((-122.2562407 37.8751617, -122.2562866 37.8751915, -122.2563286 37.8753842, -122.256352 37.8753919, -122.2563619 37.8754377, -122.2563362 37.8754674, -122.2561718 37.8754911, -122.256106 37.8754663, -122.2559911 37.8754858, -122.2559946 37.8755053, -122.2559344 37.8755141, -122.2559291 37.8755029, -122.2556772 37.8755404, -122.2556434 37.875399, -122.2559051 37.875367, -122.2559035 37.8753453, -122.2559818 37.8753273, -122.255983 37.8753158, -122.2560715 37.8753026, -122.2561066 37.8752672, -122.2560931 37.8751762, -122.2560222 37.8750877, -122.2561283 37.8750341, -122.2561671 37.8750316, -122.2562187 37.8750677, -122.2562407 37.8751617))",,,,,,,dormitory,,,,,,Foothill Hillside 4,,,,,,,,,,,,,"[260543497, 260543498, 4303713265, 270623184, 270623183, 260543475, 462761933, 4303713260, 4303713299, 4303713139, 4303713153, 4303713211, 260543476, 270623161, 270623162, 270623163, 4303713282, 4303713147, 4303713164, 4303713272, 4303713232, 4303713141, 270623168, 270623180, 270623187, 260543497]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25017162,"POLYGON ((-122.2582536 37.8758938, -122.2582479 37.8758668, -122.2581481 37.87588, -122.2581541 37.8759083, -122.2581434 37.8759097, -122.258153 37.8759553, -122.2581391 37.8759677, -122.2581422 37.8759825, -122.258161 37.8759929, -122.2581739 37.8760539, -122.2581175 37.8760614, -122.2581143 37.8760464, -122.2580774 37.8760513, -122.2580807 37.8760668, -122.2579743 37.8760808, -122.2579691 37.8760565, -122.2579228 37.8760626, -122.2579281 37.8760877, -122.2578251 37.8761013, -122.2578218 37.8760858, -122.2577826 37.876091, -122.257786 37.876107, -122.2577486 37.8761119, -122.2577392 37.8760676, -122.2577289 37.8760191, -122.2577122 37.8760106, -122.2577073 37.8760112, -122.2576982 37.8759684, -122.2576883 37.8759697, -122.257683 37.8759449, -122.2575695 37.8759599, -122.2575877 37.8760456, -122.2574454 37.8760644, -122.2574756 37.876207, -122.2576227 37.8761876, -122.2576346 37.8762438, -122.2583199 37.8761533, -122.2582838 37.8759826, -122.2583099 37.8759792, -122.2582977 37.8759216, -122.2582716 37.8759251, -122.2582646 37.8758923, -122.2582536 37.8758938))",Berkeley,,2600,CA,Ridge Road,,dormitory,124,Alameda,1656681,57871b70-0100-4405-bb30-88b2e001a944,,Cloyne Court,USGS Geonames,,,Berkeley Student Cooperative,,,,,,,,,"[7021217816, 7021217812, 7021217813, 271960068, 7021217818, 7021217823, 7021217825, 7021217831, 7021217834, 271960069, 7021217842, 7021217838, 7021217839, 7021217846, 7021217849, 7021217841, 7021217843, 7021217852, 7021217857, 7021217851, 7021217854, 7021217859, 271960070, 7021217847, 7021217837, 7021217835, 7021217836, 7021217826, 7021217827, 271960071, 271960072, 1333177020, 1333177016, 1333176993, 1333176972, 271960073, 271960074, 7021217832, 7021217829, 7021217820, 7021217821, 7021217814, 7021217816]",4,,,Q5136066,,Cloyne Court Hotel,,,,,,,,,,,,,en:Cloyne Court Hotel,,CLO,,,building,,,,,2,,,,,,,,,,yes,nrhp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25079275,"POLYGON ((-122.258568 37.8743042, -122.258452 37.8739815, -122.258244 37.8740281, -122.2582739 37.8741112, -122.2582156 37.8741243, -122.2580952 37.8741513, -122.2580827 37.8741166, -122.2578441 37.87417, -122.257816 37.8741763, -122.2578112 37.8741774, -122.2578848 37.8743823, -122.2578597 37.8743879, -122.2578846 37.8744573, -122.258568 37.8743042))",,,,CA,,,yes,106,Alameda,1656670,57871b70-0100-4405-bb30-88b2e001a944,,Bechtel Engineering Center,USGS Geonames,,,,,-1,,,,,,,"[260542077, 272903026, 272903027, 272903028, 4301522699, 272903029, 272903030, 4301520744, 560215254, 272903031, 4301522665, 4301520771, 260542078, 260542077]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25887540,"POLYGON ((-122.255569 37.8718671, -122.2555062 37.8717695, -122.2552489 37.8718727, -122.2553117 37.8719702, -122.255569 37.8718671))",,,,,,,yes,,,,,,Senior Hall,,,,,,,,,,,,,"[282388084, 282388085, 282388086, 282388087, 282388084]",,,,Q7450682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26131514,"POLYGON ((-122.2631218 37.8737104, -122.2631038 37.87367, -122.2628375 37.8737439, -122.2628555 37.8737843, -122.2631218 37.8737104))",,,,,,,yes,,,,,,Henry H. Wheeler Jr. Brain Imaging Center,,,,,,,,,,,,,"[286081703, 286081704, 286081705, 286081706, 286081703]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26133946,"POLYGON ((-122.2486913 37.8762578, -122.2485107 37.8762367, -122.2483521 37.8761797, -122.2482298 37.8761025, -122.248128 37.8760125, -122.2480488 37.8759078, -122.2480072 37.8757978, -122.248002 37.8756725, -122.2480381 37.8755552, -122.2481085 37.8754554, -122.2480723 37.8754383, -122.2480615 37.8754118, -122.2484102 37.8753298, -122.2484156 37.8753493, -122.2486504 37.8752948, -122.2487263 37.875352, -122.2487362 37.8753438, -122.2488776 37.8754506, -122.2489393 37.8755002, -122.2490208 37.8754882, -122.2491407 37.8758078, -122.2491181 37.8758892, -122.2490506 37.8759898, -122.2489451 37.8760773, -122.248814 37.876143, -122.248676 37.8761758, -122.2486913 37.8762578))",,,,,,,yes,,,,,,Advanced Light Source,,,,,,,,,,,,,"[286111445, 286111446, 1387990228, 7714109175, 286111447, 7714109176, 286111448, 286111449, 7714109177, 286111451, 7714109178, 7714109179, 7714109180, 7714109181, 286111452, 7714109149, 7714109148, 6900707256, 7714109184, 6900707250, 1250695602, 286111455, 7714121085, 286111456, 1387990227, 1387990229, 286111445]",,,,Q4686229,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26133979,"POLYGON ((-122.2497304 37.8786603, -122.2496115 37.878349, -122.2497339 37.8783199, -122.2497136 37.878267, -122.2496066 37.8782925, -122.2492044 37.8772397, -122.249455 37.8771801, -122.2498565 37.8782313, -122.2497504 37.8782566, -122.2497727 37.8783148, -122.2498198 37.8783036, -122.2498666 37.8784263, -122.2497804 37.8784468, -122.2498284 37.8785726, -122.2497907 37.8785816, -122.2498133 37.8786406, -122.2497304 37.8786603))",,,,,,,yes,,,,,,46,,,,,,,,,,,,,"[286112302, 7714099329, 7714099328, 7714099327, 7714099330, 286112303, 286112304, 286112305, 286112307, 286112308, 286112309, 286112310, 286112311, 286112312, 286112313, 286112314, 286112302]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26677321,"POLYGON ((-122.2521051 37.8759066, -122.2520976 37.8758836, -122.2521299 37.8758769, -122.2521014 37.8757904, -122.2521216 37.8757863, -122.2520898 37.8756903, -122.2520729 37.8756388, -122.2519614 37.8756617, -122.2514528 37.8757663, -122.2515376 37.8760233, -122.2516212 37.8760059, -122.2516577 37.8759982, -122.2521051 37.8759066))",,,,,,,yes,,,,,,70A,,,,,,,,,,,,,"[292579437, 7781516067, 7781516066, 7781516065, 7781516072, 4649874006, 292579438, 7134340166, 292579439, 292579440, 7781530488, 7781530489, 292579437]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27293995,"POLYGON ((-122.2536471 37.8702917, -122.2529897 37.8703781, -122.2529615 37.8702484, -122.2530242 37.8702399, -122.2530207 37.8702201, -122.2529541 37.8702267, -122.2529498 37.8701988, -122.2529767 37.8701953, -122.252974 37.8701755, -122.2529428 37.8701787, -122.2529017 37.8700036, -122.2528148 37.870015, -122.2527899 37.8699052, -122.2529426 37.8698836, -122.2530004 37.8698758, -122.2531428 37.8698597, -122.2531396 37.8698353, -122.253169 37.8698313, -122.2531571 37.8697767, -122.2531362 37.869781, -122.2531012 37.8696006, -122.2535819 37.8695381, -122.253618 37.8697176, -122.253589 37.8697228, -122.2535953 37.8697459, -122.2536028 37.8697737, -122.2536251 37.8697707, -122.2536305 37.8697972, -122.2538031 37.8697767, -122.2537516 37.8695326, -122.2540289 37.8694978, -122.2541309 37.8700037, -122.2538595 37.8700322, -122.2538529 37.8699952, -122.2537929 37.8700026, -122.253796 37.8700128, -122.2536317 37.8700329, -122.253629 37.8700244, -122.2536137 37.8700265, -122.2535908 37.8700297, -122.2536045 37.8700935, -122.2535382 37.870103, -122.2535429 37.8701239, -122.2536092 37.8701151, -122.2536156 37.8701406, -122.2535529 37.8701493, -122.2535573 37.8701686, -122.25362 37.870161, -122.2536471 37.8702917))",,,,CA,,,university,103,Alameda,1656672,57871b70-0100-4405-bb30-88b2e001a944,,The Law Building,USGS Geonames,,,,,,,,,,,,"[299623253, 299623255, 3207677732, 3207677735, 3207677736, 3207677734, 3207677737, 3207677738, 3207677739, 3207677733, 299623256, 299623257, 299623258, 760874865, 760874894, 299623259, 3207694166, 10726612963, 10726612964, 10726612967, 10726612968, 10726612969, 10726612966, 10726612965, 10726612975, 10726612962, 3207694168, 3207694167, 3207694164, 299623266, 3207694163, 361369723, 299623269, 299623270, 299623271, 3207655525, 299623274, 3207655526, 10726612977, 299623275, 3207655531, 3207655533, 3207655532, 3207655529, 3207655527, 3207655534, 3207655530, 3207655528, 299623253]",3,,,,Boalt Hall,,,,,,,,,,,,,,,,,,,,,name changed in Jan 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27293997,"POLYGON ((-122.2528009 37.8700969, -122.2526533 37.8701205, -122.2525362 37.8696867, -122.2529509 37.8696315, -122.2530004 37.8698758, -122.2529426 37.8698836, -122.2529078 37.8697171, -122.2527539 37.8697353, -122.2527899 37.8699052, -122.2528148 37.870015, -122.2527794 37.870019, -122.2528009 37.8700969))",,,,,,,yes,,,,,,Simon Hall,,,,,,,,,,,,,"[299623589, 299623590, 299623591, 3207694165, 760874894, 760874865, 760874913, 760874882, 299623258, 299623257, 760874905, 299623589]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
