element_type,osmid,name,name:en,name:zh,geometry,name:ms,nodes,building,name:zh-Hans,name:zh-Hant,building:levels,layer,building:material,official_name,start_date,amenity,fast_food,leisure,sport,branch,cuisine,height,power,tourism,healthcare,internet_access,internet_access:fee,smoking,toilets:wheelchair,wheelchair,level,operator,operator:type,building:colour,building:min_level,natural,ways,type
way,231406260,,,,"POLYGON ((113.929998 22.5409882, 113.9299974 22.5410227, 113.9299312 22.5410217, 113.9299318 22.540986, 113.9298527 22.5409849, 113.9298565 22.5407566, 113.9301043 22.5407602, 113.9301004 22.5409897, 113.929998 22.5409882))",,"[2398001517, 2398001523, 2398001744, 2398001509, 2398001531, 2398001524, 2398001519, 2398001528, 2398001517]",yes,,,,,,,,restaurant,cafeteria,,,,,,,,,,,,,,,,,,,,,
way,231436813,文山湖餐厅,,文山湖餐厅,"POLYGON ((113.9293747 22.5325558, 113.9293164 22.5328589, 113.9292108 22.532843, 113.9291572 22.532835, 113.9290127 22.5328133, 113.9290248 22.532745, 113.9290459 22.5326259, 113.9287574 22.5325782, 113.9287835 22.5324548, 113.9291621 22.5325174, 113.9293747 22.5325558))",,"[2398268311, 2398268244, 2398268247, 2398268313, 2398268377, 2461336997, 2398268355, 2398268361, 2398268357, 2399009554, 2398268311]",yes,文山湖餐厅,文山湖餐廳,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,
way,231437172,,,,"POLYGON ((113.9319859 22.5317321, 113.9320015 22.5316583, 113.9318004 22.5316228, 113.9317841 22.5316956, 113.9319859 22.5317321))",,"[2398271039, 2398270992, 2398270989, 2398271036, 2398271039]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437173,,,,"POLYGON ((113.9313071 22.5311821, 113.9315328 22.5312194, 113.9315186 22.5312928, 113.9312929 22.5312555, 113.9313071 22.5311821))",,"[2398270979, 2398270991, 2398271003, 2398270980, 2398270979]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437174,,,,"POLYGON ((113.9309582 22.5312355, 113.9309738 22.5311564, 113.9308678 22.5311386, 113.9307662 22.5311215, 113.9307506 22.5312006, 113.9309582 22.5312355))",,"[2398270988, 2398271010, 10250048921, 4726950344, 2398271019, 2398270988]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437175,,,,"POLYGON ((113.9321308 22.531969, 113.932148 22.5318935, 113.9319616 22.5318573, 113.9319444 22.5319329, 113.9321308 22.531969))",,"[2398271002, 2398271022, 2398270985, 2398271042, 2398271002]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437176,,,,"POLYGON ((113.9323231 22.5324247, 113.9323402 22.5323495, 113.9321542 22.5323134, 113.9321371 22.5323886, 113.9323231 22.5324247))",,"[2398271031, 2398271008, 2398271044, 2398271029, 2398271031]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437177,,,,"POLYGON ((113.9324077 22.532204, 113.9324252 22.532127, 113.9322373 22.5320906, 113.9322198 22.5321676, 113.9324077 22.532204))",,"[2398271020, 2398271016, 2398270993, 2398271005, 2398271020]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437178,,,,"POLYGON ((113.9310436 22.5307415, 113.9310563 22.5306786, 113.9309371 22.530658, 113.9309222 22.5307222, 113.9310436 22.5307415))",,"[2398271017, 2398271030, 2398271027, 2398270981, 2398271017]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437179,,,,"POLYGON ((113.9312964 22.5309843, 113.9311665 22.5309602, 113.9311531 22.531022, 113.931283 22.5310461, 113.9312964 22.5309843))",,"[2398271013, 2398271004, 2398271037, 2398270978, 2398271013]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437180,,,,"POLYGON ((113.9316532 22.5313179, 113.931639 22.5313795, 113.9315033 22.5313529, 113.9315186 22.5312928, 113.9316532 22.5313179))",,"[2398271034, 2398271018, 2398270995, 2398271003, 2398271034]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437181,,,,"POLYGON ((113.9325448 22.5324382, 113.9325621 22.5323621, 113.9323751 22.5323259, 113.9323578 22.532402, 113.9325448 22.5324382))",,"[2398271024, 2398270999, 2398271012, 2398271000, 2398271024]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437182,,,,"POLYGON ((113.9319087 22.5319543, 113.9319261 22.5318775, 113.9317385 22.5318411, 113.9317211 22.5319179, 113.9319087 22.5319543))",,"[2398271015, 2398270994, 2398270997, 2398271035, 2398271015]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437183,,,,"POLYGON ((113.9313375 22.5315336, 113.9315336 22.5315933, 113.9315104 22.5316547, 113.931315 22.5315964, 113.9313375 22.5315336))",,"[2398271033, 2398271047, 2398271028, 2398271011, 2398271033]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437184,,,,"POLYGON ((113.9321838 22.5321945, 113.932201 22.5321189, 113.9320146 22.5320827, 113.9319974 22.5321584, 113.9321838 22.5321945))",,"[2398271001, 2398271046, 2398271006, 2398270987, 2398271001]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437185,,,,"POLYGON ((113.931679 22.5316, 113.9316931 22.5315361, 113.9318144 22.5315588, 113.9318004 22.5316228, 113.931679 22.5316))",,"[2398271038, 2398270990, 2398271045, 2398270989, 2398271038]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437186,,,,"POLYGON ((113.9310675 22.5308797, 113.9311797 22.5308992, 113.9311665 22.5309602, 113.9310549 22.5309415, 113.9310675 22.5308797))",,"[2398271014, 2398271040, 2398271004, 2398271025, 2398271014]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437187,,,,"POLYGON ((113.9316065 22.5317505, 113.9316286 22.5316943, 113.9315104 22.5316547, 113.9314883 22.5317109, 113.9316065 22.5317505))",,"[2398271023, 2398271007, 2398271028, 2398271009, 2398271023]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437188,,,,"POLYGON ((113.9306855 22.5306776, 113.9309222 22.5307222, 113.9309064 22.5307938, 113.9306697 22.5307492, 113.9306855 22.5306776))",,"[2398271032, 2398270981, 2398270996, 2398271041, 2398271032]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437189,,,,"POLYGON ((113.9306363 22.5310361, 113.93076 22.5310537, 113.9307509 22.5311084, 113.9306272 22.5310908, 113.9306363 22.5310361))",,"[2398271021, 2398270983, 2398271043, 2398270982, 2398271021]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231437190,,,,"POLYGON ((113.9312331 22.5314593, 113.9312483 22.5313823, 113.93104 22.5313471, 113.9310247 22.5314241, 113.9312331 22.5314593))",,"[2398270984, 2398270986, 2398270998, 2398271026, 2398270984]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231572974,,,,"POLYGON ((113.9331245 22.5348623, 113.933061 22.534786, 113.9330371 22.5347988, 113.9330216 22.5348062, 113.9330138 22.53481, 113.932986 22.5348191, 113.9329608 22.5348235, 113.9329303 22.5348261, 113.932903 22.5348265, 113.93287 22.5348228, 113.932842 22.5348154, 113.9328185 22.534808, 113.9327977 22.5347954, 113.9327782 22.5347807, 113.9327584 22.5347638, 113.9327378 22.5347413, 113.9327204 22.5347191, 113.9326211 22.5347588, 113.9326393 22.5347877, 113.9326604 22.5348121, 113.9326845 22.5348377, 113.9327107 22.5348605, 113.932741 22.5348812, 113.9327645 22.5348938, 113.9327948 22.5349063, 113.932834 22.5349158, 113.9328733 22.5349203, 113.9329162 22.5349223, 113.9329594 22.534919, 113.9329921 22.5349143, 113.9330319 22.5349063, 113.9330644 22.5348941, 113.9330959 22.5348797, 113.9331245 22.5348623))",,"[2399350415, 2399350393, 2399350378, 5569414896, 2399350368, 2399350383, 2399350401, 2399350391, 2399350365, 2399350399, 2399350411, 2399350404, 2399350413, 2399350362, 2399350412, 2399350381, 2399350377, 2399350408, 2399350394, 2399350386, 2399350376, 2399350387, 2399350380, 2399350350, 2399350355, 2399350390, 2399350410, 2399350370, 2399350400, 2399350407, 2399350382, 2399350406, 2399350360, 2399350415]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231572980,风槐斋,,风槐斋,"POLYGON ((113.9343498 22.5361263, 113.9343418 22.535969, 113.9338549 22.5360037, 113.9337517 22.536353, 113.9338858 22.5363802, 113.933953 22.536132, 113.9343498 22.5361263))",,"[2399350364, 2399350359, 2399350414, 2399350403, 2399350395, 2399350351, 2399350364]",dormitory,风槐斋,風槐齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231664852,,,,"POLYGON ((113.9348432 22.5376005, 113.9349605 22.5375046, 113.9351426 22.5376948, 113.9350589 22.5377632, 113.9350344 22.5377394, 113.9350014 22.5377657, 113.9349821 22.5377683, 113.9349624 22.5377663, 113.9349452 22.537756, 113.9349374 22.5377368, 113.9349376 22.5377203, 113.9349434 22.5377051, 113.9348432 22.5376005))",,"[2400046612, 2400046603, 2400046606, 2400046617, 2400046618, 2400046615, 2400046576, 2400046605, 2400046578, 2400046573, 2400046577, 2400046597, 2400046612]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231664853,艺术邨,,艺术邨,"POLYGON ((113.9344856 22.5381851, 113.934499 22.5381108, 113.9344776 22.5380488, 113.93455 22.5379918, 113.9346224 22.5380042, 113.9346921 22.5379993, 113.9346921 22.5379596, 113.9347485 22.5379175, 113.9348021 22.537915, 113.9348799 22.5378605, 113.9349121 22.5378903, 113.9349845 22.5378506, 113.9350784 22.538029, 113.9349657 22.5381454, 113.9349014 22.5381355, 113.9348263 22.5381553, 113.9347833 22.5382049, 113.93466 22.5381108, 113.9346224 22.5381083, 113.9346117 22.5381578, 113.9345873 22.5381546, 113.9345781 22.5381988, 113.9344856 22.5381851))",,"[2400046586, 2400046587, 2400046594, 2400046589, 2400046611, 2400046592, 2400046590, 2400046621, 2400046623, 2400046580, 2400046585, 2400046591, 2400046620, 2400046569, 2400046588, 2400046593, 2400046600, 2400046602, 2400046571, 2400046572, 2400046575, 2400046596, 2400046586]",university,艺术邨,艺术邨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231665582,,,,"POLYGON ((113.9332809 22.5351924, 113.9332062 22.5350314, 113.9333054 22.5349967, 113.9334154 22.5350487, 113.9334476 22.5351329, 113.9332809 22.5351924))",,"[2400051196, 2400051210, 2400051202, 2400051219, 2400051198, 2400051196]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231795526,学生活动中心,,学生活动中心,"POLYGON ((113.9333293 22.5355018, 113.9332954 22.5355084, 113.9332542 22.5355117, 113.9332116 22.5355082, 113.9331711 22.5354974, 113.9331362 22.5354819, 113.9331013 22.5354572, 113.9330801 22.5354326, 113.9330687 22.5354058, 113.9330639 22.5353798, 113.9330665 22.5353506, 113.9328383 22.5352751, 113.9327008 22.5352296, 113.9326552 22.5352145, 113.9326132 22.5351797, 113.9325971 22.5351425, 113.9325998 22.5351004, 113.9326346 22.5349121, 113.9326695 22.5349121, 113.9326829 22.5348849, 113.9327929 22.5349295, 113.9327741 22.5350831, 113.933001 22.5351505, 113.9332998 22.5352392, 113.9333696 22.5352045, 113.9334044 22.5352218, 113.9333293 22.5355018))",,"[2401262100, 2401261956, 2401261952, 2401261954, 2401261965, 2401261985, 2401262017, 2401262094, 2401262019, 2401262034, 2401262022, 2401262099, 5569414869, 2401261950, 2401262070, 2401262084, 2401262092, 2401262005, 2401261960, 2401262072, 2401261967, 2401262032, 5569414890, 2401262025, 2401262007, 2401262001, 2401262100]",university,学生活动中心,學生活動中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796341,银桦斋,,银桦斋,"POLYGON ((113.9337425 22.5356555, 113.9340337 22.535713, 113.9340118 22.5358039, 113.9340047 22.535838, 113.9337136 22.5357804, 113.9337425 22.5356555))",,"[2401265079, 2401265063, 2401265066, 2401265069, 2401265087, 2401265079]",dormitory,银桦斋,銀樺齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796342,,,,"POLYGON ((113.9336507 22.5356435, 113.9336633 22.5355808, 113.9336773 22.5355115, 113.9334847 22.5354784, 113.9334821 22.5354933, 113.9334608 22.5354976, 113.9334501 22.5355501, 113.9334681 22.5355611, 113.9334582 22.5356105, 113.9336507 22.5356435))",,"[2401265070, 2401265083, 2401265081, 2401265084, 2401265065, 2401265076, 2401265075, 2401265077, 2401265082, 2401265070]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796343,校医院,Hospital of Shenzhen University,校医院,"POLYGON ((113.9337317 22.5352515, 113.9336179 22.5353288, 113.9336952 22.5354279, 113.9336773 22.5355115, 113.9336633 22.5355808, 113.933751 22.5355971, 113.9337692 22.5355018, 113.9339328 22.535529, 113.9339302 22.5355513, 113.9340562 22.5355736, 113.9340804 22.5354324, 113.9340433 22.5354269, 113.9340321 22.5353928, 113.9338047 22.5353529, 113.9337317 22.5352515))",,"[2401265072, 2401265073, 2401265064, 2401265081, 2401265083, 2401265067, 2401265071, 2401265085, 2401265090, 2401265080, 2401265068, 2401265089, 2401265078, 2401265088, 2401265072]",yes,校医院,校醫院,,,,,,hospital,,,,,,,,,hospital,,,,,,,,,,,,,
way,231796344,银桦斋,,银桦斋,"POLYGON ((113.9342714 22.5357309, 113.9342424 22.5358513, 113.9340118 22.5358039, 113.9340337 22.535713, 113.9340408 22.5356835, 113.9342714 22.5357309))",,"[2401265062, 2401265086, 2401265066, 2401265063, 2401265074, 2401265062]",dormitory,银桦斋,銀樺齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796434,海桐斋,,海桐斋,"POLYGON ((113.9323543 22.536702, 113.9323672 22.536634, 113.9323864 22.5366361, 113.9323963 22.5365808, 113.9322969 22.5365665, 113.9322919 22.5365923, 113.9321478 22.5365707, 113.9321371 22.5366252, 113.9322942 22.5366495, 113.9322765 22.5367442, 113.9324784 22.5367779, 113.9324884 22.5367243, 113.9323543 22.536702))",,"[2401266156, 2401266155, 2401266138, 2401266151, 2401266143, 2401266149, 2401266141, 2401266152, 2401266150, 2401266126, 2401266146, 2401266144, 2401266156]",dormitory,海桐斋,海桐齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796435,米兰斋,,米兰斋,"POLYGON ((113.9325113 22.5368334, 113.9325214 22.5367814, 113.9326678 22.5368051, 113.9326922 22.5366777, 113.9327524 22.5366886, 113.9327446 22.5367268, 113.9329055 22.5367541, 113.9328931 22.5368082, 113.9327421 22.5367839, 113.9327258 22.5368705, 113.9325113 22.5368334))",,"[2401266129, 2401266145, 2401266154, 2401266135, 2401266134, 2401266148, 2401266130, 2401266133, 2401266140, 2401266157, 2401266129]",dormitory,米兰斋,米蘭齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796436,桃李斋,,桃李斋,"POLYGON ((113.9326414 22.5363825, 113.932645 22.5363151, 113.9325019 22.5362896, 113.9324979 22.5363118, 113.9324268 22.5362983, 113.9324176 22.5363738, 113.9322689 22.5363467, 113.9322578 22.5364048, 113.9324724 22.5364444, 113.9324914 22.5363547, 113.9326414 22.5363825))",,"[2401266147, 2401266137, 2401266132, 2401266131, 2401266128, 2401266142, 2401266127, 2401266139, 2401266136, 2401266153, 2401266147]",dormitory,桃李斋,桃李齋,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,231796623,荔山餐厅,,荔山餐厅,"POLYGON ((113.9331094 22.5372434, 113.9331845 22.5368123, 113.9334601 22.5368498, 113.9333964 22.5372062, 113.933292 22.5371926, 113.9332792 22.5372688, 113.9331094 22.5372434))",,"[2401267121, 2401267124, 2401267138, 2401267115, 2401267134, 2401267110, 2401267121]",yes,荔山餐厅,荔山餐廳,,,,,,restaurant,cafeteria,,,,chinese,,,,,no,no,no,no,no,,,,,,,,
way,231796624,实验餐厅,,实验餐厅,"POLYGON ((113.9338674 22.5370062, 113.9336371 22.536971, 113.9336427 22.5369307, 113.9335707 22.5369213, 113.9335117 22.5372904, 113.9337451 22.5373276, 113.9337576 22.5372434, 113.9338255 22.5372533, 113.9338674 22.5370062))",,"[2401267100, 2401267130, 2401267113, 2401267108, 2401267102, 2401267106, 2401267132, 2401267140, 2401267100]",yes,实验餐厅,實驗餐廳,,,,,,restaurant,cafeteria,,,,,,,,,,,,no,no,,,,,,,,
way,231903098,,,,"POLYGON ((113.9345325 22.5352894, 113.9343062 22.5350401, 113.9342435 22.5350888, 113.9344698 22.535338, 113.9345325 22.5352894))",,"[2402284515, 2402284568, 2402284532, 2402284547, 2402284515]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,232602593,,,,"POLYGON ((113.9298585 22.5384894, 113.9298036 22.538436, 113.9297542 22.5384794, 113.9298091 22.5385328, 113.9298585 22.5384894))",,"[2409473281, 2409473273, 2409473272, 2409473279, 2409473281]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237484981,图书馆南馆,,图书馆南馆,"POLYGON ((113.9316509 22.5346573, 113.9308698 22.5345238, 113.9308752 22.534492, 113.9308111 22.5344822, 113.9308055 22.5345124, 113.9306138 22.534482, 113.9306627 22.5342195, 113.9310505 22.534283, 113.9310609 22.5342294, 113.9308369 22.5341921, 113.9308682 22.5340247, 113.9311861 22.5340787, 113.9315795 22.5341456, 113.9315729 22.5341823, 113.9316178 22.5341883, 113.9315972 22.5342945, 113.9316146 22.5342982, 113.9315993 22.5343703, 113.9317059 22.5343889, 113.9316509 22.5346573))",,"[2397047433, 2397047417, 2397047446, 2397047447, 2397047444, 2397047453, 2397047432, 2397047443, 2397047440, 2397047449, 2397047427, 2623164367, 2397047419, 2397047421, 2397047436, 2397047431, 2397047420, 2397047434, 2397047452, 2397047433]",university,图书馆南馆,圖書館南館,5,,,,,library,,,,,,,,,,wlan,no,,,,5,,,,,,,
way,237893509,,,,"POLYGON ((113.9329123 22.5407685, 113.932917 22.5402608, 113.9329895 22.5402614, 113.9329848 22.5407691, 113.9329123 22.5407685))",,"[2457650283, 2457650269, 2457650270, 2457650310, 2457650283]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237893512,,,,"POLYGON ((113.9280703 22.5389336, 113.9280963 22.5389087, 113.9281105 22.5388719, 113.9281084 22.5388406, 113.9280932 22.5388102, 113.9280715 22.5387903, 113.9280385 22.5387763, 113.9280098 22.538774, 113.9279844 22.5387789, 113.927959 22.5387915, 113.9279399 22.5388092, 113.927926 22.538834, 113.927922 22.5388733, 113.9279324 22.538903, 113.9279548 22.5389285, 113.9279716 22.538939, 113.9280078 22.538949, 113.9280459 22.5389449, 113.9280703 22.5389336))",,"[2457650286, 2457650402, 2457650343, 2457650327, 2457650321, 2457650271, 2457650397, 2457650328, 2457650376, 2457650338, 2457650358, 2457650313, 2457650394, 2457650345, 2457650264, 2457650360, 2457650290, 2457650403, 2457650286]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237893516,,,,"POLYGON ((113.9295081 22.5382097, 113.9294323 22.5381353, 113.9294896 22.5380855, 113.9295654 22.5381599, 113.9295081 22.5382097))",,"[2457650347, 2457650340, 2457650278, 2457650284, 2457650347]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237893520,,,,"POLYGON ((113.9295654 22.538514, 113.9295302 22.5385266, 113.9294925 22.5385256, 113.9294609 22.5385132, 113.9294304 22.5384834, 113.9294177 22.5384446, 113.9294203 22.5384174, 113.9294359 22.5383865, 113.9294565 22.5383673, 113.9294891 22.5383528, 113.9295198 22.53835, 113.929549 22.538356, 113.9295777 22.5383722, 113.9296039 22.5384073, 113.9296101 22.5384415, 113.929602 22.5384747, 113.9295812 22.5385025, 113.9295654 22.538514))",,"[2457650292, 2457650364, 2457650282, 2457650355, 2457650337, 2457650334, 2457650304, 2457650300, 2457650309, 2457650299, 2457650369, 2457650289, 2457650370, 2457650288, 2457650342, 2457650366, 2457650349, 2457650292]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,237893523,,,,"POLYGON ((113.9282498 22.5390077, 113.9282757 22.5389828, 113.9282898 22.5389461, 113.9282877 22.538915, 113.9282726 22.5388847, 113.928251 22.5388648, 113.9282181 22.5388509, 113.9281895 22.5388486, 113.9281642 22.5388535, 113.9281389 22.538866, 113.9281199 22.5388837, 113.928106 22.5389084, 113.9281021 22.5389476, 113.9281124 22.5389771, 113.9281347 22.5390026, 113.9281514 22.539013, 113.9281875 22.5390229, 113.9282254 22.5390189, 113.9282498 22.5390077))",,"[2457650333, 2457650312, 2457650296, 2457650294, 2457650307, 2457650393, 2457650303, 2457650341, 2457650377, 2457650318, 2457650315, 2457650261, 2457650385, 2457650373, 2457650354, 2457650362, 2457650291, 2457650400, 2457650333]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,239872945,,,,"POLYGON ((113.9356496 22.5372002, 113.9355524 22.5370954, 113.9356254 22.5370376, 113.9357226 22.5371423, 113.9356496 22.5372002))",,"[2476517749, 2476517752, 2476517753, 2476517754, 2476517749]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
